Subject,Item,PrimeCategory,Response,PrimeType
6,39,Dative,1,Dispreferred
6,40,Transitive,1,Preferred
6,42,Dative,1,Preferred
6,43,Transitive,1,Dispreferred
6,45,Dative,1,Preferred
6,47,Locative,1,Dispreferred
6,48,Dative,1,Dispreferred
7,1,Transitive,1,Preferred
7,3,Dative,0,Dispreferred
7,4,Transitive,1,Preferred
7,6,Dative,0,Preferred
7,7,Transitive,0,Dispreferred
7,9,Dative,0,Dispreferred
7,10,Transitive,1,Dispreferred
7,12,Dative,0,Preferred
7,13,Transitive,1,Dispreferred
7,14,Locative,1,Dispreferred
7,15,Dative,1,Dispreferred
7,16,Transitive,1,Preferred
7,17,Locative,0,Preferred
7,19,Transitive,0,Dispreferred
7,20,Locative,1,Preferred
7,21,Dative,0,Preferred
7,22,Transitive,1,Preferred
7,23,Locative,0,Dispreferred
7,24,Dative,0,Preferred
7,25,Transitive,0,Preferred
7,27,Dative,0,Dispreferred
7,28,Transitive,1,Preferred
7,29,Locative,0,Dispreferred
7,30,Dative,0,Preferred
7,31,Transitive,0,Dispreferred
7,32,Locative,1,Dispreferred
7,33,Dative,1,Preferred
7,36,Dative,1,Dispreferred
7,37,Transitive,0,Dispreferred
7,38,Locative,0,Dispreferred
7,39,Dative,0,Preferred
7,40,Transitive,1,Dispreferred
7,41,Locative,0,Preferred
7,42,Dative,0,Dispreferred
7,43,Transitive,0,Preferred
7,44,Locative,0,Dispreferred
7,45,Dative,0,Dispreferred
7,46,Transitive,1,Preferred
7,47,Locative,1,Preferred
7,48,Dative,0,Preferred
8,1,Transitive,1,Dispreferred
8,3,Dative,0,Preferred
8,4,Transitive,1,Dispreferred
8,6,Dative,1,Dispreferred
8,7,Transitive,1,Preferred
8,8,Locative,0,Dispreferred
8,10,Transitive,1,Preferred
8,11,Locative,0,Dispreferred
8,12,Dative,1,Dispreferred
8,15,Dative,1,Preferred
8,16,Transitive,1,Dispreferred
8,18,Dative,1,Preferred
8,19,Transitive,1,Preferred
8,20,Locative,1,Dispreferred
8,21,Dative,0,Dispreferred
8,22,Transitive,1,Dispreferred
8,23,Locative,1,Preferred
8,24,Dative,1,Dispreferred
8,26,Locative,0,Dispreferred
8,27,Dative,1,Preferred
8,28,Transitive,1,Dispreferred
8,29,Locative,1,Preferred
8,30,Dative,1,Dispreferred
8,31,Transitive,0,Preferred
8,32,Locative,1,Preferred
8,33,Dative,1,Dispreferred
8,34,Transitive,0,Preferred
8,35,Locative,1,Dispreferred
8,37,Transitive,1,Preferred
8,38,Locative,1,Preferred
8,39,Dative,0,Dispreferred
8,41,Locative,0,Dispreferred
8,43,Transitive,0,Dispreferred
8,44,Locative,1,Preferred
8,45,Dative,0,Preferred
8,47,Locative,1,Dispreferred
8,48,Dative,0,Dispreferred
9,1,Transitive,0,Preferred
9,4,Transitive,1,Preferred
