Block,Homogeneity,PrimeType,Target,Response,VerbClass,Item,List,Subject
C,Heterogeneous,Dispreferred,The man is scattering the bed with rose petals,1,Locative,4,4,12
D,Heterogeneous,Dispreferred,The lawyer is showing the gun to the judge,0,Dative,5,4,12
G,Heterogeneous,Preferred,The girl is smearing jelly on her toast,1,Locative,6,4,12
E,Heterogeneous,Preferred,The bus is splashing mud onto the people,1,Locative,8,4,12
A,Heterogeneous,Preferred,the artist is splattering paint on his canvas,1,Locative,9,4,12
F,Heterogeneous,Dispreferred,Some guy is throwing a frisbee to his friend,0,Dative,10,4,12
A,Heterogeneous,Dispreferred,Santa Claus is stuffing stockings with fruit,1,Locative,11,4,12
E,Heterogeneous,Dispreferred,men are loading a truck with toxic waste,1,Locative,12,4,12
B,Heterogeneous,Dispreferred,An old woman is giving a cake to an old man,0,Dative,13,4,12
G,Homogenous,Preferred,A woman is tossing a patient a beachball,0,Dative,14,4,12
F,Heterogeneous,Preferred,A woman is showing a man a dress,0,Dative,15,4,12
D,Homogenous,Dispreferred,A woman is rubbing a baby with lotion,1,Locative,16,4,12
C,Homogenous,Preferred,A priest is reading the class the bible,0,Dative,18,4,12
E,Homogenous,Preferred,A nurse is showing a boy his x-ray,1,Dative,19,4,12
D,Heterogeneous,Preferred,A nurse is handing a girl crutches,0,Dative,20,4,12
B,Homogenous,Dispreferred,A man is packing a cooler with beers,0,Locative,21,4,12
A,Homogenous,Preferred,A man is giving a little girl a gift,0,Dative,22,4,12
G,Heterogeneous,Dispreferred,A man is drizzling his nachos with cheese,1,Locative,23,4,12
E,Homogenous,Dispreferred,A guy is showing his ID to a bouncer,0,Dative,24,4,12
H,Homogenous,Dispreferred,A girl is sprinkling her soup with salt,0,Locative,25,4,12
C,Homogenous,Dispreferred,A girl is reading a book to a little boy,0,Dative,26,4,12
A,Homogenous,Dispreferred,A girl is handing a paintbrush to a man,0,Dative,27,4,12
B,Heterogeneous,Preferred,A father is reading his little girl a book,0,Dative,28,4,12
B,Homogenous,Preferred,A clown is cramming his shoes into a  box,0,Locative,29,4,12
D,Homogenous,Preferred,A chef is brushing butter on a turkey,1,Locative,30,4,12
H,Heterogeneous,Dispreferred,A boy is throwing a baseball to a man,0,Dative,31,4,12
H,Homogenous,Preferred,A baker is dusting powdered sugar on a cake,1,Locative,32,4,12
E,Heterogeneous,Preferred,the woman is spritzing water on her plants,0,Locative,1,1,13
H,Heterogeneous,Dispreferred,The quarterback is throwing the football to his receiver,0,Dative,2,1,13
D,Homogenous,Preferred,The mother is dabbing alcohol to her daughter's cut,0,Locative,3,1,13
H,Homogenous,Preferred,The man is scattering rose petals on the bed,0,Locative,4,1,13
E,Homogenous,Dispreferred,The lawyer is showing the gun to the judge,0,Dative,5,1,13
A,Heterogeneous,Preferred,The elephant is spraying water on the clown,1,Locative,7,1,13
F,Homogenous,Dispreferred,The bus is splashing the people with mud,0,Locative,8,1,13
F,Homogenous,Preferred,the artist is splattering paint on his canvas,0,Locative,9,1,13
G,Homogenous,Preferred,Some guy is throwing his friend a frisbee,1,Dative,10,1,13
B,Homogenous,Preferred,Santa Claus is stuffing fruit into stocking,1,Locative,11,1,13
B,Homogenous,Dispreferred,men are loading a truck with toxic waste,1,Locative,12,1,13
A,Homogenous,Dispreferred,An old woman is giving a cake to an old man,1,Dative,13,1,13
F,Heterogeneous,Dispreferred,A woman is tossing a beachball to a patient,0,Dative,14,1,13
E,Homogenous,Preferred,A woman is showing a man a dress,1,Dative,15,1,13
G,Heterogeneous,Preferred,A woman is rubbing location on a baby,1,Locative,16,1,13
C,Homogenous,Preferred,A woman is reading some kids a book,0,Dative,17,1,13
H,Heterogeneous,Preferred,A priest is reading the class the bible,0,Dative,18,1,13
F,Heterogeneous,Preferred,A nurse is showing a boy his x-ray,1,Dative,19,1,13
A,Homogenous,Preferred,A nurse is handing a girl crutches,1,Dative,20,1,13
E,Heterogeneous,Dispreferred,A man is packing a cooler with beers,0,Locative,21,1,13
D,Heterogeneous,Preferred,A man is giving a little girl a gift,1,Dative,22,1,13
H,Homogenous,Dispreferred,A man is drizzling his nachos with cheese,0,Locative,23,1,13
D,Heterogeneous,Dispreferred,A guy is showing his ID to a bouncer,0,Dative,24,1,13
G,Heterogeneous,Dispreferred,A girl is sprinkling her soup with salt,1,Locative,25,1,13
B,Heterogeneous,Dispreferred,A girl is handing a paintbrush to a man,0,Dative,27,1,13
C,Homogenous,Dispreferred,A father is reading a book to his little girl,0,Dative,28,1,13
C,Heterogeneous,Preferred,A chef is brushing butter on a turkey,0,Locative,30,1,13
G,Homogenous,Dispreferred,A boy is throwing a baseball to a man,1,Dative,31,1,13
C,Heterogeneous,Preferred,The man is scattering rose petals on the bed,1,Locative,4,2,14
D,Heterogeneous,Preferred,The lawyer is showing the judge the gun,0,Dative,5,2,14
F,Homogenous,Dispreferred,The elephant is spraying the clown with water,1,Locative,7,2,14
E,Heterogeneous,Dispreferred,The bus is splashing the people with mud,1,Locative,8,2,14
A,Heterogeneous,Dispreferred,the artist is splattering his canvas with paint,1,Locative,9,2,14
F,Heterogeneous,Preferred,Some guy is throwing his friend a frisbee,0,Dative,10,2,14
A,Heterogeneous,Preferred,Santa Claus is stuffing fruit into stocking,1,Locative,11,2,14
E,Heterogeneous,Preferred,men are loading toxic waste on a truck,1,Locative,12,2,14
B,Heterogeneous,Preferred,An old woman is giving an old man a cake,1,Dative,13,2,14
G,Homogenous,Dispreferred,A woman is tossing a beachball to a patient,0,Dative,14,2,14
F,Heterogeneous,Dispreferred,A woman is showing a dress to a man,0,Dative,15,2,14
H,Heterogeneous,Dispreferred,A woman is reading a book to some kids,0,Dative,17,2,14
C,Homogenous,Dispreferred,A priest is reading the bible to the class,0,Dative,18,2,14
E,Homogenous,Dispreferred,A nurse is showing his x-ray to a boy,1,Dative,19,2,14
D,Heterogeneous,Dispreferred,A nurse is handing  crutches to a girl,0,Dative,20,2,14
B,Homogenous,Preferred,A man is packing beers in a cooler,1,Locative,21,2,14
A,Homogenous,Dispreferred,A man is giving a gift to a little girl,0,Dative,22,2,14
G,Heterogeneous,Preferred,A man is drizzling cheese on his nachos,1,Locative,23,2,14
E,Homogenous,Preferred,A guy is showing a bouncer his ID,1,Dative,24,2,14
H,Homogenous,Preferred,A girl is sprinkling salt on her soup,1,Locative,25,2,14
C,Homogenous,Preferred,A girl is reading a little boy a book,0,Dative,26,2,14
A,Homogenous,Preferred,A girl is handing a man a paintbrush,1,Dative,27,2,14
B,Heterogeneous,Dispreferred,A father is reading a book to his little girl,1,Dative,28,2,14
B,Homogenous,Dispreferred,A clown is cramming a box with his shoes,1,Locative,29,2,14
H,Heterogeneous,Preferred,A boy is throwing a man a baseball,0,Dative,31,2,14
H,Homogenous,Dispreferred,A baker is dusting cake with powdered sugar,1,Locative,32,2,14
E,Heterogeneous,Dispreferred,the woman is spritzing her plants with water,0,Locative,1,3,15
H,Heterogeneous,Preferred,The quarterback is throwing his reciever the football,1,Dative,2,3,15
D,Homogenous,Dispreferred,The mother is dabbing his daughter's cut with alcohol,0,Locative,3,3,15
H,Homogenous,Dispreferred,The man is scattering the bed with rose petals,0,Locative,4,3,15
E,Homogenous,Preferred,The lawyer is showing the judge the gun,0,Dative,5,3,15
D,Homogenous,Preferred,The girl is smearing jelly on her toast,1,Locative,6,3,15
A,Heterogeneous,Dispreferred,The elephant is spraying the clown with water,0,Locative,7,3,15
F,Homogenous,Preferred,The bus is splashing mud onto the people,1,Locative,8,3,15
F,Homogenous,Dispreferred,the artist is splattering his canvas with paint,0,Locative,9,3,15
B,Homogenous,Dispreferred,Santa Claus is stuffing stockings with fruit,0,Locative,11,3,15
B,Homogenous,Preferred,men are loading toxic waste on a truck,0,Locative,12,3,15
A,Homogenous,Preferred,An old woman is giving an old man a cake,1,Dative,13,3,15
F,Heterogeneous,Preferred,A woman is tossing a patient a beachball,0,Dative,14,3,15
E,Homogenous,Dispreferred,A woman is showing a dress to a man,1,Dative,15,3,15
G,Heterogeneous,Dispreferred,A woman is rubbing a baby with lotion,1,Locative,16,3,15
F,Heterogeneous,Dispreferred,A nurse is showing his x-ray to a boy,1,Dative,19,3,15
A,Homogenous,Dispreferred,A nurse is handing  crutches to a girl,1,Dative,20,3,15
E,Heterogeneous,Preferred,A man is packing beers in a cooler,1,Locative,21,3,15
D,Heterogeneous,Dispreferred,A man is giving a gift to a little girl,1,Dative,22,3,15
H,Homogenous,Preferred,A man is drizzling cheese on his nachos,1,Locative,23,3,15
D,Heterogeneous,Preferred,A guy is showing a bouncer his ID,1,Dative,24,3,15
G,Heterogeneous,Preferred,A girl is sprinkling salt on her soup,1,Locative,25,3,15
B,Heterogeneous,Preferred,A girl is handing a man a paintbrush,1,Dative,27,3,15
A,Heterogeneous,Preferred,A clown is cramming his shoes into a  box,1,Locative,29,3,15
C,Heterogeneous,Dispreferred,A chef is brushing a turkey with butter,0,Locative,30,3,15
G,Homogenous,Preferred,A boy is throwing a man a baseball,0,Dative,31,3,15
C,Heterogeneous,Preferred,A baker is dusting powdered sugar on a cake,0,Locative,32,3,15
F,Homogenous,Dispreferred,the woman is spritzing her plants with water,1,Locative,1,4,16
G,Homogenous,Dispreferred,The quarterback is throwing the football to his receiver,0,Dative,2,4,16
C,Heterogeneous,Preferred,The mother is dabbing alcohol to her daughter's cut,1,Locative,3,4,16
D,Heterogeneous,Dispreferred,The lawyer is showing the gun to the judge,0,Dative,5,4,16
A,Heterogeneous,Preferred,the artist is splattering paint on his canvas,1,Locative,9,4,16
F,Heterogeneous,Dispreferred,Some guy is throwing a frisbee to his friend,0,Dative,10,4,16
A,Heterogeneous,Dispreferred,Santa Claus is stuffing stockings with fruit,1,Locative,11,4,16
E,Heterogeneous,Dispreferred,men are loading a truck with toxic waste,1,Locative,12,4,16
B,Heterogeneous,Dispreferred,An old woman is giving a cake to an old man,0,Dative,13,4,16
G,Homogenous,Preferred,A woman is tossing a patient a beachball,0,Dative,14,4,16
F,Heterogeneous,Preferred,A woman is showing a man a dress,0,Dative,15,4,16
C,Homogenous,Preferred,A priest is reading the class the bible,0,Dative,18,4,16
E,Homogenous,Preferred,A nurse is showing a boy his x-ray,1,Dative,19,4,16
D,Heterogeneous,Preferred,A nurse is handing a girl crutches,0,Dative,20,4,16
B,Homogenous,Dispreferred,A man is packing a cooler with beers,0,Locative,21,4,16
A,Homogenous,Preferred,A man is giving a little girl a gift,0,Dative,22,4,16
G,Heterogeneous,Dispreferred,A man is drizzling his nachos with cheese,1,Locative,23,4,16
E,Homogenous,Dispreferred,A guy is showing his ID to a bouncer,0,Dative,24,4,16
H,Homogenous,Dispreferred,A girl is sprinkling her soup with salt,0,Locative,25,4,16
C,Homogenous,Dispreferred,A girl is reading a book to a little boy,0,Dative,26,4,16
A,Homogenous,Dispreferred,A girl is handing a paintbrush to a man,0,Dative,27,4,16
B,Heterogeneous,Preferred,A father is reading his little girl a book,0,Dative,28,4,16
B,Homogenous,Preferred,A clown is cramming his shoes into a  box,0,Locative,29,4,16
H,Heterogeneous,Dispreferred,A boy is throwing a baseball to a man,0,Dative,31,4,16
H,Heterogeneous,Dispreferred,The quarterback is throwing the football to his receiver,0,Dative,2,1,17
H,Homogenous,Preferred,The man is scattering rose petals on the bed,1,Locative,4,1,17
E,Homogenous,Dispreferred,The lawyer is showing the gun to the judge,1,Dative,5,1,17
D,Homogenous,Dispreferred,The girl is smearing her toast with jelly,1,Locative,6,1,17
A,Heterogeneous,Preferred,The elephant is spraying water on the clown,1,Locative,7,1,17
F,Homogenous,Dispreferred,The bus is splashing the people with mud,1,Locative,8,1,17
F,Homogenous,Preferred,the artist is splattering paint on his canvas,1,Locative,9,1,17
G,Homogenous,Preferred,Some guy is throwing his friend a frisbee,0,Dative,10,1,17
B,Homogenous,Preferred,Santa Claus is stuffing fruit into stocking,0,Locative,11,1,17
B,Homogenous,Dispreferred,men are loading a truck with toxic waste,0,Locative,12,1,17
A,Homogenous,Dispreferred,An old woman is giving a cake to an old man,0,Dative,13,1,17
F,Heterogeneous,Dispreferred,A woman is tossing a beachball to a patient,0,Dative,14,1,17
E,Homogenous,Preferred,A woman is showing a man a dress,0,Dative,15,1,17
G,Heterogeneous,Preferred,A woman is rubbing location on a baby,1,Locative,16,1,17
C,Homogenous,Preferred,A woman is reading some kids a book,0,Dative,17,1,17
H,Heterogeneous,Preferred,A priest is reading the class the bible,0,Dative,18,1,17
F,Heterogeneous,Preferred,A nurse is showing a boy his x-ray,0,Dative,19,1,17
A,Homogenous,Preferred,A nurse is handing a girl crutches,0,Dative,20,1,17
D,Heterogeneous,Preferred,A man is giving a little girl a gift,0,Dative,22,1,17
H,Homogenous,Dispreferred,A man is drizzling his nachos with cheese,1,Locative,23,1,17
D,Heterogeneous,Dispreferred,A guy is showing his ID to a bouncer,0,Dative,24,1,17
G,Heterogeneous,Dispreferred,A girl is sprinkling her soup with salt,1,Locative,25,1,17
B,Heterogeneous,Preferred,A girl is reading a little boy a book,0,Dative,26,1,17
B,Heterogeneous,Dispreferred,A girl is handing a paintbrush to a man,1,Dative,27,1,17
C,Homogenous,Dispreferred,A father is reading a book to his little girl,0,Dative,28,1,17
A,Heterogeneous,Dispreferred,A clown is cramming a box with his shoes,0,Locative,29,1,17
C,Heterogeneous,Preferred,A chef is brushing butter on a turkey,0,Locative,30,1,17
G,Homogenous,Dispreferred,A boy is throwing a baseball to a man,0,Dative,31,1,17
F,Homogenous,Preferred,the woman is spritzing water on her plants,0,Locative,1,2,18
G,Homogenous,Preferred,The quarterback is throwing his reciever the football,0,Dative,2,2,18
C,Heterogeneous,Preferred,The man is scattering rose petals on the bed,1,Locative,4,2,18
D,Heterogeneous,Preferred,The lawyer is showing the judge the gun,1,Dative,5,2,18
G,Heterogeneous,Dispreferred,The girl is smearing her toast with jelly,1,Locative,6,2,18
F,Homogenous,Dispreferred,The elephant is spraying the clown with water,1,Locative,7,2,18
A,Heterogeneous,Dispreferred,the artist is splattering his canvas with paint,1,Locative,9,2,18
F,Heterogeneous,Preferred,Some guy is throwing his friend a frisbee,0,Dative,10,2,18
A,Heterogeneous,Preferred,Santa Claus is stuffing fruit into stocking,1,Locative,11,2,18
E,Heterogeneous,Preferred,men are loading toxic waste on a truck,1,Locative,12,2,18
B,Heterogeneous,Preferred,An old woman is giving an old man a cake,1,Dative,13,2,18
G,Homogenous,Dispreferred,A woman is tossing a beachball to a patient,0,Dative,14,2,18
F,Heterogeneous,Dispreferred,A woman is showing a dress to a man,1,Dative,15,2,18
E,Homogenous,Dispreferred,A nurse is showing his x-ray to a boy,0,Dative,19,2,18
D,Heterogeneous,Dispreferred,A nurse is handing  crutches to a girl,1,Dative,20,2,18
B,Homogenous,Preferred,A man is packing beers in a cooler,1,Locative,21,2,18
G,Heterogeneous,Preferred,A man is drizzling cheese on his nachos,1,Locative,23,2,18
E,Homogenous,Preferred,A guy is showing a bouncer his ID,0,Dative,24,2,18
H,Homogenous,Preferred,A girl is sprinkling salt on her soup,1,Locative,25,2,18
C,Homogenous,Preferred,A girl is reading a little boy a book,0,Dative,26,2,18
A,Homogenous,Preferred,A girl is handing a man a paintbrush,1,Dative,27,2,18
B,Heterogeneous,Dispreferred,A father is reading a book to his little girl,1,Dative,28,2,18
H,Heterogeneous,Preferred,A boy is throwing a man a baseball,0,Dative,31,2,18
H,Homogenous,Dispreferred,A baker is dusting cake with powdered sugar,1,Locative,32,2,18
E,Heterogeneous,Dispreferred,the woman is spritzing her plants with water,1,Locative,1,3,19
H,Heterogeneous,Preferred,The quarterback is throwing his reciever the football,1,Dative,2,3,19
D,Homogenous,Dispreferred,The mother is dabbing his daughter's cut with alcohol,1,Locative,3,3,19
H,Homogenous,Dispreferred,The man is scattering the bed with rose petals,1,Locative,4,3,19
E,Homogenous,Preferred,The lawyer is showing the judge the gun,0,Dative,5,3,19
A,Heterogeneous,Dispreferred,The elephant is spraying the clown with water,1,Locative,7,3,19
F,Homogenous,Dispreferred,the artist is splattering his canvas with paint,1,Locative,9,3,19
G,Homogenous,Dispreferred,Some guy is throwing a frisbee to his friend,0,Dative,10,3,19
B,Homogenous,Dispreferred,Santa Claus is stuffing stockings with fruit,1,Locative,11,3,19
B,Homogenous,Preferred,men are loading toxic waste on a truck,1,Locative,12,3,19
A,Homogenous,Preferred,An old woman is giving an old man a cake,0,Dative,13,3,19
F,Heterogeneous,Preferred,A woman is tossing a patient a beachball,0,Dative,14,3,19
E,Homogenous,Dispreferred,A woman is showing a dress to a man,0,Dative,15,3,19
G,Heterogeneous,Dispreferred,A woman is rubbing a baby with lotion,1,Locative,16,3,19
C,Homogenous,Dispreferred,A woman is reading a book to some kids,0,Dative,17,3,19
H,Heterogeneous,Dispreferred,A priest is reading the bible to the class,0,Dative,18,3,19
F,Heterogeneous,Dispreferred,A nurse is showing his x-ray to a boy,0,Dative,19,3,19
A,Homogenous,Dispreferred,A nurse is handing  crutches to a girl,0,Dative,20,3,19
E,Heterogeneous,Preferred,A man is packing beers in a cooler,1,Locative,21,3,19
D,Heterogeneous,Dispreferred,A man is giving a gift to a little girl,0,Dative,22,3,19
H,Homogenous,Preferred,A man is drizzling cheese on his nachos,1,Locative,23,3,19
D,Heterogeneous,Preferred,A guy is showing a bouncer his ID,0,Dative,24,3,19
B,Heterogeneous,Dispreferred,A girl is reading a book to a little boy,0,Dative,26,3,19
B,Heterogeneous,Preferred,A girl is handing a man a paintbrush,0,Dative,27,3,19
C,Homogenous,Preferred,A father is reading his little girl a book,0,Dative,28,3,19
A,Heterogeneous,Preferred,A clown is cramming his shoes into a  box,1,Locative,29,3,19
C,Heterogeneous,Dispreferred,A chef is brushing a turkey with butter,1,Locative,30,3,19
C,Heterogeneous,Preferred,A baker is dusting powdered sugar on a cake,1,Locative,32,3,19
F,Homogenous,Dispreferred,the woman is spritzing her plants with water,0,Locative,1,4,20
G,Homogenous,Dispreferred,The quarterback is throwing the football to his receiver,0,Dative,2,4,20
C,Heterogeneous,Preferred,The mother is dabbing alcohol to her daughter's cut,1,Locative,3,4,20
C,Heterogeneous,Dispreferred,The man is scattering the bed with rose petals,1,Locative,4,4,20
D,Heterogeneous,Dispreferred,The lawyer is showing the gun to the judge,0,Dative,5,4,20
G,Heterogeneous,Preferred,The girl is smearing jelly on her toast,1,Locative,6,4,20
F,Homogenous,Preferred,The elephant is spraying water on the clown,0,Locative,7,4,20
E,Heterogeneous,Preferred,The bus is splashing mud onto the people,1,Locative,8,4,20
A,Heterogeneous,Preferred,the artist is splattering paint on his canvas,1,Locative,9,4,20
F,Heterogeneous,Dispreferred,Some guy is throwing a frisbee to his friend,0,Dative,10,4,20
A,Heterogeneous,Dispreferred,Santa Claus is stuffing stockings with fruit,0,Locative,11,4,20
E,Heterogeneous,Dispreferred,men are loading a truck with toxic waste,0,Locative,12,4,20
B,Heterogeneous,Dispreferred,An old woman is giving a cake to an old man,1,Dative,13,4,20
G,Homogenous,Preferred,A woman is tossing a patient a beachball,0,Dative,14,4,20
F,Heterogeneous,Preferred,A woman is showing a man a dress,0,Dative,15,4,20
D,Homogenous,Dispreferred,A woman is rubbing a baby with lotion,1,Locative,16,4,20
H,Heterogeneous,Preferred,A woman is reading some kids a book,0,Dative,17,4,20
C,Homogenous,Preferred,A priest is reading the class the bible,0,Dative,18,4,20
E,Homogenous,Preferred,A nurse is showing a boy his x-ray,1,Dative,19,4,20
D,Heterogeneous,Preferred,A nurse is handing a girl crutches,1,Dative,20,4,20
B,Homogenous,Dispreferred,A man is packing a cooler with beers,1,Locative,21,4,20
A,Homogenous,Preferred,A man is giving a little girl a gift,1,Dative,22,4,20
G,Heterogeneous,Dispreferred,A man is drizzling his nachos with cheese,1,Locative,23,4,20
E,Homogenous,Dispreferred,A guy is showing his ID to a bouncer,0,Dative,24,4,20
H,Homogenous,Dispreferred,A girl is sprinkling her soup with salt,0,Locative,25,4,20
C,Homogenous,Dispreferred,A girl is reading a book to a little boy,1,Dative,26,4,20
A,Homogenous,Dispreferred,A girl is handing a paintbrush to a man,1,Dative,27,4,20
B,Heterogeneous,Preferred,A father is reading his little girl a book,0,Dative,28,4,20
B,Homogenous,Preferred,A clown is cramming his shoes into a  box,0,Locative,29,4,20
D,Homogenous,Preferred,A chef is brushing butter on a turkey,1,Locative,30,4,20
H,Heterogeneous,Dispreferred,A boy is throwing a baseball to a man,0,Dative,31,4,20
H,Homogenous,Preferred,A baker is dusting powdered sugar on a cake,0,Locative,32,4,20
E,Heterogeneous,Preferred,the woman is spritzing water on her plants,0,Locative,1,1,21
H,Heterogeneous,Dispreferred,The quarterback is throwing the football to his receiver,0,Dative,2,1,21
D,Homogenous,Preferred,The mother is dabbing alcohol to her daughter's cut,1,Locative,3,1,21
H,Homogenous,Preferred,The man is scattering rose petals on the bed,1,Locative,4,1,21
E,Homogenous,Dispreferred,The lawyer is showing the gun to the judge,0,Dative,5,1,21
D,Homogenous,Dispreferred,The girl is smearing her toast with jelly,1,Locative,6,1,21
A,Heterogeneous,Preferred,The elephant is spraying water on the clown,1,Locative,7,1,21
F,Homogenous,Dispreferred,The bus is splashing the people with mud,0,Locative,8,1,21
F,Homogenous,Preferred,the artist is splattering paint on his canvas,1,Locative,9,1,21
G,Homogenous,Preferred,Some guy is throwing his friend a frisbee,1,Dative,10,1,21
B,Homogenous,Preferred,Santa Claus is stuffing fruit into stocking,1,Locative,11,1,21
B,Homogenous,Dispreferred,men are loading a truck with toxic waste,0,Locative,12,1,21
A,Homogenous,Dispreferred,An old woman is giving a cake to an old man,0,Dative,13,1,21
F,Heterogeneous,Dispreferred,A woman is tossing a beachball to a patient,0,Dative,14,1,21
E,Homogenous,Preferred,A woman is showing a man a dress,0,Dative,15,1,21
G,Heterogeneous,Preferred,A woman is rubbing location on a baby,1,Locative,16,1,21
H,Heterogeneous,Preferred,A priest is reading the class the bible,1,Dative,18,1,21
F,Heterogeneous,Preferred,A nurse is showing a boy his x-ray,1,Dative,19,1,21
A,Homogenous,Preferred,A nurse is handing a girl crutches,0,Dative,20,1,21
E,Heterogeneous,Dispreferred,A man is packing a cooler with beers,0,Locative,21,1,21
D,Heterogeneous,Preferred,A man is giving a little girl a gift,0,Dative,22,1,21
H,Homogenous,Dispreferred,A man is drizzling his nachos with cheese,1,Locative,23,1,21
D,Heterogeneous,Dispreferred,A guy is showing his ID to a bouncer,0,Dative,24,1,21
G,Heterogeneous,Dispreferred,A girl is sprinkling her soup with salt,1,Locative,25,1,21
B,Heterogeneous,Preferred,A girl is reading a little boy a book,1,Dative,26,1,21
B,Heterogeneous,Dispreferred,A girl is handing a paintbrush to a man,1,Dative,27,1,21
A,Heterogeneous,Dispreferred,A clown is cramming a box with his shoes,1,Locative,29,1,21
G,Homogenous,Dispreferred,A boy is throwing a baseball to a man,0,Dative,31,1,21
C,Heterogeneous,Dispreferred,A baker is dusting cake with powdered sugar,0,Locative,32,1,21
F,Homogenous,Preferred,the woman is spritzing water on her plants,0,Locative,1,2,22
G,Homogenous,Preferred,The quarterback is throwing his reciever the football,0,Dative,2,2,22
C,Heterogeneous,Dispreferred,The mother is dabbing her daughter's cut with alcohol,0,Locative,3,2,22
C,Heterogeneous,Preferred,The man is scattering rose petals on the bed,1,Locative,4,2,22
D,Heterogeneous,Preferred,The lawyer is showing the judge the gun,0,Dative,5,2,22
G,Heterogeneous,Dispreferred,The girl is smearing her toast with jelly,1,Locative,6,2,22
F,Homogenous,Dispreferred,The elephant is spraying the clown with water,0,Locative,7,2,22
E,Heterogeneous,Dispreferred,The bus is splashing the people with mud,1,Locative,8,2,22
A,Heterogeneous,Dispreferred,the artist is splattering his canvas with paint,0,Locative,9,2,22
F,Heterogeneous,Preferred,Some guy is throwing his friend a frisbee,1,Dative,10,2,22
A,Heterogeneous,Preferred,Santa Claus is stuffing fruit into stocking,0,Locative,11,2,22
E,Heterogeneous,Preferred,men are loading toxic waste on a truck,1,Locative,12,2,22
B,Heterogeneous,Preferred,An old woman is giving an old man a cake,1,Dative,13,2,22
G,Homogenous,Dispreferred,A woman is tossing a beachball to a patient,0,Dative,14,2,22
F,Heterogeneous,Dispreferred,A woman is showing a dress to a man,1,Dative,15,2,22
D,Homogenous,Preferred,A woman is rubbing lotion on a baby,0,Locative,16,2,22
C,Homogenous,Dispreferred,A priest is reading the bible to the class,0,Dative,18,2,22
E,Homogenous,Dispreferred,A nurse is showing his x-ray to a boy,1,Dative,19,2,22
D,Heterogeneous,Dispreferred,A nurse is handing  crutches to a girl,0,Dative,20,2,22
A,Homogenous,Dispreferred,A man is giving a gift to a little girl,1,Dative,22,2,22
G,Heterogeneous,Preferred,A man is drizzling cheese on his nachos,1,Locative,23,2,22
E,Homogenous,Preferred,A guy is showing a bouncer his ID,0,Dative,24,2,22
A,Homogenous,Preferred,A girl is handing a man a paintbrush,1,Dative,27,2,22
B,Heterogeneous,Dispreferred,A father is reading a book to his little girl,1,Dative,28,2,22
B,Homogenous,Dispreferred,A clown is cramming a box with his shoes,0,Locative,29,2,22
D,Homogenous,Dispreferred,A chef is brushing a turkey with butter,1,Locative,30,2,22
H,Heterogeneous,Preferred,A boy is throwing a man a baseball,0,Dative,31,2,22
H,Homogenous,Dispreferred,A baker is dusting cake with powdered sugar,1,Locative,32,2,22
E,Heterogeneous,Dispreferred,the woman is spritzing her plants with water,0,Locative,1,3,23
H,Heterogeneous,Preferred,The quarterback is throwing his reciever the football,0,Dative,2,3,23
D,Homogenous,Dispreferred,The mother is dabbing his daughter's cut with alcohol,1,Locative,3,3,23
H,Homogenous,Dispreferred,The man is scattering the bed with rose petals,1,Locative,4,3,23
E,Homogenous,Preferred,The lawyer is showing the judge the gun,0,Dative,5,3,23
D,Homogenous,Preferred,The girl is smearing jelly on her toast,1,Locative,6,3,23
F,Homogenous,Preferred,The bus is splashing mud onto the people,1,Locative,8,3,23
G,Homogenous,Dispreferred,Some guy is throwing a frisbee to his friend,0,Dative,10,3,23
B,Homogenous,Dispreferred,Santa Claus is stuffing stockings with fruit,1,Locative,11,3,23
B,Homogenous,Preferred,men are loading toxic waste on a truck,1,Locative,12,3,23
A,Homogenous,Preferred,An old woman is giving an old man a cake,0,Dative,13,3,23
E,Homogenous,Dispreferred,A woman is showing a dress to a man,0,Dative,15,3,23
G,Heterogeneous,Dispreferred,A woman is rubbing a baby with lotion,1,Locative,16,3,23
C,Homogenous,Dispreferred,A woman is reading a book to some kids,0,Dative,17,3,23
H,Heterogeneous,Dispreferred,A priest is reading the bible to the class,0,Dative,18,3,23
F,Heterogeneous,Dispreferred,A nurse is showing his x-ray to a boy,1,Dative,19,3,23
A,Homogenous,Dispreferred,A nurse is handing  crutches to a girl,0,Dative,20,3,23
E,Heterogeneous,Preferred,A man is packing beers in a cooler,1,Locative,21,3,23
D,Heterogeneous,Dispreferred,A man is giving a gift to a little girl,1,Dative,22,3,23
H,Homogenous,Preferred,A man is drizzling cheese on his nachos,1,Locative,23,3,23
D,Heterogeneous,Preferred,A guy is showing a bouncer his ID,1,Dative,24,3,23
G,Heterogeneous,Preferred,A girl is sprinkling salt on her soup,1,Locative,25,3,23
B,Heterogeneous,Dispreferred,A girl is reading a book to a little boy,0,Dative,26,3,23
B,Heterogeneous,Preferred,A girl is handing a man a paintbrush,0,Dative,27,3,23
C,Homogenous,Preferred,A father is reading his little girl a book,1,Dative,28,3,23
A,Heterogeneous,Preferred,A clown is cramming his shoes into a  box,1,Locative,29,3,23
C,Heterogeneous,Dispreferred,A chef is brushing a turkey with butter,0,Locative,30,3,23
G,Homogenous,Preferred,A boy is throwing a man a baseball,0,Dative,31,3,23
C,Heterogeneous,Preferred,A baker is dusting powdered sugar on a cake,1,Locative,32,3,23
F,Homogenous,Dispreferred,the woman is spritzing her plants with water,0,Locative,1,4,24
