Block,Homogeneity,PrimeType,Target,Response,VerbClass,Item,List,Subject
D,Heterogeneous,Dispreferred,A man is giving a gift to a little girl,1,Dative,22,3,3
D,Heterogeneous,Preferred,A guy is showing a bouncer his ID,1,Dative,24,3,3
G,Heterogeneous,Preferred,A girl is sprinkling salt on her soup,1,Locative,25,3,3
B,Heterogeneous,Dispreferred,A girl is reading a book to a little boy,0,Dative,26,3,3
B,Heterogeneous,Preferred,A girl is handing a man a paintbrush,0,Dative,27,3,3
C,Homogenous,Preferred,A father is reading his little girl a book,0,Dative,28,3,3
A,Heterogeneous,Preferred,A clown is cramming his shoes into a  box,1,Locative,29,3,3
C,Heterogeneous,Dispreferred,A chef is brushing a turkey with butter,1,Locative,30,3,3
G,Homogenous,Preferred,A boy is throwing a man a baseball,0,Dative,31,3,3
F,Homogenous,Dispreferred,the woman is spritzing her plants with water,0,Locative,1,4,4
G,Homogenous,Dispreferred,The quarterback is throwing the football to his receiver,0,Dative,2,4,4
C,Heterogeneous,Preferred,The mother is dabbing alcohol to her daughter's cut,0,Locative,3,4,4
D,Heterogeneous,Dispreferred,The lawyer is showing the gun to the judge,1,Dative,5,4,4
G,Heterogeneous,Preferred,The girl is smearing jelly on her toast,1,Locative,6,4,4
F,Homogenous,Preferred,The elephant is spraying water on the clown,1,Locative,7,4,4
A,Heterogeneous,Preferred,the artist is splattering paint on his canvas,1,Locative,9,4,4
F,Heterogeneous,Dispreferred,Some guy is throwing a frisbee to his friend,0,Dative,10,4,4
A,Heterogeneous,Dispreferred,Santa Claus is stuffing stockings with fruit,1,Locative,11,4,4
E,Heterogeneous,Dispreferred,men are loading a truck with toxic waste,0,Locative,12,4,4
B,Heterogeneous,Dispreferred,An old woman is giving a cake to an old man,0,Dative,13,4,4
G,Homogenous,Preferred,A woman is tossing a patient a beachball,0,Dative,14,4,4
F,Heterogeneous,Preferred,A woman is showing a man a dress,0,Dative,15,4,4
C,Homogenous,Preferred,A priest is reading the class the bible,1,Dative,18,4,4
E,Homogenous,Preferred,A nurse is showing a boy his x-ray,0,Dative,19,4,4
D,Heterogeneous,Preferred,A nurse is handing a girl crutches,1,Dative,20,4,4
B,Homogenous,Dispreferred,A man is packing a cooler with beers,1,Locative,21,4,4
A,Homogenous,Preferred,A man is giving a little girl a gift,1,Dative,22,4,4
G,Heterogeneous,Dispreferred,A man is drizzling his nachos with cheese,0,Locative,23,4,4
E,Homogenous,Dispreferred,A guy is showing his ID to a bouncer,0,Dative,24,4,4
H,Homogenous,Dispreferred,A girl is sprinkling her soup with salt,0,Locative,25,4,4
C,Homogenous,Dispreferred,A girl is reading a book to a little boy,0,Dative,26,4,4
A,Homogenous,Dispreferred,A girl is handing a paintbrush to a man,1,Dative,27,4,4
B,Heterogeneous,Preferred,A father is reading his little girl a book,1,Dative,28,4,4
B,Homogenous,Preferred,A clown is cramming his shoes into a  box,1,Locative,29,4,4
D,Homogenous,Preferred,A chef is brushing butter on a turkey,0,Locative,30,4,4
H,Heterogeneous,Dispreferred,A boy is throwing a baseball to a man,0,Dative,31,4,4
H,Homogenous,Preferred,A baker is dusting powdered sugar on a cake,0,Locative,32,4,4
E,Heterogeneous,Preferred,the woman is spritzing water on her plants,0,Locative,1,1,5
H,Heterogeneous,Dispreferred,The quarterback is throwing the football to his receiver,0,Dative,2,1,5
D,Homogenous,Preferred,The mother is dabbing alcohol to her daughter's cut,1,Locative,3,1,5
H,Homogenous,Preferred,The man is scattering rose petals on the bed,1,Locative,4,1,5
E,Homogenous,Dispreferred,The lawyer is showing the gun to the judge,1,Dative,5,1,5
D,Homogenous,Dispreferred,The girl is smearing her toast with jelly,0,Locative,6,1,5
A,Heterogeneous,Preferred,The elephant is spraying water on the clown,1,Locative,7,1,5
F,Homogenous,Dispreferred,The bus is splashing the people with mud,0,Locative,8,1,5
F,Homogenous,Preferred,the artist is splattering paint on his canvas,1,Locative,9,1,5
G,Homogenous,Preferred,Some guy is throwing his friend a frisbee,1,Dative,10,1,5
B,Homogenous,Dispreferred,men are loading a truck with toxic waste,0,Locative,12,1,5
A,Homogenous,Dispreferred,An old woman is giving a cake to an old man,0,Dative,13,1,5
F,Heterogeneous,Dispreferred,A woman is tossing a beachball to a patient,0,Dative,14,1,5
E,Homogenous,Preferred,A woman is showing a man a dress,1,Dative,15,1,5
G,Heterogeneous,Preferred,A woman is rubbing location on a baby,1,Locative,16,1,5
C,Homogenous,Preferred,A woman is reading some kids a book,1,Dative,17,1,5
F,Heterogeneous,Preferred,A nurse is showing a boy his x-ray,1,Dative,19,1,5
A,Homogenous,Preferred,A nurse is handing a girl crutches,1,Dative,20,1,5
E,Heterogeneous,Dispreferred,A man is packing a cooler with beers,0,Locative,21,1,5
D,Heterogeneous,Preferred,A man is giving a little girl a gift,1,Dative,22,1,5
H,Homogenous,Dispreferred,A man is drizzling his nachos with cheese,1,Locative,23,1,5
D,Heterogeneous,Dispreferred,A guy is showing his ID to a bouncer,0,Dative,24,1,5
G,Heterogeneous,Dispreferred,A girl is sprinkling her soup with salt,0,Locative,25,1,5
B,Heterogeneous,Preferred,A girl is reading a little boy a book,1,Dative,26,1,5
B,Heterogeneous,Dispreferred,A girl is handing a paintbrush to a man,1,Dative,27,1,5
