Subject,List,CardSet,VerbCat,Response,VerbClass,Item,Homogeneity,PrimeType
5,5,3,spray,1,Locative,41,Homogeneous,Dispreferred
5,5,3,read,1,Dative,10,Heterogeneous,Dispreferred
5,5,3,spray,1,Locative,37,Homogeneous,Dispreferred
5,5,3,give,1,Dative,2,Heterogeneous,Dispreferred
5,5,3,spray,0,Locative,39,Homogeneous,Preferred
5,5,3,throw,1,Dative,21,Heterogeneous,Preferred
5,5,3,spray,1,Locative,38,Homogeneous,Preferred
5,5,3,show,1,Dative,14,Heterogeneous,Preferred
6,6,3,give,0,Dative,3,Homogeneous,Dispreferred
6,6,3,put,1,Locative,25,Heterogeneous,Dispreferred
6,6,3,give,1,Dative,4,Homogeneous,Dispreferred
6,6,3,rub,1,Locative,33,Heterogeneous,Preferred
6,6,3,give,1,Dative,5,Homogeneous,Preferred
6,6,3,give,1,Dative,6,Homogeneous,Preferred
6,6,3,sprinkle,1,Locative,45,Heterogeneous,Preferred
6,6,3,give,0,Dative,1,Heterogeneous,Preferred
6,6,3,read,1,Dative,9,Heterogeneous,Preferred
6,6,3,show,1,Dative,13,Heterogeneous,Dispreferred
6,6,3,throw,1,Dative,20,Heterogeneous,Dispreferred
6,6,3,rub,1,Locative,34,Heterogeneous,Dispreferred
6,6,3,show,0,Dative,16,Homogeneous,Preferred
6,6,3,show,1,Dative,15,Homogeneous,Preferred
6,6,3,spray,0,Locative,40,Heterogeneous,Preferred
6,6,3,show,0,Dative,18,Homogeneous,Dispreferred
6,6,3,spray,0,Locative,41,Homogeneous,Preferred
6,6,3,read,1,Dative,10,Heterogeneous,Preferred
6,6,3,spray,1,Locative,37,Homogeneous,Preferred
6,6,3,give,0,Dative,2,Heterogeneous,Preferred
6,6,3,spray,0,Locative,39,Homogeneous,Dispreferred
6,6,3,spray,0,Locative,38,Homogeneous,Dispreferred
6,6,3,show,0,Dative,14,Heterogeneous,Dispreferred
7,7,4,read,1,Dative,9,Homogeneous,Dispreferred
7,7,4,read,1,Dative,10,Homogeneous,Dispreferred
7,7,4,read,1,Dative,11,Homogeneous,Preferred
7,7,4,sprinkle,1,Locative,44,Heterogeneous,Dispreferred
7,7,4,spray,1,Locative,37,Heterogeneous,Preferred
7,7,4,read,1,Dative,8,Heterogeneous,Preferred
7,7,4,rub,1,Locative,33,Homogeneous,Dispreferred
7,7,4,give,0,Dative,3,Heterogeneous,Preferred
7,7,4,throw,0,Dative,19,Heterogeneous,Dispreferred
7,7,4,show,0,Dative,16,Heterogeneous,Dispreferred
7,7,4,put,1,Locative,28,Heterogeneous,Dispreferred
7,7,4,throw,1,Dative,20,Homogeneous,Dispreferred
7,7,4,rub,1,Locative,31,Heterogeneous,Preferred
7,7,4,spray,1,Locative,41,Heterogeneous,Dispreferred
7,7,4,throw,1,Dative,22,Homogeneous,Preferred
7,7,4,give,1,Dative,4,Heterogeneous,Preferred
7,7,4,sprinkle,1,Locative,47,Homogeneous,Preferred
7,7,4,read,0,Dative,7,Heterogeneous,Preferred
7,7,4,show,0,Dative,15,Heterogeneous,Dispreferred
8,8,4,read,0,Dative,9,Homogeneous,Preferred
8,8,4,rub,1,Locative,32,Heterogeneous,Dispreferred
8,8,4,read,1,Dative,10,Homogeneous,Preferred
8,8,4,read,0,Dative,11,Homogeneous,Dispreferred
8,8,4,sprinkle,1,Locative,44,Heterogeneous,Preferred
8,8,4,read,0,Dative,8,Heterogeneous,Dispreferred
8,8,4,give,0,Dative,3,Heterogeneous,Dispreferred
8,8,4,throw,1,Dative,19,Heterogeneous,Preferred
8,8,4,rub,1,Locative,35,Homogeneous,Dispreferred
8,8,4,show,1,Dative,16,Heterogeneous,Preferred
8,8,4,put,1,Locative,28,Heterogeneous,Preferred
8,8,4,rub,1,Locative,31,Heterogeneous,Dispreferred
8,8,4,spray,0,Locative,41,Heterogeneous,Preferred
8,8,4,throw,1,Dative,22,Homogeneous,Dispreferred
8,8,4,sprinkle,1,Locative,43,Heterogeneous,Dispreferred
8,8,4,sprinkle,1,Locative,45,Homogeneous,Dispreferred
8,8,4,give,0,Dative,4,Heterogeneous,Dispreferred
8,8,4,sprinkle,0,Locative,47,Homogeneous,Dispreferred
8,8,4,read,0,Dative,7,Heterogeneous,Dispreferred
8,8,4,sprinkle,1,Locative,46,Homogeneous,Preferred
8,8,4,show,1,Dative,15,Heterogeneous,Preferred
9,1,1,give,0,Dative,1,Homogeneous,Dispreferred
9,1,1,give,0,Dative,2,Homogeneous,Dispreferred
9,1,1,give,0,Dative,3,Homogeneous,Preferred
9,1,1,spray,0,Locative,39,Heterogeneous,Preferred
9,1,1,give,1,Dative,4,Homogeneous,Preferred
9,1,1,give,1,Dative,5,Heterogeneous,Dispreferred
9,1,1,read,1,Dative,9,Heterogeneous,Preferred
9,1,1,put,1,Locative,28,Homogeneous,Dispreferred
9,1,1,show,0,Dative,13,Homogeneous,Preferred
9,1,1,show,0,Dative,14,Homogeneous,Preferred
9,1,1,sprinkle,1,Locative,47,Heterogeneous,Preferred
9,1,1,show,0,Dative,16,Homogeneous,Dispreferred
9,1,1,spray,1,Locative,38,Heterogeneous,Dispreferred
9,1,1,show,0,Dative,15,Homogeneous,Dispreferred
9,1,1,spray,0,Locative,42,Homogeneous,Preferred
9,1,1,read,1,Dative,10,Heterogeneous,Dispreferred
9,1,1,spray,0,Locative,40,Homogeneous,Preferred
9,1,1,give,1,Dative,6,Heterogeneous,Preferred
9,1,1,spray,0,Locative,41,Homogeneous,Dispreferred
9,1,1,throw,1,Dative,20,Heterogeneous,Dispreferred
9,1,1,show,1,Dative,18,Heterogeneous,Preferred
10,2,1,give,0,Dative,1,Homogeneous,Preferred
10,2,1,give,0,Dative,2,Homogeneous,Preferred
10,2,1,give,0,Dative,3,Homogeneous,Dispreferred
10,2,1,give,0,Dative,4,Homogeneous,Dispreferred
10,2,1,give,0,Dative,5,Heterogeneous,Preferred
10,2,1,read,0,Dative,9,Heterogeneous,Dispreferred
10,2,1,show,0,Dative,13,Homogeneous,Dispreferred
10,2,1,show,0,Dative,14,Homogeneous,Dispreferred
10,2,1,sprinkle,1,Locative,47,Heterogeneous,Dispreferred
10,2,1,show,0,Dative,16,Homogeneous,Preferred
10,2,1,show,0,Dative,15,Homogeneous,Preferred
10,2,1,spray,0,Locative,42,Homogeneous,Dispreferred
10,2,1,spray,0,Locative,40,Homogeneous,Dispreferred
10,2,1,give,0,Dative,6,Heterogeneous,Dispreferred
10,2,1,spray,0,Locative,41,Homogeneous,Preferred
10,2,1,throw,1,Dative,20,Heterogeneous,Preferred
10,2,1,spray,1,Locative,37,Homogeneous,Preferred
11,3,2,read,1,Dative,10,Homogeneous,Dispreferred
11,3,2,read,0,Dative,12,Heterogeneous,Preferred
11,3,2,give,1,Dative,3,Heterogeneous,Preferred
11,3,2,rub,1,Locative,32,Homogeneous,Preferred
11,3,2,show,1,Dative,15,Heterogeneous,Dispreferred
11,3,2,throw,1,Dative,19,Homogeneous,Preferred
11,3,2,throw,1,Dative,20,Homogeneous,Dispreferred
11,3,2,throw,1,Dative,21,Homogeneous,Dispreferred
11,3,2,give,1,Dative,4,Heterogeneous,Preferred
11,3,2,show,1,Dative,16,Heterogeneous,Dispreferred
11,3,2,throw,1,Dative,22,Heterogeneous,Preferred
12,4,2,read,1,Dative,7,Homogeneous,Dispreferred
12,4,2,read,1,Dative,8,Homogeneous,Dispreferred
12,4,2,read,1,Dative,9,Homogeneous,Preferred
12,4,2,rub,1,Locative,31,Homogeneous,Dispreferred
12,4,2,give,1,Dative,3,Heterogeneous,Dispreferred
12,4,2,show,1,Dative,15,Heterogeneous,Preferred
12,4,2,rub,1,Locative,34,Homogeneous,Preferred
12,4,2,put,1,Locative,28,Heterogeneous,Preferred
12,4,2,rub,1,Locative,35,Heterogeneous,Dispreferred
12,4,2,throw,1,Dative,19,Homogeneous,Dispreferred
12,4,2,throw,1,Dative,20,Homogeneous,Preferred
12,4,2,throw,1,Dative,21,Homogeneous,Preferred
12,4,2,sprinkle,1,Locative,43,Homogeneous,Preferred
12,4,2,give,0,Dative,4,Heterogeneous,Dispreferred
12,4,2,sprinkle,1,Locative,44,Homogeneous,Preferred
12,4,2,show,1,Dative,16,Heterogeneous,Preferred
12,4,2,sprinkle,1,Locative,47,Homogeneous,Dispreferred
12,4,2,throw,1,Dative,22,Heterogeneous,Dispreferred
13,5,3,give,1,Dative,3,Homogeneous,Preferred
13,5,3,give,1,Dative,4,Homogeneous,Preferred
13,5,3,give,1,Dative,5,Homogeneous,Dispreferred
13,5,3,spray,1,Locative,42,Heterogeneous,Preferred
13,5,3,give,1,Dative,6,Homogeneous,Dispreferred
13,5,3,give,0,Dative,1,Heterogeneous,Dispreferred
13,5,3,read,0,Dative,9,Heterogeneous,Dispreferred
13,5,3,show,0,Dative,13,Heterogeneous,Preferred
13,5,3,put,0,Locative,29,Homogeneous,Preferred
13,5,3,throw,1,Dative,20,Heterogeneous,Preferred
13,5,3,rub,1,Locative,34,Heterogeneous,Preferred
13,5,3,show,1,Dative,16,Homogeneous,Dispreferred
13,5,3,show,0,Dative,15,Homogeneous,Dispreferred
13,5,3,sprinkle,1,Locative,47,Heterogeneous,Dispreferred
13,5,3,spray,1,Locative,40,Heterogeneous,Dispreferred
13,5,3,show,1,Dative,18,Homogeneous,Preferred
13,5,3,spray,1,Locative,41,Homogeneous,Dispreferred
13,5,3,read,1,Dative,10,Heterogeneous,Dispreferred
13,5,3,spray,0,Locative,39,Homogeneous,Preferred
13,5,3,throw,1,Dative,21,Heterogeneous,Preferred
13,5,3,spray,1,Locative,38,Homogeneous,Preferred
13,5,3,show,1,Dative,14,Heterogeneous,Preferred
14,6,3,give,0,Dative,3,Homogeneous,Dispreferred
14,6,3,give,1,Dative,4,Homogeneous,Dispreferred
14,6,3,give,1,Dative,5,Homogeneous,Preferred
14,6,3,spray,1,Locative,42,Heterogeneous,Dispreferred
14,6,3,give,0,Dative,6,Homogeneous,Preferred
14,6,3,give,1,Dative,1,Heterogeneous,Preferred
14,6,3,read,1,Dative,9,Heterogeneous,Preferred
14,6,3,put,1,Locative,28,Homogeneous,Preferred
14,6,3,throw,1,Dative,20,Heterogeneous,Dispreferred
14,6,3,show,1,Dative,16,Homogeneous,Preferred
14,6,3,show,1,Dative,15,Homogeneous,Preferred
14,6,3,spray,0,Locative,40,Heterogeneous,Preferred
14,6,3,show,1,Dative,18,Homogeneous,Dispreferred
14,6,3,spray,0,Locative,41,Homogeneous,Preferred
14,6,3,read,1,Dative,10,Heterogeneous,Preferred
14,6,3,give,0,Dative,2,Heterogeneous,Preferred
14,6,3,spray,1,Locative,39,Homogeneous,Dispreferred
14,6,3,throw,1,Dative,21,Heterogeneous,Dispreferred
14,6,3,show,0,Dative,14,Heterogeneous,Dispreferred
15,7,4,read,1,Dative,9,Homogeneous,Dispreferred
15,7,4,read,1,Dative,12,Homogeneous,Preferred
15,7,4,read,1,Dative,8,Heterogeneous,Preferred
15,7,4,rub,1,Locative,33,Homogeneous,Dispreferred
15,7,4,give,1,Dative,3,Heterogeneous,Preferred
15,7,4,throw,1,Dative,19,Heterogeneous,Dispreferred
15,7,4,show,1,Dative,16,Heterogeneous,Dispreferred
15,7,4,put,1,Locative,28,Heterogeneous,Dispreferred
15,7,4,throw,1,Dative,20,Homogeneous,Dispreferred
15,7,4,throw,1,Dative,21,Homogeneous,Dispreferred
15,7,4,throw,1,Dative,22,Homogeneous,Preferred
15,7,4,throw,1,Dative,23,Homogeneous,Preferred
15,7,4,give,0,Dative,4,Heterogeneous,Preferred
15,7,4,read,1,Dative,7,Heterogeneous,Preferred
15,7,4,show,1,Dative,15,Heterogeneous,Dispreferred
15,7,4,throw,1,Dative,24,Heterogeneous,Dispreferred
16,8,4,read,1,Dative,9,Homogeneous,Preferred
16,8,4,rub,1,Locative,32,Heterogeneous,Dispreferred
16,8,4,read,1,Dative,10,Homogeneous,Preferred
16,8,4,read,1,Dative,11,Homogeneous,Dispreferred
16,8,4,sprinkle,1,Locative,44,Heterogeneous,Preferred
16,8,4,spray,1,Locative,37,Heterogeneous,Dispreferred
16,8,4,read,1,Dative,8,Heterogeneous,Dispreferred
16,8,4,read,1,Dative,7,Heterogeneous,Dispreferred
16,8,4,show,1,Dative,15,Heterogeneous,Preferred
17,1,1,give,0,Dative,1,Homogeneous,Dispreferred
17,1,1,put,0,Locative,29,Heterogeneous,Preferred
17,1,1,give,0,Dative,2,Homogeneous,Dispreferred
17,1,1,give,0,Dative,3,Homogeneous,Preferred
17,1,1,give,0,Dative,4,Homogeneous,Preferred
17,1,1,give,0,Dative,5,Heterogeneous,Dispreferred
17,1,1,throw,1,Dative,21,Heterogeneous,Dispreferred
17,1,1,rub,1,Locative,34,Heterogeneous,Preferred
17,1,1,show,1,Dative,14,Homogeneous,Preferred
17,1,1,sprinkle,1,Locative,47,Heterogeneous,Preferred
17,1,1,show,0,Dative,16,Homogeneous,Dispreferred
17,1,1,spray,0,Locative,38,Heterogeneous,Dispreferred
17,1,1,show,0,Dative,15,Homogeneous,Dispreferred
17,1,1,spray,1,Locative,42,Homogeneous,Preferred
17,1,1,read,1,Dative,10,Heterogeneous,Dispreferred
17,1,1,spray,1,Locative,40,Homogeneous,Preferred
17,1,1,give,1,Dative,6,Heterogeneous,Preferred
17,1,1,throw,0,Dative,20,Heterogeneous,Dispreferred
17,1,1,spray,1,Locative,37,Homogeneous,Dispreferred
17,1,1,show,0,Dative,18,Heterogeneous,Preferred
18,2,1,give,0,Dative,1,Homogeneous,Preferred
18,2,1,give,0,Dative,2,Homogeneous,Preferred
18,2,1,give,0,Dative,3,Homogeneous,Dispreferred
18,2,1,give,0,Dative,4,Homogeneous,Dispreferred
18,2,1,give,0,Dative,5,Heterogeneous,Preferred
18,2,1,read,0,Dative,9,Heterogeneous,Dispreferred
18,2,1,put,0,Locative,27,Homogeneous,Preferred
18,2,1,throw,0,Dative,21,Heterogeneous,Preferred
18,2,1,put,0,Locative,28,Homogeneous,Preferred
18,2,1,rub,1,Locative,34,Heterogeneous,Dispreferred
18,2,1,show,1,Dative,13,Homogeneous,Dispreferred
18,2,1,show,0,Dative,14,Homogeneous,Dispreferred
18,2,1,sprinkle,1,Locative,47,Heterogeneous,Dispreferred
18,2,1,show,1,Dative,16,Homogeneous,Preferred
18,2,1,show,1,Dative,15,Homogeneous,Preferred
