,soa,Noun,VerbType,Pic,Distractor,Verb,Relatedness,DistractorType,Subj,Order,Block,Ncategory,expName,session,participant,Transcription,transcription,R0,R1,R2,R3,R4,R5,R6,utterance,Vagr,Vcodability,unaccusativity,obj,Item,OnsetThe,Onset,The,dog,above,the,apple,is,AppleIs
18,simultaneous,spoon,Unacc,octopusUnacc.jpeg,fall,boil,Unrelated,Verb,octopus,18,1,tool,List1,1,1,{SL} The octopus below the spoon is boiling,,1360.5,79.9,738.3,259.4,109.7,459,159.6,NA,0.5,2.319,0.96,default,octopusUnacc.jpeg.default,1440.4,1360.5,79.9,738.3,259.4,109.7,459,159.6,618.6
19,simultaneous,piano,Unerg,cowboyUnerg.jpeg,smile,wink,Related,Verb,cowboy,19,1,instrument,List1,1,1,{SL} The cowboy above the piano is winking,,1240.8,898,548.7,508.9,99.7,449,179.6,NA,0.64,1.628,0.24,default,cowboyUnerg.jpeg.default,2138.8,1240.8,898,548.7,508.9,99.7,449,179.6,628.6
20,negative,castle,Unacc,snailUnacc.jpeg,boil,melt,Related,Verb,snail,20,1,building,List1,1,1,{SL} The snail below the castle is melting,,1190.9,179.6,598.7,369.1,149.7,688.4,429,NA,0.16,3.886,0.58,default,snailUnacc.jpeg.default,1370.5,1190.9,179.6,598.7,369.1,149.7,688.4,429,1117.4
21,negative,guitar,Unacc,pirateUnacc.jpeg,fall,sink,Related,Verb,pirate,21,1,instrument,List1,1,1,{SL} The pirate below the guitar is sinking,,1420.4,1337,439,199.5,109.8,369.1,79.8,NA,0.72,1.649,0.92,default,pirateUnacc.jpeg.default,2757.4,1420.4,1337,439,199.5,109.8,369.1,79.8,448.9
22,negative,harp,Unerg,ballerinaUnerg.jpeg,sneeze,run,Unrelated,Verb,ballerina,22,1,instrument,List1,1,1,{SL} The ballerina above the harp is running,,851.7,89.8,618.6,608.6,69.8,618.6,808.2,NA,0.84,1.034,0.04,default,ballerinaUnerg.jpeg.default,941.5,851.7,89.8,618.6,608.6,69.8,618.6,808.2,1426.8
23,negative,knife,Unerg,monkeyUnerg.jpeg,yell,sleep,Unrelated,Verb,monkey,23,1,tool,List1,1,1,{SL} The monkey above the knife is sleeping,,1230.8,119.8,588.6,469,79.8,449,678.4,NA,0.9,0.606,0,default,monkeyUnerg.jpeg.default,1350.6,1230.8,119.8,588.6,469,79.8,449,678.4,1127.4
24,negative,dresser,Unacc,chefUnacc.jpeg,bounce,drown,Unrelated,Verb,chef,24,1,funiture,List1,1,1,{SL} The chef above the dresser is drowning,,1300.7,89.8,578.7,409,99.8,828.1,548.8,NA,0.68,1.912,1,default,chefUnacc.jpeg.default,1390.5,1300.7,89.8,578.7,409,99.8,828.1,548.8,1376.9
25,negative,spoon,Unacc,octopusUnacc.jpeg,melt,boil,Related,Verb,octopus,25,2,tool,List1,1,1,{SL} The octopus below the spoon is boiling,,881.6,169.6,658.6,279.3,129.7,748.3,379.2,NA,0.5,2.319,0.96,default,octopusUnacc.jpeg.default,1051.2,881.6,169.6,658.6,279.3,129.7,748.3,379.2,1127.5
26,simultaneous,ax,Unacc,ballerinaUnacc.jpeg,float,shrink,Unrelated,Verb,ballerina,26,2,weapon,List1,1,1,{SL} The ballerina above the ax is shrinking,,1111.1,149.7,518.8,369.2,229.4,498.9,159.6,NA,0.76,1.56,0.92,default,ballerinaUnacc.jpeg.default,1260.8,1111.1,149.7,518.8,369.2,229.4,498.9,159.6,658.5
27,negative,desk,Unacc,boyUnacc.jpeg,drown,float,Related,Verb,boy,27,2,funiture,List1,1,1,{SL} The boy below the desk is floating,drawers,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1.718,0.92,default,boyUnacc.jpeg.default,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,simultaneous,sword,Unacc,cowboyUnacc.jpeg,sink,fall,Related,Verb,cowboy,28,2,weapon,List1,1,1,{SL} The cowboy above the sword is falling,,1370.5,858.1,299.3,1217.2,89.8,379.2,109.7,NA,0.84,1.114,0.98,default,cowboyUnacc.jpeg.default,2228.6,1370.5,858.1,299.3,1217.2,89.8,379.2,109.7,488.9
29,negative,guitar,Unacc,pirateUnacc.jpeg,spin,sink,Unrelated,Verb,pirate,29,2,instrument,List1,1,1,{SL} The pirate below the guitar is sinking,,1450.3,319.3,439,319.3,309.3,728.3,299.4,NA,0.72,1.649,0.92,default,pirateUnacc.jpeg.default,1769.6,1450.3,319.3,439,319.3,309.3,728.3,299.4,1027.7
