,soa,Noun,VerbType,Pic,Distractor,Verb,Relatedness,DistractorType,Subj,Order,Block,Ncategory,expName,session,participant,Transcription,transcription,R0,R1,R2,R3,R4,R5,R6,utterance,Vagr,Vcodability,unaccusativity,obj,Item,OnsetThe,Onset,The,dog,above,the,apple,is,AppleIs
1589,negative,guitar,Unacc,pirateUnacc.jpeg,spin,sink,Unrelated,Verb,pirate,53,2,instrument,List4,1,20,{SL} The pirate below the guitar is sinking,,961.5,169.6,458.9,419.1,89.8,568.7,548.7,NA,0.72,1.649,0.92,default,pirateUnacc.jpeg.default,1131.1,961.5,169.6,458.9,419.1,89.8,568.7,548.7,1117.4
1590,simultaneous,windmill,Unerg,chefUnerg.jpeg,sleep,yell,Unrelated,Verb,chef,54,2,building,List4,1,20,{SL} The chef above the windmill is yelling,,1889.3,109.8,429,349.2,99.8,468.9,159.7,NA,0.78,0.961,0.06,default,chefUnerg.jpeg.default,1999.1,1889.3,109.8,429,349.2,99.8,468.9,159.7,628.6
1591,negative,violin,Unacc,clownUnacc.jpeg,shrink,grow,Related,Verb,clown,55,2,instrument,List4,1,20,{SL} The clown below the violin is growing,,1230.8,149.7,468.9,229.5,169.6,558.8,169.6,NA,0.7,1.918,1,default,clownUnacc.jpeg.default,1380.5,1230.8,149.7,468.9,229.5,169.6,558.8,169.6,728.4
1592,simultaneous,drill,Unacc,penguineUnacc.jpeg,shake,bounce,Related,Verb,penguine,56,2,tool,List4,1,20,{SL} The penguin below the drill is bouncing,,791.8,259.4,518.9,289.3,79.8,389.1,219.5,NA,0.54,1.736,NA,default,penguineUnacc.jpeg.default,1051.2,791.8,259.4,518.9,289.3,79.8,389.1,219.5,608.6
1593,simultaneous,dresser,Unacc,chefUnacc.jpeg,float,drown,Related,Verb,chef,57,2,funiture,List4,1,20,{SL} The chef above the dresser is drowning,,771.9,99.8,389.1,209.5,189.6,818.1,578.7,NA,0.68,1.912,1,default,chefUnacc.jpeg.default,871.7,771.9,99.8,389.1,209.5,189.6,818.1,578.7,1396.8
1594,simultaneous,harp,Unerg,ballerinaUnerg.jpeg,swim,run,Related,Verb,ballerina,58,2,instrument,List4,1,20,{SL} The ballerina above the harp is running,,761.9,79.8,618.6,409.1,139.7,369.1,229.5,NA,0.84,1.034,0.04,default,ballerinaUnerg.jpeg.default,841.7,761.9,79.8,618.6,409.1,139.7,369.1,229.5,598.6
1595,negative,lemon,Unerg,octopusUnerg.jpeg,smile,swim,Unrelated,Verb,octopus,59,2,fruit,List4,1,20,{SL} The octopus below the lemon is swimming,,751.9,139.7,578.7,379.1,59.9,379.1,179.6,NA,0.74,1.574,0.11,default,octopusUnerg.jpeg.default,891.6,751.9,139.7,578.7,379.1,59.9,379.1,179.6,558.7
1596,negative,castle,Unacc,snailUnacc.jpeg,trip,melt,Unrelated,Verb,snail,60,2,building,List4,1,20,{SL} The snail below the castle is melting,,1041.3,139.7,548.7,449,79.8,588.7,179.6,NA,0.16,3.886,0.58,default,snailUnacc.jpeg.default,1181,1041.3,139.7,548.7,449,79.8,588.7,179.6,768.3
1597,simultaneous,chair,Unerg,rabitUnerg.jpeg,wink,smile,Related,Verb,rabit,61,2,funiture,List4,1,20,{SL} The rabbit above the chair is smiling,,672.1,219.5,369.2,349.2,89.8,389.1,99.8,NA,0.46,2.955,0.11,default,rabitUnerg.jpeg.default,891.6,672.1,219.5,369.2,349.2,89.8,389.1,99.8,488.9
1598,simultaneous,knife,Unerg,monkeyUnerg.jpeg,yawn,sleep,Related,Verb,monkey,62,2,tool,List4,1,20,{SL} The monkey above the knife is sleeping,,682.1,269.4,568.7,329.2,129.7,339.3,89.8,NA,0.9,0.606,0,default,monkeyUnerg.jpeg.default,951.5,682.1,269.4,568.7,329.2,129.7,339.3,89.8,429.1
1599,simultaneous,church,Unacc,rabbitUnacc.jpeg,grow,shake,Unrelated,Verb,rabbit,63,2,building,List4,1,20,{SL} The rabbit above the church is shaking,,971.4,99.8,518.8,279.4,129.7,359.2,89.8,NA,0.54,2.711,0.8,default,rabbitUnacc.jpeg.default,1071.2,971.4,99.8,518.8,279.4,129.7,359.2,89.8,449
1600,negative,apple,Unerg,dogUnerg.jpeg,yell,bark,Related,Verb,dog,64,2,fruit,List4,1,20,{SL} The dog above the apple is barking,,652.2,99.7,379.2,369.1,169.6,419.1,189.6,NA,0.7,0.987,0,default,dogUnerg.jpeg.default,751.9,652.2,99.7,379.2,369.1,169.6,419.1,189.6,608.7
1601,simultaneous,piano,Unerg,cowboyUnerg.jpeg,crawl,wink,Unrelated,Verb,cowboy,65,2,instrument,List4,1,20,{SL} The cowboy above the piano is winking,,931.5,159.7,478.9,149.6,119.8,658.5,289.3,NA,0.64,1.628,0.24,default,cowboyUnerg.jpeg.default,1091.2,931.5,159.7,478.9,149.6,119.8,658.5,289.3,947.8
1602,simultaneous,tomato,Unerg,penguineUnerg.jpeg,run,sneeze,Unrelated,Verb,penguine,66,2,fruit,List4,1,20,{SL} The penguin below the tomato is sneezing,,1190.9,129.7,578.7,309.3,89.8,528.8,269.4,NA,0.78,1.088,NA,default,penguineUnerg.jpeg.default,1320.6,1190.9,129.7,578.7,309.3,89.8,528.8,269.4,798.2
1603,negative,gun,Unerg,pirateUnerg.jpeg,sneeze,cough,Related,Verb,pirate,67,2,weapon,List4,1,20,{SL} The pirate below the gun is coughing,,1310.7,109.7,568.7,289.4,179.5,259.5,219.5,NA,0.7,0.987,0,default,pirateUnerg.jpeg.default,1420.4,1310.7,109.7,568.7,289.4,179.5,259.5,219.5,479
1604,negative,table,Unerg,snailUnerg.jpeg,walk,crawl,Related,Verb,snail,68,2,funiture,List4,1,20,{SL} The snail below the table is crawling,moving,NA,NA,NA,NA,NA,NA,NA,NA,0.14,3.728,0.74,default,snailUnerg.jpeg.default,NA,NA,NA,NA,NA,NA,NA,NA,NA
1605,negative,cannon,Unerg,clownUnerg.jpeg,cough,walk,Unrelated,Verb,clown,69,2,weapon,List4,1,20,{SL} The clown below the canon is walking,,1500.2,768.3,538.8,319.2,79.8,488.9,199.6,NA,0.58,0.961,0.24,default,clownUnerg.jpeg.default,2268.5,1500.2,768.3,538.8,319.2,79.8,488.9,199.6,688.5
1606,simultaneous,carrot,Unacc,monkeyUnacc.jpeg,melt,trip,Unrelated,Verb,monkey,70,2,fruit,List4,1,20,{SL} The monkey above the carrot is tripping,,1280.7,249.5,468.9,309.3,69.8,379.2,199.5,NA,0.36,3.082,0.59,default,monkeyUnacc.jpeg.default,1530.2,1280.7,249.5,468.9,309.3,69.8,379.2,199.5,578.7
1607,negative,lighthouse,Unerg,boyUnerg.jpeg,bark,yawn,Unrelated,Verb,boy,71,2,building,List4,1,20,{SL} The boy below the lighthouse is yawning,repair,NA,NA,NA,NA,NA,NA,NA,NA,0.82,0.771,0.18,default,boyUnerg.jpeg.default,NA,NA,NA,NA,NA,NA,NA,NA,NA
1608,negative,hammer,Unacc,dogUnacc.jpeg,sink,spin,Unrelated,Verb,dog,72,2,tool,List4,1,20,{SL} The dog above the hammer is spinning,,2398.2,149.6,329.3,259.4,119.7,319.3,229.5,NA,0.12,3.022,0.9,default,dogUnacc.jpeg.default,2547.8,2398.2,149.6,329.3,259.4,119.7,319.3,229.5,548.8
1609,simultaneous,lighthouse,Unerg,boyUnerg.jpeg,sleep,yawn,Related,Verb,boy,73,3,building,List4,1,20,{SL} The boy below the lighthouse is yawning,,911.6,179.6,289.3,488.9,69.8,598.7,169.6,NA,0.82,0.771,0.18,default,boyUnerg.jpeg.default,1091.2,911.6,179.6,289.3,488.9,69.8,598.7,169.6,768.3
1610,negative,gun,Unerg,pirateUnerg.jpeg,walk,cough,Unrelated,Verb,pirate,74,3,weapon,List4,1,20,{SL} The pirate below the gun is coughing,,712,329.3,379.1,279.4,99.7,259.5,309.3,NA,0.7,0.987,0,default,pirateUnerg.jpeg.default,1041.3,712,329.3,379.1,279.4,99.7,259.5,309.3,568.8
1611,negative,apple,Unerg,dogUnerg.jpeg,yawn,bark,Unrelated,Verb,dog,75,3,fruit,List4,1,20,{SL} The dog above the apple is barking,,1181,119.7,369.1,518.9,179.6,478.9,339.2,NA,0.7,0.987,0,default,dogUnerg.jpeg.default,1300.7,1181,119.7,369.1,518.9,179.6,478.9,339.2,818.1
1612,simultaneous,guitar,Unacc,pirateUnacc.jpeg,fall,sink,Related,Verb,pirate,76,3,instrument,List4,1,20,{SL} The pirate below the guitar is sinking,,1141,159.7,429,369.2,79.8,468.9,419.1,NA,0.72,1.649,0.92,default,pirateUnacc.jpeg.default,1300.7,1141,159.7,429,369.2,79.8,468.9,419.1,888
1613,negative,ax,Unacc,ballerinaUnacc.jpeg,grow,shrink,Related,Verb,ballerina,77,3,weapon,List4,1,20,{SL} The ballerina above the ax is shrinking,,981.4,79.8,528.8,279.4,209.5,389.1,149.7,NA,0.76,1.56,0.92,default,ballerinaUnacc.jpeg.default,1061.2,981.4,79.8,528.8,279.4,209.5,389.1,149.7,538.8
1614,simultaneous,lemon,Unerg,octopusUnerg.jpeg,run,swim,Related,Verb,octopus,78,3,fruit,List4,1,20,{SL} The octopus below the lemon is swimming,,891.6,339.2,578.7,309.3,69.9,329.2,169.6,NA,0.74,1.574,0.11,default,octopusUnerg.jpeg.default,1230.8,891.6,339.2,578.7,309.3,69.9,329.2,169.6,498.8
1615,negative,tomato,Unerg,penguineUnerg.jpeg,cough,sneeze,Related,Verb,penguine,79,3,fruit,List4,1,20,{SL} The penguin below the tomato is sneezing,,1749.7,159.6,478.9,219.5,79.8,478.9,159.7,NA,0.78,1.088,NA,default,penguineUnerg.jpeg.default,1909.3,1749.7,159.6,478.9,219.5,79.8,478.9,159.7,638.6
1616,simultaneous,dresser,Unacc,chefUnacc.jpeg,bounce,drown,Unrelated,Verb,chef,80,3,funiture,List4,1,20,{SL} The chef above the dresser is drowning,,1091.2,89.8,409,339.3,129.7,738.3,269.4,NA,0.68,1.912,1,default,chefUnacc.jpeg.default,1181,1091.2,89.8,409,339.3,129.7,738.3,269.4,1007.7
1617,simultaneous,castle,Unacc,snailUnacc.jpeg,boil,melt,Related,Verb,snail,81,3,building,List4,1,20,{SL} The snail below the castle is melting,,1809.5,99.8,488.9,359.2,79.8,708.4,169.6,NA,0.16,3.886,0.58,default,snailUnacc.jpeg.default,1909.3,1809.5,99.8,488.9,359.2,79.8,708.4,169.6,878
1618,simultaneous,knife,Unerg,monkeyUnerg.jpeg,yell,sleep,Unrelated,Verb,monkey,82,3,tool,List4,1,20,{SL} The monkey above the knife is sleeping,,1121.1,229.5,518.8,319.3,79.8,449,209.5,NA,0.9,0.606,0,default,monkeyUnerg.jpeg.default,1350.6,1121.1,229.5,518.8,319.3,79.8,449,209.5,658.5
1619,simultaneous,cannon,Unerg,clownUnerg.jpeg,crawl,walk,Related,Verb,clown,83,3,weapon,List4,1,20,{SL} The clown below the canon is walking,,1899.3,149.7,439,299.3,139.7,379.1,199.6,NA,0.58,0.961,0.24,default,clownUnerg.jpeg.default,2049,1899.3,149.7,439,299.3,139.7,379.1,199.6,578.7
1620,negative,windmill,Unerg,chefUnerg.jpeg,bark,yell,Related,Verb,chef,84,3,building,List4,1,20,{SL} The chef above the windmill is yelling,,1590,89.8,339.2,269.4,119.8,498.8,189.6,NA,0.78,0.961,0.06,default,chefUnerg.jpeg.default,1679.8,1590,89.8,339.2,269.4,119.8,498.8,189.6,688.4
1621,simultaneous,harp,Unerg,ballerinaUnerg.jpeg,sneeze,run,Unrelated,Verb,ballerina,85,3,instrument,List4,1,20,{SL} The ballerina above the harp is running,,821.8,99.7,568.7,269.4,69.9,488.9,179.6,NA,0.84,1.034,0.04,default,ballerinaUnerg.jpeg.default,921.5,821.8,99.7,568.7,269.4,69.9,488.9,179.6,668.5
1622,negative,desk,Unacc,boyUnacc.jpeg,shrink,float,Unrelated,Verb,boy,86,3,funiture,List4,1,20,{SL} The boy below the desk is floating,,821.8,299.3,538.8,299.3,109.7,469,259.4,NA,0.7,1.718,0.92,default,boyUnacc.jpeg.default,1121.1,821.8,299.3,538.8,299.3,109.7,469,259.4,728.4
1623,simultaneous,drill,Unacc,penguineUnacc.jpeg,drown,bounce,Unrelated,Verb,penguine,87,3,tool,List4,1,20,{SL} The penguin below the drill is bouncing,,841.7,99.8,538.8,269.4,69.8,468.9,219.5,NA,0.54,1.736,NA,default,penguineUnacc.jpeg.default,941.5,841.7,99.8,538.8,269.4,69.8,468.9,219.5,688.4
1624,negative,table,Unerg,snailUnerg.jpeg,wink,crawl,Unrelated,Verb,snail,88,3,funiture,List4,1,20,{SL} The snail below the table is crawling,moving,NA,NA,NA,NA,NA,NA,NA,NA,0.14,3.728,0.74,default,snailUnerg.jpeg.default,NA,NA,NA,NA,NA,NA,NA,NA,NA
1625,simultaneous,hammer,Unacc,dogUnacc.jpeg,trip,spin,Related,Verb,dog,89,3,tool,List4,1,20,{SL} The dog above the hammer is spinning,,1220.9,309.3,279.3,179.6,139.7,409.1,209.5,NA,0.12,3.022,0.9,default,dogUnacc.jpeg.default,1530.2,1220.9,309.3,279.3,179.6,139.7,409.1,209.5,618.6
1626,negative,violin,Unacc,clownUnacc.jpeg,shake,grow,Unrelated,Verb,clown,90,3,instrument,List4,1,20,{SL} The clown below the violin is growing,,1151,119.7,419.1,269.4,199.5,289.4,239.4,NA,0.7,1.918,1,default,clownUnacc.jpeg.default,1270.7,1151,119.7,419.1,269.4,199.5,289.4,239.4,528.8
1627,negative,church,Unacc,rabbitUnacc.jpeg,bounce,shake,Related,Verb,rabbit,91,3,building,List4,1,20,{SL} The rabbit above the church is shaking,,1230.8,199.6,349.2,289.3,89.8,459,109.7,NA,0.54,2.711,0.8,default,rabbitUnacc.jpeg.default,1430.4,1230.8,199.6,349.2,289.3,89.8,459,109.7,568.7
1628,negative,piano,Unerg,cowboyUnerg.jpeg,smile,wink,Related,Verb,cowboy,92,3,instrument,List4,1,20,{SL} The cowboy above the piano is winking,,1161,99.8,429,349.2,109.8,628.5,159.7,NA,0.64,1.628,0.24,default,cowboyUnerg.jpeg.default,1260.8,1161,99.8,429,349.2,109.8,628.5,159.7,788.2
1629,negative,spoon,Unacc,octopusUnacc.jpeg,fall,boil,Unrelated,Verb,octopus,93,3,tool,List4,1,20,{SL} The octopus below the spoon is boiling,,1041.3,159.6,588.7,209.5,79.8,478.9,319.3,NA,0.5,2.319,0.96,default,octopusUnacc.jpeg.default,1200.9,1041.3,159.6,588.7,209.5,79.8,478.9,319.3,798.2
1630,negative,carrot,Unacc,monkeyUnacc.jpeg,spin,trip,Related,Verb,monkey,94,3,fruit,List4,1,20,{SL} The monkey above the carrot is tripping,,871.7,159.6,389.1,249.4,79.9,399.1,229.4,NA,0.36,3.082,0.59,default,monkeyUnacc.jpeg.default,1031.3,871.7,159.6,389.1,249.4,79.9,399.1,229.4,628.5
1631,simultaneous,sword,Unacc,cowboyUnacc.jpeg,boil,fall,Unrelated,Verb,cowboy,95,3,weapon,List4,1,20,{SL} The cowboy above the sword is falling,,971.4,119.8,299.3,409,69.9,369.1,149.7,NA,0.84,1.114,0.98,default,cowboyUnacc.jpeg.default,1091.2,971.4,119.8,299.3,409,69.9,369.1,149.7,518.8
1632,simultaneous,chair,Unerg,rabitUnerg.jpeg,swim,smile,Unrelated,Verb,rabit,96,3,funiture,List4,1,20,{SL} The rabbit above the chair is smiling,,1659.9,329.2,828.1,339.3,99.7,578.7,219.5,NA,0.46,2.955,0.11,default,rabitUnerg.jpeg.default,1989.1,1659.9,329.2,828.1,339.3,99.7,578.7,219.5,798.2
1693,simultaneous,desk,Unacc,boyUnacc.jpeg,shrink,float,Unrelated,Verb,boy,1,1,funiture,List5,1,21,{SL} The boy below the lighthouse is floating,,1500.2,179.6,149.7,518.8,498.9,658.5,169.6,NA,0.7,1.718,0.92,reverse,boyUnacc.jpeg.reverse,1679.8,1500.2,179.6,149.7,518.8,498.9,658.5,169.6,828.1
1681,simultaneous,church,Unacc,rabbitUnacc.jpeg,bounce,shake,Related,Verb,rabbit,2,1,building,List5,1,21,{SL} The rabbit above the chair is shaking,,1071.2,129.7,409.1,309.3,129.7,389.1,119.7,NA,0.54,2.711,0.8,reverse,rabbitUnacc.jpeg.reverse,1200.9,1071.2,129.7,409.1,309.3,129.7,389.1,119.7,508.8
1657,negative,cannon,Unerg,clownUnerg.jpeg,crawl,walk,Related,Verb,clown,3,1,weapon,List5,1,21,{SL} The clown below the violin is walking,repair,NA,NA,NA,NA,NA,NA,NA,NA,0.58,0.961,0.24,reverse,clownUnerg.jpeg.reverse,NA,NA,NA,NA,NA,NA,NA,NA,NA
1645,negative,drill,Unacc,penguineUnacc.jpeg,drown,bounce,Unrelated,Verb,penguine,4,1,tool,List5,1,21,{SL} The penguin below the tomato is bouncing,,1280.7,159.7,369.1,269.4,139.7,518.8,289.4,NA,0.54,1.736,NA,reverse,penguineUnacc.jpeg.reverse,1440.4,1280.7,159.7,369.1,269.4,139.7,518.8,289.4,808.2
1682,simultaneous,ax,Unacc,ballerinaUnacc.jpeg,grow,shrink,Related,Verb,ballerina,5,1,weapon,List5,1,21,{SL} The ballerina above the harp is shrinking,,1220.9,199.5,548.8,299.3,99.8,309.3,269.3,NA,0.76,1.56,0.92,reverse,ballerinaUnacc.jpeg.reverse,1420.4,1220.9,199.5,548.8,299.3,99.8,309.3,269.3,578.6
1705,simultaneous,windmill,Unerg,chefUnerg.jpeg,bark,yell,Related,Verb,chef,6,1,building,List5,1,21,{SL} The chef above the drawer is yelling,repair,NA,NA,NA,NA,NA,NA,NA,NA,0.78,0.961,0.06,reverse,chefUnerg.jpeg.reverse,NA,NA,NA,NA,NA,NA,NA,NA,NA
1633,negative,hammer,Unacc,dogUnacc.jpeg,trip,spin,Related,Verb,dog,7,1,tool,List5,1,21,{SL} The dog above the apple is spinning,,1270.7,89.8,339.3,289.3,888,578.7,129.7,NA,0.12,3.022,0.9,reverse,dogUnacc.jpeg.reverse,1360.5,1270.7,89.8,339.3,289.3,888,578.7,129.7,708.4
1669,negative,chair,Unerg,rabitUnerg.jpeg,swim,smile,Unrelated,Verb,rabit,8,1,funiture,List5,1,21,{SL} The rabbit above the church is smiling,,1051.2,139.7,449,259.4,99.8,379.1,189.6,NA,0.46,2.955,0.11,reverse,rabitUnerg.jpeg.reverse,1190.9,1051.2,139.7,449,259.4,99.8,379.1,189.6,568.7
1717,simultaneous,apple,Unerg,dogUnerg.jpeg,yawn,bark,Unrelated,Verb,dog,9,1,fruit,List5,1,21,{SL} The dog above the hammer is barking,,1200.9,139.7,329.2,279.4,79.8,608.6,239.5,NA,0.7,0.987,0,reverse,dogUnerg.jpeg.reverse,1340.6,1200.9,139.7,329.2,279.4,79.8,608.6,239.5,848.1
1706,simultaneous,tomato,Unerg,penguineUnerg.jpeg,cough,sneeze,Related,Verb,penguine,10,1,fruit,List5,1,21,{SL} The penguin below the drill is sneezing,,1131.1,149.6,429.1,429,309.3,488.9,239.4,NA,0.78,1.088,NA,reverse,penguineUnerg.jpeg.reverse,1280.7,1131.1,149.6,429.1,429,309.3,488.9,239.4,728.3
1683,simultaneous,carrot,Unacc,monkeyUnacc.jpeg,spin,trip,Related,Verb,monkey,11,1,fruit,List5,1,21,{SL} The monkey above the knife is tripping,,1480.3,109.7,459,299.3,89.8,379.1,229.5,NA,0.36,3.082,0.59,reverse,monkeyUnacc.jpeg.reverse,1590,1480.3,109.7,459,299.3,89.8,379.1,229.5,608.6
1646,negative,sword,Unacc,cowboyUnacc.jpeg,boil,fall,Unrelated,Verb,cowboy,12,1,weapon,List5,1,21,{SL} The cowboy above the piano is falling,,1600,109.8,369.1,419.1,149.6,568.7,239.5,NA,0.84,1.114,0.98,reverse,cowboyUnacc.jpeg.reverse,1709.8,1600,109.8,369.1,419.1,149.6,568.7,239.5,808.2
1694,simultaneous,violin,Unacc,clownUnacc.jpeg,shake,grow,Unrelated,Verb,clown,13,1,instrument,List5,1,21,{SL} The clown below the canon is growing,,1350.6,79.8,419,309.3,149.7,478.9,189.6,NA,0.7,1.918,1,reverse,clownUnacc.jpeg.reverse,1430.4,1350.6,79.8,419,309.3,149.7,478.9,189.6,668.5
1718,simultaneous,gun,Unerg,pirateUnerg.jpeg,walk,cough,Unrelated,Verb,pirate,14,1,weapon,List5,1,21,{SL} The pirate below the guitar is coughing,,1111.1,149.7,449,229.4,79.8,479,209.5,NA,0.7,0.987,0,reverse,pirateUnerg.jpeg.reverse,1260.8,1111.1,149.7,449,229.4,79.8,479,209.5,688.5
1658,negative,lemon,Unerg,octopusUnerg.jpeg,run,swim,Related,Verb,octopus,15,1,fruit,List5,1,21,{SL} The octopus below the spoon is swimming,,1540.1,99.8,688.4,299.4,59.8,359.2,209.5,NA,0.74,1.574,0.11,reverse,octopusUnerg.jpeg.reverse,1639.9,1540.1,99.8,688.4,299.4,59.8,359.2,209.5,568.7
1719,simultaneous,table,Unerg,snailUnerg.jpeg,wink,crawl,Unrelated,Verb,snail,16,1,funiture,List5,1,21,{SL} The snail below the castle is crawling,,1260.8,129.7,419,259.4,99.8,658.5,259.4,NA,0.14,3.728,0.74,reverse,snailUnerg.jpeg.reverse,1390.5,1260.8,129.7,419,259.4,99.8,658.5,259.4,917.9
1659,negative,lighthouse,Unerg,boyUnerg.jpeg,sleep,yawn,Related,Verb,boy,17,1,building,List5,1,21,{SL} The boy below the desk is yawning,,1370.5,79.8,209.6,419,129.7,469,159.6,NA,0.82,0.771,0.18,reverse,boyUnerg.jpeg.reverse,1450.3,1370.5,79.8,209.6,419,129.7,469,159.6,628.6
1695,simultaneous,spoon,Unacc,octopusUnacc.jpeg,fall,boil,Unrelated,Verb,octopus,18,1,tool,List5,1,21,{SL} The octopus below the lemon is boiling,,1161,119.7,578.7,319.3,59.8,359.2,239.5,NA,0.5,2.319,0.96,reverse,octopusUnacc.jpeg.reverse,1280.7,1161,119.7,578.7,319.3,59.8,359.2,239.5,598.7
1707,simultaneous,piano,Unerg,cowboyUnerg.jpeg,smile,wink,Related,Verb,cowboy,19,1,instrument,List5,1,21,{SL} The cowboy above the sword is winking,,1540.1,119.8,389.1,339.2,99.8,359.2,169.6,NA,0.64,1.628,0.24,reverse,cowboyUnerg.jpeg.reverse,1659.9,1540.1,119.8,389.1,339.2,99.8,359.2,169.6,528.8
1634,negative,castle,Unacc,snailUnacc.jpeg,boil,melt,Related,Verb,snail,20,1,building,List5,1,21,{SL} The snail below the table is melting,desk,NA,NA,NA,NA,NA,NA,NA,NA,0.16,3.886,0.58,reverse,snailUnacc.jpeg.reverse,NA,NA,NA,NA,NA,NA,NA,NA,NA
1635,negative,guitar,Unacc,pirateUnacc.jpeg,fall,sink,Related,Verb,pirate,21,1,instrument,List5,1,21,{SL} The pirate below the gun is sinking,,1320.6,189.6,389.1,319.3,79.8,429,199.6,NA,0.72,1.649,0.92,reverse,pirateUnacc.jpeg.reverse,1510.2,1320.6,189.6,389.1,319.3,79.8,429,199.6,628.6
1670,negative,harp,Unerg,ballerinaUnerg.jpeg,sneeze,run,Unrelated,Verb,ballerina,22,1,instrument,List5,1,21,{SL} The ballerina above the ax is running,,1210.9,139.7,568.7,269.4,79.8,399.1,169.6,NA,0.84,1.034,0.04,reverse,ballerinaUnerg.jpeg.reverse,1350.6,1210.9,139.7,568.7,269.4,79.8,399.1,169.6,568.7
1671,negative,knife,Unerg,monkeyUnerg.jpeg,yell,sleep,Unrelated,Verb,monkey,23,1,tool,List5,1,21,{SL} The monkey above the carrot is sleeping,,1420.4,119.7,379.2,239.4,69.9,468.9,79.8,NA,0.9,0.606,0,reverse,monkeyUnerg.jpeg.reverse,1540.1,1420.4,119.7,379.2,239.4,69.9,468.9,79.8,548.7
1647,negative,dresser,Unacc,chefUnacc.jpeg,bounce,drown,Unrelated,Verb,chef,24,1,funiture,List5,1,21,{SL} The chef above the windmill is drowning,,1699.8,119.7,449,329.2,89.8,478.9,219.5,NA,0.68,1.912,1,reverse,chefUnacc.jpeg.reverse,1819.5,1699.8,119.7,449,329.2,89.8,478.9,219.5,698.4
1636,negative,spoon,Unacc,octopusUnacc.jpeg,melt,boil,Related,Verb,octopus,25,2,tool,List5,1,21,{SL} The octopus below the lemon is boiling,,612.2,668.5,718.4,279.4,99.7,409.1,698.4,NA,0.5,2.319,0.96,reverse,octopusUnacc.jpeg.reverse,1280.7,612.2,668.5,718.4,279.4,99.7,409.1,698.4,1107.5
1696,simultaneous,ax,Unacc,ballerinaUnacc.jpeg,float,shrink,Unrelated,Verb,ballerina,26,2,weapon,List5,1,21,{SL} The ballerina above the harp is shrinking,,1310.7,159.6,608.6,279.4,69.8,329.3,79.8,NA,0.76,1.56,0.92,reverse,ballerinaUnacc.jpeg.reverse,1470.3,1310.7,159.6,608.6,279.4,69.8,329.3,79.8,409.1
1637,negative,desk,Unacc,boyUnacc.jpeg,drown,float,Related,Verb,boy,27,2,funiture,List5,1,21,{SL} The boy below the lighthouse is floating,,991.4,119.7,239.5,289.3,219.5,898,159.6,NA,0.7,1.718,0.92,reverse,boyUnacc.jpeg.reverse,1111.1,991.4,119.7,239.5,289.3,219.5,898,159.6,1057.6
1684,simultaneous,sword,Unacc,cowboyUnacc.jpeg,sink,fall,Related,Verb,cowboy,28,2,weapon,List5,1,21,{SL} The cowboy above the piano is falling,,1081.2,89.8,449,319.2,139.7,518.8,169.6,NA,0.84,1.114,0.98,reverse,cowboyUnacc.jpeg.reverse,1171,1081.2,89.8,449,319.2,139.7,518.8,169.6,688.4
1648,negative,guitar,Unacc,pirateUnacc.jpeg,spin,sink,Unrelated,Verb,pirate,29,2,instrument,List5,1,21,{SL} The pirate below the gun is sinking,,1260.8,159.6,449,379.1,1127.5,618.6,169.6,NA,0.72,1.649,0.92,reverse,pirateUnacc.jpeg.reverse,1420.4,1260.8,159.6,449,379.1,1127.5,618.6,169.6,788.2
1720,simultaneous,windmill,Unerg,chefUnerg.jpeg,sleep,yell,Unrelated,Verb,chef,30,2,building,List5,1,21,{SL} The chef above the drawer is yelling,,1639.9,109.8,349.2,309.3,129.7,359.2,189.5,NA,0.78,0.961,0.06,reverse,chefUnerg.jpeg.reverse,1749.7,1639.9,109.8,349.2,309.3,129.7,359.2,189.5,548.7
1638,negative,violin,Unacc,clownUnacc.jpeg,shrink,grow,Related,Verb,clown,31,2,instrument,List5,1,21,{SL} The clown below the canon is growing,,1320.6,149.7,748.3,488.9,309.3,528.8,289.3,NA,0.7,1.918,1,reverse,clownUnacc.jpeg.reverse,1470.3,1320.6,149.7,748.3,488.9,309.3,528.8,289.3,818.1
1685,simultaneous,drill,Unacc,penguineUnacc.jpeg,shake,bounce,Related,Verb,penguine,32,2,tool,List5,1,21,{SL} The penguin below the tomato is bouncing,,1300.7,99.8,429,279.3,119.8,439,239.4,NA,0.54,1.736,NA,reverse,penguineUnacc.jpeg.reverse,1400.5,1300.7,99.8,429,279.3,119.8,439,239.4,678.4
1686,simultaneous,dresser,Unacc,chefUnacc.jpeg,float,drown,Related,Verb,chef,33,2,funiture,List5,1,21,{SL} The chef above the windmill is drowning,,1360.5,89.8,359.2,289.4,89.8,478.9,189.5,NA,0.68,1.912,1,reverse,chefUnacc.jpeg.reverse,1450.3,1360.5,89.8,359.2,289.4,89.8,478.9,189.5,668.4
1708,simultaneous,harp,Unerg,ballerinaUnerg.jpeg,swim,run,Related,Verb,ballerina,34,2,instrument,List5,1,21,{SL} The ballerina above the ax is running,,1310.7,219.5,399.1,339.2,69.8,498.9,219.5,NA,0.84,1.034,0.04,reverse,ballerinaUnerg.jpeg.reverse,1530.2,1310.7,219.5,399.1,339.2,69.8,498.9,219.5,718.4
