"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",6.91760261345119,0.0212685036846946,58.0248114643105,325.251024519852,0
"Relatedness1",-0.0383538337902346,0.0137702478464273,35.44159040433,-2.78526822595903,0.0085302542364265
"soasimultaneous",0.000836401552384624,0.00942531949031369,35.5370072109757,0.088739862160024,0.929786874071091
"Region1",-0.496367431719361,0.0333027141096097,62.0316769994018,-14.9047140748247,0
"Relatedness1:soasimultaneous",0.0356593138018577,0.0197001377393125,29.9707496819454,1.81010479590191,0.0803175415891415
"Relatedness1:Region1",0.0333311231828396,0.0278570769428296,32.9623033854223,1.19650468896088,0.240035192661523
"soasimultaneous:Region1",-0.0292759971503393,0.0202088155514343,36.2007819632185,-1.4486745685727,0.156035697663589
"Relatedness1:soasimultaneous:Region1",-0.0183304147281971,0.0375113016540531,38.3355295733527,-0.488663787176697,0.62786367636925
