"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",7.1560373253895,0.0230186730082712,71.3829457981707,310.879663776367,0
"Relatedness1",-0.0120815802907752,0.0123321002711815,22.1672277294839,-0.979685538156732,0.337813260664052
"VerbType1",-0.0295708258347162,0.0275251997188821,23.2550953339084,-1.07431830238204,0.293701208039081
"soa1",0.0166698439269688,0.0111280690882416,23.1402305543991,1.4979996794397,0.147651583511478
"Relatedness1:VerbType1",0.0523403551717594,0.0257081754491431,24.8920815473731,2.03594204012265,0.0525305540851169
"Relatedness1:soa1",0.023526643716112,0.0259590113078288,21.6304820033959,0.906299682878015,0.374762908692834
"VerbType1:soa1",0.0080342716866079,0.0220142563257675,22.9013705335762,0.364957669599035,0.718491746151797
"Relatedness1:VerbType1:soa1",-0.0411631841577405,0.0517127024936187,21.378912237104,-0.795997543598113,0.434783601815317
