"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.935543565583774,0.337719438602771,2.7701797961478,0.00560253567211867
"PrimeType.lev",-1.18259576669722,0.278197094888842,-4.25092780774634,2.12886784714188e-05
"PrimeCategory.lev1",-0.491765770043346,0.872151115430595,-0.563853856680047,0.572853595532671
"PrimeCategory.lev2",-1.18922426523858,0.849518509779919,-1.39988034580514,0.161549152507457
"PrimeType.lev:PrimeCategory.lev1",0.412921879642167,0.697585632650264,0.59193002309035,0.553897448312265
"PrimeType.lev:PrimeCategory.lev2",0.689941913158793,0.708217382595242,0.974195113131114,0.329959670648063
