"","Estimate","Std. Error","t value"
"(Intercept)",6.91760939482642,0.0156254520321552,442.714193521623
"Relatedness1",-0.0157184032490051,0.00585141775357544,-2.68625552147606
"DistractorType1",-0.01094405998217,0.00700827706040302,-1.56159065742482
"Region1",-0.560590448716603,0.0283596030641582,-19.7672177374406
"Vcodability",0.0476398059437762,0.010597775337851,4.49526475369091
"Relatedness1:DistractorType1",0.0237383553423282,0.012795271440542,1.85524437309808
"Relatedness1:Region1",-0.0249963475143862,0.0157399842969717,-1.58807957128618
"DistractorType1:Region1",-0.0183926374795574,0.0154867022179278,-1.187640675254
"Region1:Vcodability",0.0663253484122805,0.0206488171900237,3.21206526271758
"Relatedness1:DistractorType1:Region1",0.0371850301591587,0.023593851353729,1.57604748803682
