"","Estimate","Std. Error","t value"
"(Intercept)",6.94370264171575,0.0220476470320772,314.940756789754
"Region1",-0.472049160676048,0.0076909013138944,-61.3776125072939
"Relatedness1",-0.0166257296603772,0.00344997414019728,-4.819088197405
"VerbType1",0.0757380129907476,0.0381651225386181,1.98448237429634
"unaccusativity",0.15236409947801,0.0487937928124993,3.12261233848949
"Region1:unaccusativity",0.0415939958116184,0.0102214795682281,4.06927348765702
"RegionOnsetThe:VerbType1:unaccusativity",-0.138571970250525,0.106636398386243,-1.2994809684833
"RegionAI:VerbType1:unaccusativity",0.451452797012677,0.110795425755643,4.07465194464208
