"","Relatedness","VerbType","Pic","Picture","PictureVersion","Distractor","DistractorType","Verb","Anoun","Snoun","Order","expName","participant","Transcription","Utterance","Vcodability","Vagr","Vfreq","Aagreement","Acodability","Afreq","Sfreq","Scodability","Onset","The","dog","above","the","apple","is","soa","syllable","visual_complexity","unaccusativity","OnsetThe","experiment"
"16","Unrelated","Unerg","snailUnerg.jpeg","snailUnerg.jpeg.table","","wink","Verb","crawl","table","snail",16,"List1",1,"{SL} The snail below the table is crawling","desk.. Table",3.728,0.14,3131,0.98,0.141,5.464,10191,0,NA,NA,NA,NA,NA,NA,NA,"n150","long",12010,0.74,NA,"Exp1"
"17","Related","Unerg","boyUnerg.jpeg","boyUnerg.jpeg.lighthouse","B","windmill","Noun","yawn","lighthouse","boy",17,"List1",1,"{SL} The boy below the lighthouse is yawning","",0.771,0.82,1333,0.94,0.409,1.386,42823,1.896,1160.3,119.7,399.1,1097.5,688.5,588.6,139.7,"n150","long",31692,0.18,1280,"Exp1"
"18","Unrelated","Unacc","octopusUnacc.jpeg","octopusUnacc.jpeg.spoon","","fall","Verb","boil","spoon","octopus",18,"List1",1,"{SL} The octopus below the spoon is boiling","",2.319,0.5,3837,1,0.029,2.773,900,0.656,1010.7,169.6,668.5,419,119.7,488.9,149.7,"n150","short",7344,0.96,1180.3,"Exp1"
"19","Related","Unerg","cowboyUnerg.jpeg","cowboyUnerg.jpeg.piano","A","smile","Verb","wink","piano","cowboy",19,"List1",1,"{SL} The cowboy above the piano is winking","",1.643,0.64,1494,1,0.029,3.332,2826,0.35,1399.8,99.7,558.8,728.3,289.4,518.8,189.6,"n150","long",19570,0.24,1499.5,"Exp1"
"20","Related","Unacc","snailUnacc.jpeg","snailUnacc.jpeg.castle","","church","Noun","melt","castle","snail",20,"List1",1,"{SL} The snail below the castle is melting","chair",3.886,0.16,2781,1,0,3.332,10191,0,NA,NA,NA,NA,NA,NA,NA,"n150","long",22746,0.58,NA,"Exp1"
"21","Related","Unacc","pirateUnacc.jpeg","pirateUnacc.jpeg.guitar","","piano","Noun","sink","guitar","pirate",21,"List1",1,"{SL} The pirate below the guitar is sinking","previous",1.594,0.72,8579,0.98,0.141,2.079,6292,0.592,NA,NA,NA,NA,NA,NA,NA,"n150","long",12032,0.92,NA,"Exp1"
"22","Unrelated","Unerg","ballerinaUnerg.jpeg","ballerinaUnerg.jpeg.harp","B","church","Noun","run","harp","ballerina",22,"List1",1,"{SL} The ballerina above the harp is running","",1.034,0.84,223338,0.96,0.388,1.386,140,1.707,1808.8,99.8,728.4,399.1,129.7,349.2,229.4,"n150","short",14170,0.04,1908.6,"Exp1"
"23","Unrelated","Unerg","monkeyUnerg.jpeg","monkeyUnerg.jpeg.knife","B","castle","Noun","sleep","knife","monkey",23,"List1",1,"{SL} The monkey above the knife is sleeping","",0.606,0.9,25606,1,0.057,3.807,4882,0.357,1120.4,89.8,578.7,458.9,119.8,888,119.7,"n150","long",8773,0,1210.2,"Exp1"
"24","Unrelated","Unacc","chefUnacc.jpeg","chefUnacc.jpeg.drawer","A","hammer","Noun","drown","drawer","chef",24,"List1",1,"{SL} The chef above the drawer is drowning","",1.912,0.68,1415,0.48,2.095,1.792,1418,0.774,1200.2,89.8,668.5,488.9,458.9,738.4,389.1,"n150","long",21173,1,1290,"Exp1"
"25","Related","Unacc","octopusUnacc.jpeg","octopusUnacc.jpeg.spoon","","knife","Noun","boil","spoon","octopus",25,"List1",1,"{SL} The octopus below the spoon is boiling","",2.319,0.5,3837,1,0.029,2.773,900,0.656,1569.4,139.7,668.5,349.2,129.7,458.9,189.6,"n150","short",7344,0.96,1709.1,"Exp1"
"26","Unrelated","Unacc","ballerinaUnacc.jpeg","ballerinaUnacc.jpeg.ax","A","float","Verb","shrink","ax","ballerina",26,"List1",1,"{SL} The ballerina above the ax is shrinking","",1.56,0.76,4085,0.86,0.668,2.303,140,1.937,1359.9,109.7,977.8,967.8,309.3,558.7,199.6,"n150","short",7849,0.92,1469.6,"Exp1"
"27","Related","Unacc","boyUnacc.jpeg","boyUnacc.jpeg.desk","A","chair","Noun","float","desk","boy",27,"List1",1,"{SL} The boy below the desk is floating","",1.718,0.7,5704,1,0,4.522,42823,1.733,1290,209.5,409.1,1416.8,109.7,918,169.6,"n150","short",17761,0.92,1499.5,"Exp1"
"28","Related","Unacc","cowboyUnacc.jpeg","cowboyUnacc.jpeg.sword","B","sink","Verb","fall","sword","cowboy",28,"List1",1,"{SL} The cowboy above the sword is falling","",1.114,0.84,46059,0.92,0.522,2.89,2826,0.885,2058.3,1067.6,488.8,548.8,229.5,478.9,129.7,"n150","short",10243,0.98,3125.9,"Exp1"
"29","Unrelated","Unacc","pirateUnacc.jpeg","pirateUnacc.jpeg.guitar","","gun","Noun","sink","guitar","pirate",29,"List1",1,"{SL} The pirate below the guitar is sinking","drowning",1.594,0.72,8579,0.98,0.141,2.079,6292,0.592,NA,NA,NA,NA,NA,NA,NA,"n150","long",12032,0.92,NA,"Exp1"
"30","Unrelated","Unerg","chefUnerg.jpeg","chefUnerg.jpeg.windmill","B","sleep","Verb","yell","windmill","chef",30,"List1",1,"{SL} The chef above the windmill is yelling","",0.961,0.78,3322,0.93,0.55,2.303,1418,1.194,1729,518.8,638.6,498.9,129.7,429,149.7,"n150","long",12430,0.06,2247.8,"Exp1"
"31","Related","Unacc","clownUnacc.jpeg","clownUnacc.jpeg.violin","B","harp","Noun","grow","violin","clown",31,"List1",1,"{SL} The clown below the violin is growing","",1.786,0.7,24803,0.82,0.858,1.946,2761,0.179,1329.9,359.2,468.9,349.3,119.7,658.5,169.6,"n150","long",8571,1,1689.1,"Exp1"
"32","Related","Unacc","penguineUnacc.jpeg","penguineUnacc.jpeg.drill","","shake","Verb","bounce","drill","penguin",32,"List1",1,"{SL} The penguin below the drill is bouncing","",1.645,0.54,4243,0.63,1.704,2.197,2222,0.303,1469.6,59.9,389.1,389.1,119.7,359.2,139.7,"n150","short",16254,0.56,1529.5,"Exp1"
"33","Related","Unacc","chefUnacc.jpeg","chefUnacc.jpeg.drawer","A","float","Verb","drown","drawer","chef",33,"List1",1,"{SL} The chef above the drawer is drowning","",1.912,0.68,1415,0.48,2.095,1.792,1418,0.774,1300,89.8,977.8,548.7,149.7,508.8,159.7,"n150","long",21173,1,1389.8,"Exp1"
"34","Related","Unerg","ballerinaUnerg.jpeg","ballerinaUnerg.jpeg.harp","B","swim","Verb","run","harp","ballerina",34,"List1",1,"{SL} The ballerina above the harp is running","",1.034,0.84,223338,0.96,0.388,1.386,140,1.707,2307.7,339.2,349.2,439,149.7,329.3,199.5,"n150","short",14170,0.04,2646.9,"Exp1"
"35","Unrelated","Unerg","octopusUnerg.jpeg","octopusUnerg.jpeg.lemon","","cannon","Noun","swim","lemon","octopus",35,"List1",1,"{SL} The octopus below the lemon is swimming","",1.574,0.74,5116,0.96,0.31,2.773,900,0.48,1509.5,149.7,648.5,349.2,89.8,399.1,159.6,"n150","long",8524,0.11,1659.2,"Exp1"
"36","Unrelated","Unacc","snailUnacc.jpeg","snailUnacc.jpeg.castle","","knife","Noun","melt","castle","snail",36,"List1",1,"{SL} The snail below the castle is melting","",3.886,0.16,2781,1,0,3.332,10191,0,1240.1,119.8,419,359.2,79.8,558.7,169.7,"n150","long",22746,0.58,1359.9,"Exp1"
"37","Related","Unerg","rabitUnerg.jpeg","rabitUnerg.jpeg.chair","","wink","Verb","smile","chair","rabbit",37,"List1",1,"{SL} The rabbit above the chair is smiling","",2.748,0.46,12276,1,0,4.92,5751,1.061,1040.6,109.7,508.9,449,129.7,1007.7,439,"n150","short",11238,0.11,1150.3,"Exp1"
"38","Related","Unerg","monkeyUnerg.jpeg","monkeyUnerg.jpeg.knife","B","yawn","Verb","sleep","knife","monkey",38,"List1",1,"{SL} The monkey above the knife is sleeping","",0.606,0.9,25606,1,0.057,3.807,4882,0.357,1110.4,109.8,439,329.2,89.8,399.1,239.5,"n150","long",8773,0,1220.2,"Exp1"
"39","Unrelated","Unacc","rabbitUnacc.jpeg","rabbitUnacc.jpeg.church","","grow","Verb","shake","church","rabbit",39,"List1",1,"{SL} The rabbit above the church is shaking","",2.711,0.54,5292,0.96,0.282,5.215,5751,1.086,1220.2,578.7,558.7,758.3,109.7,389.1,139.7,"n150","short",34595,0.8,1798.9,"Exp1"
"40","Related","Unerg","dogUnerg.jpeg","dogUnerg.jpeg.apple","A","lemon","Noun","bark","apple","dog",40,"List1",1,"{SL} The dog above the apple is barking","",0.987,0.7,2441,1,0.029,3.434,58314,0.629,1270.1,129.7,399.1,329.2,59.9,628.6,149.6,"n150","long",8241,0,1399.8,"Exp1"
"41","Unrelated","Unerg","cowboyUnerg.jpeg","cowboyUnerg.jpeg.piano","A","crawl","Verb","wink","piano","cowboy",41,"List1",1,"{SL} The cowboy above the piano is winking","",1.643,0.64,1494,1,0.029,3.332,2826,0.35,1240.1,139.7,379.2,399,109.8,518.8,179.6,"n150","long",19570,0.24,1379.8,"Exp1"
"42","Unrelated","Unerg","penguineUnerg.jpeg","penguineUnerg.jpeg.tomato","","run","Verb","sneeze","tomato","penguin",42,"List1",1,"{SL} The penguin below the tomato is sneezing","",1.088,0.78,540,0.98,0.141,2.708,2222,0.689,890.9,219.5,439,339.3,818.1,1446.7,578.7,"n150","long",8388,0.04,1110.4,"Exp1"
"43","Related","Unerg","pirateUnerg.jpeg","pirateUnerg.jpeg.gun","","cannon","Noun","cough","gun","pirate",43,"List1",1,"{SL} The pirate below the gun is coughing","",0.987,0.7,2215,0.9,0.687,4.605,6292,0.69,1529.5,239.4,708.4,409.1,219.5,678.5,618.5,"n150","short",10904,0,1768.9,"Exp1"
"44","Related","Unerg","snailUnerg.jpeg","snailUnerg.jpeg.table","","dresser","Noun","crawl","table","snail",44,"List1",1,"{SL} The snail below the table is crawling","",3.728,0.14,3131,0.98,0.141,5.464,10191,0,881,259.4,488.9,349.2,359.1,1107.5,808.2,"n150","long",12010,0.74,1140.4,"Exp1"
"45","Unrelated","Unerg","clownUnerg.jpeg","clownUnerg.jpeg.canon","A","lemon","Noun","walk","canon","clown",45,"List1",1,"{SL} The clown below the canon is walking","",2.218,0.58,33093,1,0.111,1.946,2761,1.896,1489.6,1097.5,808.1,359.2,129.7,508.9,169.6,"n150","long",17678,0.24,2587.1,"Exp1"
"46","Unrelated","Unacc","monkeyUnacc.jpeg","monkeyUnacc.jpeg.carrot","A","melt","Verb","trip","carrot","monkey",46,"List1",1,"{SL} The monkey above the carrot is tripping","",3.082,0.36,28399,1,0,2.197,4882,0.815,1320,99.7,648.6,478.9,149.6,538.8,199.5,"n150","long",13201,0.59,1419.7,"Exp1"
"47","Unrelated","Unerg","boyUnerg.jpeg","boyUnerg.jpeg.lighthouse","B","apple","Noun","yawn","lighthouse","boy",47,"List1",1,"{SL} The boy below the lighthouse is yawning","",0.771,0.82,1333,0.94,0.409,1.386,42823,1.896,1759,109.7,389.1,429,149.7,1277.1,668.5,"n150","long",31692,0.18,1868.7,"Exp1"
"48","Unrelated","Unacc","dogUnacc.jpeg","dogUnacc.jpeg.hammer","B","dresser","Noun","spin","hammer","dog",48,"List1",1,"{SL} The dog above the hammer is spinning","",3.022,0.12,10683,1,0.057,2.485,58314,0.995,1419.7,1895.7,349.2,429.1,109.7,419,169.7,"n150","long",9533,0.9,3315.4,"Exp1"
"49","Related","Unerg","boyUnerg.jpeg","boyUnerg.jpeg.lighthouse","B","sleep","Verb","yawn","lighthouse","boy",49,"List1",1,"{SL} The boy below the lighthouse is yawning","",0.771,0.82,1333,0.94,0.409,1.386,42823,1.896,1569.4,109.7,1636.3,379.2,159.6,678.5,199.5,"n150","long",31692,0.18,1679.1,"Exp1"
"50","Unrelated","Unerg","pirateUnerg.jpeg","pirateUnerg.jpeg.gun","","guitar","Noun","cough","gun","pirate",50,"List1",1,"{SL} The pirate below the gun is coughing","",0.987,0.7,2215,0.9,0.687,4.605,6292,0.69,1040.6,2544.2,1147.4,279.4,239.4,159.7,59.8,"n150","short",10904,0,3584.8,"Exp1"
