"Subject" "AbsTrial" "List" "CardSet" "VerbCat" "Confusable." "TargBinary" "PTnumeric" "VerbClass" "Item" "PrimeType" "Homogeneity"
"70" 4 151 4 2 "read" 1 1 1 "Dative" 9 "preferred" "Homogenous"
"71" 4 154 4 2 "read" 1 1 1 "Dative" 10 "preferred" "Homogenous"
"72" 4 156 4 2 "spray" 0 1 0 "Locative" 41 "dispreferred" "Heterogenous"
"73" 4 160 4 2 "give" 0 1 0 "Dative" 3 "dispreferred" "Heterogenous"
"74" 4 161 4 2 "rub" 1 1 0 "Locative" 32 "dispreferred" "Homogenous"
"75" 4 163 4 2 "throw" 0 1 1 "Dative" 23 "preferred" "Heterogenous"
"76" 4 166 4 2 "show" 0 1 1 "Dative" 15 "preferred" "Heterogenous"
"77" 4 171 4 2 "throw" 1 1 0 "Dative" 24 "dispreferred" "Homogenous"
"78" 4 173 4 2 "rub" 0 1 0 "Locative" 35 "dispreferred" "Heterogenous"
"79" 4 174 4 2 "throw" 1 1 0 "Dative" 19 "dispreferred" "Homogenous"
"80" 4 176 4 2 "spray" 0 1 1 "Locative" 37 "preferred" "Heterogenous"
"81" 4 177 4 2 "throw" 1 1 1 "Dative" 20 "preferred" "Homogenous"
"82" 4 179 4 2 "sprinkle" 0 1 0 "Locative" 46 "dispreferred" "Heterogenous"
"83" 4 180 4 2 "throw" 1 1 1 "Dative" 21 "preferred" "Homogenous"
"84" 4 181 4 2 "sprinkle" 1 1 1 "Locative" 43 "preferred" "Homogenous"
"85" 4 183 4 2 "give" 0 1 0 "Dative" 4 "dispreferred" "Heterogenous"
"86" 4 184 4 2 "sprinkle" 1 1 1 "Locative" 44 "preferred" "Homogenous"
"87" 4 186 4 2 "read" 0 1 1 "Dative" 11 "preferred" "Heterogenous"
"88" 4 187 4 2 "sprinkle" 1 1 0 "Locative" 45 "dispreferred" "Homogenous"
"89" 4 189 4 2 "show" 0 1 1 "Dative" 16 "preferred" "Heterogenous"
"90" 4 190 4 2 "sprinkle" 1 1 0 "Locative" 47 "dispreferred" "Homogenous"
"91" 4 192 4 2 "throw" 0 1 0 "Dative" 22 "dispreferred" "Heterogenous"
"92" 5 193 5 3 "give" 1 0 1 "Dative" 3 "preferred" "Homogenous"
"93" 5 195 5 3 "put" 0 1 1 "Locative" 25 "preferred" "Heterogenous"
"94" 5 196 5 3 "give" 1 0 1 "Dative" 4 "preferred" "Homogenous"
"95" 5 198 5 3 "rub" 0 1 0 "Locative" 33 "dispreferred" "Heterogenous"
"96" 5 199 5 3 "give" 1 1 0 "Dative" 5 "dispreferred" "Homogenous"
"97" 5 204 5 3 "sprinkle" 0 1 0 "Locative" 45 "dispreferred" "Heterogenous"
