"","subject","trial","isi","lexicality","prime","target","accuracy","RT","rel"
"46823",47,324,50,1,"GENTLE","loving",1,452,"rel"
"46824",48,125,1050,1,"SONIC","sound",1,452,"rel"
"46825",48,262,1050,1,"TEARS","rip",1,452,"rel"
"47056",5,345,50,1,"MEMBER","club",1,452,"rel"
"47057",6,827,50,1,"CRUTCH","leg",1,452,"rel"
"47058",7,286,50,1,"EFFORT","try",1,452,"rel"
"47059",9,650,1050,1,"TYPE","kind",1,452,"rel"
"47060",15,81,50,1,"PLAYTHING","toy",1,452,"rel"
"47061",16,672,50,1,"JEWISH","religion",1,452,"rel"
"47062",16,487,50,1,"JOG","run",1,452,"rel"
"47063",18,193,1050,1,"FAN","air",1,452,"rel"
"47064",18,467,50,1,"OUT","in",1,452,"rel"
"47065",18,302,1050,1,"DEFEND","protect",1,452,"rel"
"47067",20,66,1050,1,"ANTLERS","deer",1,452,"rel"
"47068",26,281,1050,1,"TICKET","concert",1,452,"rel"
"47069",26,344,1050,1,"EUROPE","asia",1,452,"rel"
"47070",26,562,50,1,"CONTEST","winner",1,452,"rel"
"47071",33,50,50,1,"TOGETHER","apart",1,452,"rel"
"47072",33,54,50,1,"FINGER","hand",1,452,"rel"
"47073",33,156,50,1,"PLUS","minus",1,452,"rel"
"47074",34,149,1050,1,"DEVELOP","grow",1,452,"rel"
"47075",36,83,1050,1,"BEING","human",1,452,"rel"
"47078",42,485,50,1,"WAREHOUSE","storage",1,452,"rel"
"47079",44,755,50,1,"ACCOMPLISHED","finished",1,452,"rel"
"47080",47,745,1050,1,"REPRIMAND","punishment",1,452,"rel"
"47081",48,646,50,1,"FAILURE","success",1,452,"rel"
"47082",48,434,50,1,"NO","yes",1,452,"rel"
"47373",6,40,1050,1,"TOTAL","zone",1,453,"un"
"47374",8,130,1050,1,"PAGE","later",1,453,"un"
"47375",9,700,1050,1,"AUTHOR","planet",1,453,"un"
"47376",10,830,50,1,"LIFT","one",1,453,"un"
"47377",11,11,50,1,"OASIS","move",1,453,"un"
"47378",14,251,1050,1,"LOUNGE","help",1,453,"un"
"47380",18,808,50,1,"RULES","yours",1,453,"un"
"47382",21,68,50,1,"PALE","argue",0,453,"un"
"47384",26,495,50,1,"IMPOSSIBLE","boy",1,453,"un"
"47386",36,535,50,1,"VISIT","fix",1,453,"un"
"47387",42,152,1050,1,"SCRUB","road",1,453,"un"
"47388",42,788,50,1,"WASTED","actor",1,453,"un"
"47389",44,60,1050,1,"CREATION","waiter",1,453,"un"
"47391",47,538,1050,1,"GRACE","fold",1,453,"un"
"47392",48,204,1050,1,"ANTLER","excuse",1,453,"un"
"47624",2,235,1050,1,"MARK","late",1,453,"un"
"47625",5,199,50,1,"MEANING","egg",1,453,"un"
"47626",7,763,1050,1,"VARIETY","empire",1,453,"un"
"47627",15,35,50,1,"MANNER","old",1,453,"un"
"47628",17,59,50,1,"ASTRONAUT","climb",1,453,"un"
"47630",20,10,1050,1,"STANDARD","anger",1,453,"un"
"47632",33,307,50,1,"STALE","first",1,453,"un"
"47633",36,594,50,1,"ASPHALT","sister",1,453,"un"
"47634",40,243,1050,1,"PARCEL","ask",1,453,"un"
"47635",42,121,1050,1,"ILLEGAL","sun",1,453,"un"
"47637",47,89,50,1,"LOTS","joke",1,453,"un"
"47845",5,220,50,1,"STRING","tie",1,453,"rel"
"47846",5,732,1050,1,"KEEP","own",1,453,"rel"
"47847",6,313,1050,1,"SWEAR","promise",1,453,"rel"
"47848",8,49,1050,1,"LOSER","geek",1,453,"rel"
"47849",14,142,1050,1,"BIAS","race",1,453,"rel"
"47850",15,163,50,1,"PROPERTY","tax",1,453,"rel"
"47851",18,623,50,1,"BACK","behind",1,453,"rel"
"47852",18,249,1050,1,"GRIEF","tears",1,453,"rel"
"47853",18,553,50,1,"PERSONAL","diary",1,453,"rel"
"47854",22,35,1050,1,"TEND","watch",1,453,"rel"
"47855",27,69,50,1,"LUNG","cancer",1,453,"rel"
"47856",32,85,1050,1,"HORNET","sting",1,453,"rel"
"47857",33,316,50,1,"BEDROOM","bathroom",1,453,"rel"
"47858",33,279,50,1,"EXPRESSION","emotion",1,453,"rel"
"47860",36,519,50,1,"FELT","hand",1,453,"rel"
"47861",40,659,50,1,"LAWN","chair",1,453,"rel"
"47862",42,34,1050,1,"AIM","toothpaste",1,453,"rel"
"48082",6,650,50,1,"GLARE","stare",1,453,"rel"
"48083",7,358,50,1,"DEFINITION","meaning",1,453,"rel"
"48084",7,509,1050,1,"GUYS","girls",1,453,"rel"
"48085",10,460,50,1,"POCKETBOOK","purse",1,453,"rel"
"48086",15,259,50,1,"KING","queen",1,453,"rel"
"48087",15,104,50,1,"CHANGE","different",1,453,"rel"
"48088",16,375,1050,1,"LAW","order",1,453,"rel"
"48089",17,100,50,1,"SLOB","messy",1,453,"rel"
"48091",18,597,50,1,"HOLD","grasp",1,453,"rel"
"48092",19,220,50,1,"FOG","mist",1,453,"rel"
"48093",20,181,1050,1,"GEORGE","washington",1,453,"rel"
"48094",26,302,1050,1,"WIDE","narrow",1,453,"rel"
"48095",26,314,1050,1,"COZY","comfortable",1,453,"rel"
"48096",26,407,1050,1,"WAIST","hip",1,453,"rel"
"48097",27,184,50,1,"OLD","new",1,453,"rel"
"48098",28,512,50,1,"SPIDER","web",1,453,"rel"
"48099",28,646,50,1,"FOAM","shave",1,453,"rel"
"48100",33,636,1050,1,"BRITTLE","peanut",1,453,"rel"
"48101",35,550,1050,1,"DEMON","devil",1,453,"rel"
"48103",36,787,50,1,"MISS","hit",1,453,"rel"
"48104",37,110,50,1,"DEAL","cards",1,453,"rel"
"48105",40,65,1050,1,"RAPE","crime",1,453,"rel"
"48106",44,418,50,1,"TEMPLE","church",1,453,"rel"
"48107",44,503,50,1,"DEMOCRAT","republican",1,453,"rel"
"48369",2,356,1050,1,"COLLECT","real",1,454,"un"
"48370",3,562,1050,1,"CARDBOARD","space",1,454,"un"
"48371",5,411,50,1,"OXYGEN","write",1,454,"un"
"48372",5,543,1050,1,"DEPTH","grass",1,454,"un"
"48373",6,46,1050,1,"SLUM","fun",0,454,"un"
"48376",8,299,1050,1,"PREFER","two",1,454,"un"
"48377",8,408,1050,1,"INDUSTRY","luck",1,454,"un"
"48379",14,24,1050,1,"SQUARE","bomb",1,454,"un"
"48381",15,303,50,1,"ENOUGH","black",1,454,"un"
"48382",15,278,50,1,"DOORWAY","do",1,454,"un"
"48383",16,348,1050,1,"STRAND","unfair",1,454,"un"
"48384",18,132,1050,1,"FOOTBALL","mud",1,454,"un"
"48385",26,552,50,1,"HANDBAG","forever",1,454,"un"
"48387",40,797,50,1,"SOLDIER","goose",1,454,"un"
"48388",47,414,50,1,"HINGE","alright",1,454,"un"
"48619",3,321,50,1,"ELEMENTS","chain",1,454,"un"
"48620",10,406,1050,1,"ASS","thirst",1,454,"un"
"48621",11,25,50,1,"CROCHET","sex",1,454,"un"
"48623",16,291,1050,1,"MASSAGE","planet",1,454,"un"
"48626",19,47,50,1,"VIOLET","toothpaste",1,454,"un"
"48628",26,297,1050,1,"POWERFUL","suffocate",1,454,"un"
"48629",35,601,1050,1,"PYRAMID","object",1,454,"un"
"48631",45,156,50,1,"GOVERNOR","green",1,454,"un"
"48865",3,412,50,1,"ALCOHOL","drink",1,454,"rel"
"48866",5,748,1050,1,"WINDING","closing",1,454,"rel"
"48867",9,201,50,1,"HOUND","blood",1,454,"rel"
"48868",10,478,50,1,"SLUM","city",1,454,"rel"
"48870",12,294,1050,1,"TROMBONE","band",1,454,"rel"
"48871",15,495,1050,1,"IRRITATE","angry",1,454,"rel"
"48872",16,318,1050,1,"ADDITION","plus",1,454,"rel"
"48873",16,682,50,1,"MAZE","lost",1,454,"rel"
"48874",17,312,50,1,"STORAGE","keep",1,454,"rel"
"48875",18,279,1050,1,"SUPPOSE","assume",1,454,"rel"
"48876",19,27,50,1,"BOX","shoe",1,454,"rel"
"48877",19,509,1050,1,"PROFESSOR","teach",1,454,"rel"
"48878",20,146,1050,1,"PILLOW","blanket",1,454,"rel"
"48879",30,258,1050,1,"ECONOMY","society",1,454,"rel"
"48880",33,38,50,1,"CAUSE","why",1,454,"rel"
"48881",33,181,50,1,"VENT","anger",1,454,"rel"
"48882",33,313,50,1,"DONATION","gift",1,454,"rel"
"48883",33,633,1050,1,"METEOR","shower",1,454,"rel"
"48884",34,182,1050,1,"DANDRUFF","flakes",1,454,"rel"
"48885",35,503,1050,1,"BRAKE","go",1,454,"rel"
"48886",35,398,50,1,"SIDEWALK","walkway",1,454,"rel"
"48887",36,72,1050,1,"CORNBEEF","beef",1,454,"rel"
"48890",42,254,1050,1,"FAMOUS","artist",1,454,"rel"
"48891",47,4,50,1,"VEHICLE","speed",1,454,"rel"
"49179",5,726,1050,1,"CIGAR","smoke",1,454,"rel"
"49180",7,618,1050,1,"GLOVES","hands",1,454,"rel"
"49181",10,132,1050,1,"MAGAZINE","book",0,454,"rel"
"49183",18,816,50,1,"SLY","fox",1,454,"rel"
"49185",18,616,50,1,"USUAL","unusual",1,454,"rel"
"49186",18,801,50,1,"STOCK","market",1,454,"rel"
"49187",19,697,1050,1,"SLACKS","pants",1,454,"rel"
"49188",21,202,50,1,"SWISS","cheese",1,454,"rel"
"49189",26,570,50,1,"DISH","plate",0,454,"rel"
"49190",26,751,50,1,"HIKE","walk",1,454,"rel"
"49191",26,6,1050,1,"SALT","pepper",1,454,"rel"
"49192",27,293,50,1,"GARBAGE","trash",1,454,"rel"
"49193",28,307,1050,1,"MEADOW","field",1,454,"rel"
"49194",33,794,1050,1,"SCOLD","yell",1,454,"rel"
"49195",36,799,50,1,"PLAZA","mall",1,454,"rel"
"49196",37,788,1050,1,"CIGAR","smoke",1,454,"rel"
"49197",42,110,1050,1,"CONTINENT","africa",1,454,"rel"
"49198",48,57,1050,1,"WEED","grass",1,454,"rel"
"49476",2,528,50,1,"VODKA","forward",1,455,"un"
"49478",5,552,1050,1,"WATERFALL","builder",1,455,"un"
"49480",9,309,50,1,"STICK","sunday",1,455,"un"
"49481",9,367,50,1,"MOMENT","closed",1,455,"un"
"49482",10,186,1050,1,"CUFF","business",1,455,"un"
"49483",16,17,1050,1,"REPUBLICAN","sick",1,455,"un"
"49484",17,229,50,1,"SAY","fright",1,455,"un"
"49485",21,10,50,1,"CLENCH","bed",1,455,"un"
"49486",21,513,1050,1,"HITCH","hug",1,455,"un"
"49487",27,143,50,1,"COMBINE","irregular",1,455,"un"
"49488",27,362,50,1,"MATTER","boxer",1,455,"un"
"49489",35,36,50,1,"CHISEL","climb",1,455,"un"
"49490",35,244,50,1,"OASIS","move",0,455,"un"
"49493",42,17,1050,1,"ECSTASY","crackle",1,455,"un"
"49497",48,14,1050,1,"BANKER","england",1,455,"un"
"49498",48,504,50,1,"TURNIP","bitch",1,455,"un"
"49708",3,277,50,1,"PERCEPTION","values",1,455,"un"
"49709",5,282,50,1,"ANCESTOR","minus",1,455,"un"
"49710",5,42,50,1,"TENSION","dry",1,455,"un"
"49711",7,102,50,1,"ACTRESS","key",1,455,"un"
"49712",7,549,1050,1,"JAW","minimum",1,455,"un"
"49713",8,7,1050,1,"INNOCENCE","frog",1,455,"un"
"49715",16,354,1050,1,"CLOSING","package",1,455,"un"
"49716",17,62,50,1,"ELECTRON","work",1,455,"un"
"49717",18,55,1050,1,"CORPSE","not",1,455,"un"
"49718",18,239,1050,1,"TOPPING","bend",1,455,"un"
"49719",19,691,1050,1,"CRICKET","better",1,455,"un"
"49720",21,637,1050,1,"HALT","death",1,455,"un"
"49721",26,270,1050,1,"ADVERB","mom",1,455,"un"
"49724",26,357,1050,1,"RAYS","fortune",1,455,"un"
"49725",29,310,50,1,"OUCH","go",1,455,"un"
"49726",33,267,50,1,"GULLY","bride",1,455,"un"
"49727",35,259,50,1,"GLOVES","monster",1,455,"un"
"49936",3,613,1050,1,"REFRAIN","talking",1,455,"rel"
"49937",5,426,1050,1,"TAPE","record",1,455,"rel"
"49939",15,245,50,1,"SOAK","wash",1,455,"rel"
"49940",16,134,1050,1,"POPCORN","butter",1,455,"rel"
"49944",34,171,1050,1,"AIM","toothpaste",1,455,"rel"
"49945",35,349,50,1,"LOUD","pain",1,455,"rel"
"49948",40,291,1050,1,"INFERNO","volcano",1,455,"rel"
"49949",48,42,1050,1,"FUMES","smoke",1,455,"rel"
"49950",48,47,1050,1,"CARNIVAL","party",1,455,"rel"
"50230",2,273,1050,1,"DEVELOP","grow",1,455,"rel"
"50231",2,204,1050,1,"SUBJECT","class",1,455,"rel"
"50232",2,610,50,1,"MONDAY","tuesday",1,455,"rel"
"50233",2,739,50,1,"THRONE","king",1,455,"rel"
"50234",3,523,1050,1,"PREPARE","ready",1,455,"rel"
"50236",6,771,50,1,"SINKER","fishing",1,455,"rel"
"50237",7,89,50,1,"KING","queen",1,455,"rel"
"50238",16,240,1050,1,"BAY","water",1,455,"rel"
"50239",16,268,1050,1,"MOW","lawn",1,455,"rel"
"50240",26,71,1050,1,"LIBERAL","conservativ",1,455,"rel"
"50241",27,356,50,1,"PEDAL","bike",1,455,"rel"
"50242",28,385,1050,1,"BEFORE","after",1,455,"rel"
"50243",29,318,50,1,"CRISP","crunchy",1,455,"rel"
"50244",33,386,50,1,"BEAN","green",1,455,"rel"
"50245",33,738,1050,1,"TERROR","fear",1,455,"rel"
"50247",36,718,50,1,"SEPARATE","divide",1,455,"rel"
"50248",42,484,50,1,"NOON","lunch",1,455,"rel"
"50250",44,815,50,1,"ISSUE","magazine",1,455,"rel"
"50526",2,8,1050,1,"RIDICULE","employer",1,456,"un"
"50527",2,337,1050,1,"STALK","fight",1,456,"un"
"50528",3,672,1050,1,"PERCEIVE","bother",1,456,"un"
"50529",3,608,1050,1,"DISTURB","club",1,456,"un"
"50530",5,394,50,1,"CAGE","wide",1,456,"un"
"50532",7,40,50,1,"PATIENT","me",1,456,"un"
"50533",7,628,1050,1,"BRACES","stage",1,456,"un"
"50534",9,106,50,1,"COMET","test",1,456,"un"
"50535",15,271,50,1,"ROOMMATE","blue",1,456,"un"
"50536",16,22,1050,1,"SORORITY","clear",1,456,"un"
"50537",17,58,50,1,"STING","exit",1,456,"un"
"50538",19,136,50,1,"DECORATION","father",1,456,"un"
"50539",35,256,50,1,"PLASTIC","open",1,456,"un"
"50541",36,708,50,1,"SENATOR","rocks",1,456,"un"
"50542",47,47,50,1,"CHESS","foot",1,456,"un"
"50543",48,25,1050,1,"SUPERVISOR","snow",1,456,"un"
"50747",2,442,50,1,"ADVERB","mom",1,456,"un"
"50748",5,285,50,1,"RADISH","call",1,456,"un"
"50749",7,169,50,1,"GENE","closed",1,456,"un"
"50750",7,687,1050,1,"ANTEATER","ring",1,456,"un"
"50751",8,257,1050,1,"POST","crayon",1,456,"un"
"50752",10,804,50,1,"REGION","loving",1,456,"un"
"50753",18,20,1050,1,"ITEM","turtle",1,456,"un"
"50754",18,61,1050,1,"CONTROL","enter",1,456,"un"
"50755",18,473,50,1,"DONKEY","don't",1,456,"un"
"50756",18,445,50,1,"TRANSPLANT","last",1,456,"un"
"50758",27,782,1050,1,"MOW","run",1,456,"un"
"50759",27,365,50,1,"STAIN","artist",1,456,"un"
"50760",35,125,50,1,"EFFORT","workout",1,456,"un"
"50761",36,501,50,1,"RAW","kill",1,456,"un"
"50762",42,336,1050,1,"EAST","beginning",1,456,"un"
"50764",44,666,50,1,"HOE","doll",1,456,"un"
"50765",47,398,50,1,"MANNER","old",1,456,"un"
"50766",48,70,1050,1,"DEMON","diamond",1,456,"un"
"50960",3,293,50,1,"POPE","god",1,456,"rel"
"50961",6,53,1050,1,"STALK","bean",1,456,"rel"
"50962",7,311,50,1,"TRADE","wind",1,456,"rel"
"50963",9,270,50,1,"FEVER","high",1,456,"rel"
"50964",15,258,50,1,"SENATOR","politics",1,456,"rel"
"50968",27,801,1050,1,"PUT","away",1,456,"rel"
"50969",30,678,50,1,"MEDIA","camera",1,456,"rel"
"50970",30,829,50,1,"EXPENSE","cheap",1,456,"rel"
"50972",35,444,1050,1,"VISION","see",1,456,"rel"
"50973",45,154,50,1,"REFLECT","light",1,456,"rel"
"50974",48,66,1050,1,"EINSTEIN","brain",1,456,"rel"
"51229",3,238,50,1,"POST","office",1,456,"rel"
"51230",4,496,50,1,"DIM","light",1,456,"rel"
"51231",6,82,1050,1,"FALSE","TRUE",1,456,"rel"
"51232",7,770,1050,1,"SACK","bag",1,456,"rel"
"51233",11,53,50,1,"FROSTING","cake",1,456,"rel"
"51234",12,166,1050,1,"GIRL","boy",1,456,"rel"
"51235",12,601,50,1,"KINETIC","energy",1,456,"rel"
"51236",16,467,50,1,"TOOLS","hammer",1,456,"rel"
"51237",16,43,1050,1,"MINUTES","hours",1,456,"rel"
"51238",16,278,1050,1,"FROSTED","flakes",1,456,"rel"
"51239",18,222,1050,1,"OUCH","hurt",1,456,"rel"
"51241",26,413,1050,1,"SHEARS","scissors",1,456,"rel"
"51242",26,507,50,1,"LEDGE","cliff",1,456,"rel"
"51243",28,147,1050,1,"SICKLE","cell",1,456,"rel"
"51244",28,227,1050,1,"STREET","road",1,456,"rel"
"51245",28,599,50,1,"CORRECT","wrong",1,456,"rel"
"51246",30,473,50,1,"FALSE","TRUE",1,456,"rel"
"51247",32,459,50,1,"RAPE","crime",1,456,"rel"
"51248",33,208,50,1,"FLAKE","corn",1,456,"rel"
"51250",40,631,50,1,"VOMIT","puke",1,456,"rel"
"51251",45,277,50,1,"TORTOISE","turtle",1,456,"rel"
"51501",2,17,1050,1,"BANK","lock",1,457,"un"
"51502",5,142,50,1,"FLY","gold",1,457,"un"
"51503",10,528,50,1,"CORE","early",1,457,"un"
"51504",15,103,50,1,"STRONG","narrow",1,457,"un"
"51505",15,270,50,1,"VISION","walkway",1,457,"un"
"51507",16,363,1050,1,"ASIA","rich",1,457,"un"
"51508",17,774,1050,1,"UNDERSTANDING","journey",1,457,"un"
"51512",20,63,1050,1,"OASIS","move",1,457,"un"
"51513",20,294,1050,1,"BLOT","earth",1,457,"un"
"51514",20,448,50,1,"HARE","get",1,457,"un"
"51516",27,544,1050,1,"NATION","tree",1,457,"un"
"51517",27,606,1050,1,"LANE","smoke",1,457,"un"
"51519",33,29,50,1,"COMPLEX","mouth",1,457,"un"
"51520",34,132,1050,1,"SUNDAY","home",1,457,"un"
"51521",36,238,1050,1,"PAY","turtle",1,457,"un"
"51522",44,373,1050,1,"ALARM","am",0,457,"un"
"51523",47,273,50,1,"ENGLISH","store",1,457,"un"
"51524",47,307,50,1,"BIRDS","nurse",1,457,"un"
"51753",2,88,1050,1,"CHARCOAL","star",1,457,"un"
"51754",2,542,50,1,"RAISIN","clue",1,457,"un"
"51755",3,303,50,1,"BANDAID","honest",1,457,"un"
"51756",9,355,50,1,"TEACH","loud",1,457,"un"
"51757",18,640,50,1,"GROOM","spanish",1,457,"un"
"51758",20,321,1050,1,"GUN","meaning",1,457,"un"
"51760",27,461,1050,1,"STRESS","vegetables",1,457,"un"
"51761",28,320,1050,1,"CONFUSE","sheets",1,457,"un"
"51762",33,131,50,1,"PEANUT","bravery",1,457,"un"
"51763",34,110,1050,1,"COUNTRY","quick",1,457,"un"
"51765",42,278,1050,1,"LASER","hello",1,457,"un"
"52002",5,185,50,1,"LIFT","heavy",1,457,"rel"
"52003",6,419,50,1,"ERODE","rot",1,457,"rel"
"52004",7,567,1050,1,"APPENDAGE","finger",1,457,"rel"
"52005",16,574,50,1,"UNSURE","maybe",1,457,"rel"
"52007",18,481,50,1,"MAJORITY","most",1,457,"rel"
"52008",18,795,50,1,"TOTAL","all",1,457,"rel"
"52009",19,84,50,1,"SUNSET","moon",1,457,"rel"
"52010",21,697,1050,1,"ALIVE","live",1,457,"rel"
"52011",26,19,1050,1,"THIMBLE","thumb",1,457,"rel"
"52012",26,778,50,1,"OBOE","flute",1,457,"rel"
"52013",26,584,50,1,"HUG","arms",1,457,"rel"
"52014",29,111,50,1,"TAPE","record",1,457,"rel"
"52015",29,822,1050,1,"RURAL","town",1,457,"rel"
"52017",40,506,50,1,"BULLY","rough",1,457,"rel"
"52018",42,243,1050,1,"MOWER","cut",1,457,"rel"
"52288",2,95,1050,1,"CHILDREN","kids",1,457,"rel"
"52289",2,387,1050,1,"HAT","head",1,457,"rel"
"52291",3,685,1050,1,"LAY","down",1,457,"rel"
"52292",4,71,1050,1,"SHINGLE","roof",1,457,"rel"
"52293",5,103,50,1,"CASHEW","nut",1,457,"rel"
"52294",6,329,1050,1,"IMPACT","crash",1,457,"rel"
"52295",6,765,50,1,"GUM","chew",1,457,"rel"
"52296",7,652,1050,1,"OYSTER","clam",1,457,"rel"
"52297",8,68,1050,1,"FLUFFY","soft",1,457,"rel"
"52298",17,271,50,1,"DEVELOP","grow",1,457,"rel"
"52299",20,142,1050,1,"BEAUTIFUL","pretty",1,457,"rel"
"52300",21,85,50,1,"LEVER","pull",1,457,"rel"
"52301",24,13,1050,1,"SCUBA","dive",1,457,"rel"
"52302",27,154,50,1,"JESUS","christ",1,457,"rel"
"52303",27,23,50,1,"EFFECT","cause",1,457,"rel"
"52304",29,642,1050,1,"NIECE","nephew",1,457,"rel"
"52305",35,102,50,1,"CUSHION","couch",1,457,"rel"
"52306",35,602,1050,1,"UNDERWEAR","bra",1,457,"rel"
"52307",35,33,50,1,"LAB","experiment",1,457,"rel"
"52310",42,751,50,1,"COMPACT","disc",1,457,"rel"
"52311",44,456,50,1,"TOENAIL","clipper",1,457,"rel"
"52312",48,126,1050,1,"MOST","all",1,457,"rel"
"52313",48,501,50,1,"TRICK","treat",1,457,"rel"
"52606",2,147,1050,1,"AD","ask",1,458,"un"
"52607",2,305,1050,1,"STING","exit",1,458,"un"
"52608",3,34,50,1,"LEAVES","toast",1,458,"un"
"52609",6,679,50,1,"EXCITED","ship",1,458,"un"
"52610",6,412,1050,1,"ENJOY","clay",1,458,"un"
"52612",15,407,50,1,"OUTGOING","view",1,458,"un"
"52613",18,54,1050,1,"DIRECTIONS","bee",1,458,"un"
"52614",18,219,1050,1,"BROTHER","appear",1,458,"un"
"52617",27,813,1050,1,"JELLY","spanish",1,458,"un"
"52618",29,619,1050,1,"GAG","fog",1,458,"un"
"52619",33,274,50,1,"STOPPER","hate",1,458,"un"
"52620",40,794,50,1,"DOORWAY","do",1,458,"un"
"52621",40,182,1050,1,"THROAT","cash",1,458,"un"
"52878",8,771,50,1,"UNSEEN","sleep",1,458,"un"
"52879",8,816,50,1,"TANGERINE","money",1,458,"un"
"52881",15,197,50,1,"MEETING","beach",1,458,"un"
"52882",16,750,50,1,"TOENAIL","six",1,458,"un"
"52883",16,796,50,1,"DIM","early",1,458,"un"
"52884",16,111,1050,1,"DEGREE","cold",1,458,"un"
"52885",20,625,50,1,"OFF","paper",1,458,"un"
"52886",26,57,1050,1,"CONQUER","boxer",1,458,"un"
"52887",30,828,50,1,"CONNECT","hole",1,458,"un"
"52888",35,192,50,1,"CONTEMPORARY","tan",1,458,"un"
"52889",35,87,50,1,"TWILIGHT","being",1,458,"un"
"52890",36,13,1050,1,"TREND","wire",1,458,"un"
"52891",36,93,1050,1,"INDEPENDENT","crime",1,458,"un"
"52892",36,11,1050,1,"ARENA","hell",1,458,"un"
"52893",42,55,1050,1,"PLASTER","strange",1,458,"un"
"52895",42,810,50,1,"CONTROL","enter",1,458,"un"
"52896",44,102,1050,1,"WORSE","hog",1,458,"un"
"52897",47,755,1050,1,"CLOAK","temple",1,458,"un"
"53119",2,786,50,1,"ONION","hamburger",1,458,"rel"
"53120",3,199,50,1,"RING","bell",1,458,"rel"
"53121",5,471,1050,1,"LEMON","fruit",1,458,"rel"
"53122",5,12,50,1,"ADVENTURE","journey",1,458,"rel"
"53123",5,395,50,1,"RECOGNITION","pride",1,458,"rel"
"53125",6,597,50,1,"ECSTASY","fantasy",1,458,"rel"
"53126",6,204,1050,1,"STOOL","sit",1,458,"rel"
"53127",7,804,1050,1,"MELT","cheese",1,458,"rel"
"53128",7,233,50,1,"BALLOON","clown",1,458,"rel"
"53131",16,534,50,1,"MICROPHONE","loud",1,458,"rel"
"53135",18,697,50,1,"CARESS","soft",1,458,"rel"
"53136",19,504,1050,1,"HUSKY","boys",1,458,"rel"
"53138",26,789,50,1,"FORGIVE","accept",1,458,"rel"
"53139",27,60,50,1,"STRONG","arm",1,458,"rel"
"53140",27,226,50,1,"FANCY","like",1,458,"rel"
"53141",27,700,1050,1,"ETHICS","code",1,458,"rel"
"53142",33,77,50,1,"GO","leave",1,458,"rel"
"53143",33,586,1050,1,"BUDGET","plan",1,458,"rel"
"53144",33,329,50,1,"COMPLICATED","simple",1,458,"rel"
"53147",36,214,1050,1,"BASE","guitar",1,458,"rel"
"53149",42,332,1050,1,"RODENT","bug",1,458,"rel"
"53150",42,323,1050,1,"SQUARE","box",1,458,"rel"
"53151",42,680,50,1,"EVICT","apartment",1,458,"rel"
"53152",42,719,50,1,"DONATION","gift",1,458,"rel"
"53451",3,553,1050,1,"AIRPLANE","fly",1,458,"rel"
"53452",3,669,1050,1,"PANEL","wood",1,458,"rel"
"53455",6,51,1050,1,"POWERFUL","strong",1,458,"rel"
"53457",7,324,50,1,"MICROSCOPE","small",1,458,"rel"
"53458",10,149,1050,1,"SEASONING","salt",1,458,"rel"
"53459",10,170,1050,1,"EXTRAVAGANT","rich",1,458,"rel"
"53460",10,371,1050,1,"VILLAIN","bad",1,458,"rel"
"53461",12,666,50,1,"DISCIPLINE","strict",1,458,"rel"
"53462",15,251,50,1,"TRUTHFUL","honest",1,458,"rel"
"53463",16,352,1050,1,"MOST","all",1,458,"rel"
"53464",16,485,50,1,"BOILED","eggs",1,458,"rel"
"53469",26,166,1050,1,"REPUBLIC","country",1,458,"rel"
"53472",26,59,1050,1,"VIOLENCE","gun",1,458,"rel"
"53473",27,195,50,1,"ACTRESS","actor",1,458,"rel"
"53474",28,465,50,1,"DISCOVERY","find",1,458,"rel"
"53475",33,66,50,1,"SNEAK","preview",1,458,"rel"
"53476",44,21,1050,1,"CELSIUS","temperature",1,458,"rel"
"53477",45,332,50,1,"PAIL","bucket",1,458,"rel"
"53478",47,531,1050,1,"HOOP","hula",0,458,"rel"
"53759",6,377,1050,1,"BULLOCK","rare",1,459,"un"
"53760",6,654,50,1,"ROACH","dog",1,459,"un"
"53761",7,66,50,1,"VINE","parts",1,459,"un"
"53762",8,442,50,1,"TOP","board",1,459,"un"
"53764",12,309,1050,1,"VESSEL","fudge",1,459,"un"
"53766",15,341,50,1,"SYMPHONY","code",1,459,"un"
"53768",32,587,50,1,"BASE","hole",1,459,"un"
"53769",33,293,50,1,"UNDERSTANDING","journey",1,459,"un"
"53770",40,686,50,1,"AUTUMN","planets",1,459,"un"
"53771",42,337,1050,1,"EDITOR","where",1,459,"un"
"53772",42,82,1050,1,"EXPENSE","can",1,459,"un"
"54046",3,310,50,1,"LIBERTY","bathroom",1,459,"un"
"54047",5,391,50,1,"SHIELD","crafts",1,459,"un"
"54048",10,94,1050,1,"ILLEGAL","sun",1,459,"un"
"54049",10,799,50,1,"THANKS","succeed",1,459,"un"
"54050",16,377,1050,1,"CASE","lid",1,459,"un"
"54051",18,512,50,1,"RESTRICTION","lot",1,459,"un"
"54053",21,245,50,1,"MARSH","excuse",1,459,"un"
"54054",21,357,50,1,"TUMOR","bad",1,459,"un"
"54057",42,303,1050,1,"BRISTLE","sound",1,459,"un"
"54058",42,603,50,1,"GRAVEL","chair",1,459,"un"
"54059",42,749,50,1,"TRUSTWORTHY","stare",1,459,"un"
"54060",44,15,1050,1,"PSYCHOLOGY","hurricane",1,459,"un"
"54334",3,47,50,1,"SIREN","emergency",1,459,"rel"
"54335",3,439,1050,1,"HINGE","swing",1,459,"rel"
"54336",5,641,1050,1,"VAMPIRE","teeth",1,459,"rel"
