"","subject","trial","isi","lexicality","prime","target","accuracy","RT","rel"
"4819",47,677,1050,1,"STORM","ashtray",0,261,"un"
"4858",18,382,1050,1,"ESSENCE","meaning",1,267,"rel"
"4859",18,90,1050,1,"FINGER","hand",1,267,"rel"
"4871",18,373,1050,1,"THANKS","succeed",1,269,"un"
"4930",47,85,50,1,"PROFESSIONAL","begin",0,278,"un"
"4970",18,432,50,1,"ARMY","navy",1,283,"rel"
"4996",18,387,1050,1,"CHAIN","china",1,287,"un"
"4997",26,40,1050,1,"COPPER","land",1,287,"un"
"5003",18,424,50,1,"PROTECTION","jewish",0,288,"un"
"5008",47,287,50,1,"BECAUSE","why",0,288,"rel"
"5017",26,101,1050,1,"SLING","shot",1,289,"rel"
"5028",26,39,1050,1,"FRENCH","rocks",1,291,"un"
"5029",47,100,50,1,"EXPENSIVE","shave",1,291,"un"
"5038",18,444,50,1,"CAMPING","four",1,292,"un"
"5104",47,117,50,1,"HEROIN","drugs",1,298,"rel"
"5118",47,253,50,1,"CORK","states",1,300,"un"
"5150",18,215,1050,1,"FREEZE","joke",1,303,"un"
"5151",47,174,50,1,"SADDLE","boys",1,303,"un"
"5152",47,563,1050,1,"REFRAIN","follower",1,303,"un"
"5159",44,12,1050,1,"CHECK","cash",1,303,"rel"
"5170",44,203,1050,1,"NOTIFY","alert",1,304,"rel"
"5191",26,224,1050,1,"ACCEPT","understand",1,306,"rel"
"5195",18,425,50,1,"SOFT","package",0,307,"un"
"5203",18,232,1050,1,"HARMFUL","desert",1,307,"un"
"5225",26,450,50,1,"PIE","apple",1,308,"rel"
"5227",26,188,1050,1,"TRAFFIC","liar",1,309,"un"
"5241",26,3,1050,1,"AMUSE","beer",1,310,"un"
"5340",18,309,1050,1,"BEDROOM","bathroom",1,316,"rel"
"5349",26,304,1050,1,"PRESS","grab",1,317,"un"
"5352",26,322,1050,1,"RUM","meeting",1,317,"un"
"5371",26,442,50,1,"BROCCOLI","spinach",1,318,"rel"
"5374",18,208,1050,1,"MALL","shop",1,318,"rel"
"5375",18,412,1050,1,"MARCH","april",1,318,"rel"
"5384",18,364,1050,1,"MAYBE","ignore",1,319,"un"
"5388",18,311,1050,1,"NIGHTGOWN","sexy",1,319,"rel"
"5389",36,55,1050,1,"CARELESS","messy",0,319,"rel"
"5408",20,109,1050,1,"AUNT","uncle",1,320,"rel"
"5412",26,109,1050,1,"APPEAR","whale",1,321,"un"
"5416",18,184,1050,1,"RIDICULOUS","more",1,321,"un"
"5432",18,538,50,1,"INMATE","prison",1,322,"rel"
"5468",26,141,1050,1,"REGRET","speed",1,324,"un"
"5469",47,565,1050,1,"WAIT","long",0,324,"un"
"5510",18,294,1050,1,"PLUS","minus",1,325,"rel"
