,Noun,VerbType,Pic,Distractor,Verb,Condition,Subj,Order,Block,Ncategory,expName,participant,Transcription,Utterance,Onset,The,dog,above,the,apple,is,soa,Relatedness,DistractorType,OnsetThe,DAT,AI,Duration,agreement,codability,freq,syllable,visual_complexity,Vfreq,Vagr,Vcodability,SFreq,SCodability,unaccusativity
3162,spoon,Unacc,octopusUnacc.jpeg,fall,boil,Vunrel,octopus,90,1,tool,List6,262,{SL} The octopus below the lemon is boiling,,442,159.6,359.2,748.3,159.6,449,738.3,p300,Unrelated,Verb,601.6,1267.1,1187.3,2454.4,0.96,0.31,2.773,long,8524,3837,0.5,2.319,900,0.656,0.96
4217,apple,Unerg,dogUnerg.jpeg,drill,bark,Nrel,dog,88,2,fruit,List7,273,{SL} The dog above the hammer is barking,,491.8,109.8,548.7,199.6,89.8,578.7,229.4,p300,Related,Noun,601.6,838.1,808.1,1646.2,1,0.057,2.485,long,9533,2441,0.7,0.987,58314,0.629,0
3937,hammer,Unacc,dogUnacc.jpeg,lighthouse,spin,Nunrel,dog,96,2,tool,List7,270,{SL} The dog above the apple is spinning,,501.8,99.8,578.7,189.5,139.7,498.9,189.6,p300,Unrelated,Noun,601.6,907.9,688.5,1596.4,1,0.029,3.434,long,8241,10683,0.12,3.022,58314,0.995,0.9
2777,lighthouse,Unerg,boyUnerg.jpeg,chair,yawn,Nrel,boy,89,1,building,List6,258,{SL} The boy below the desk is yawning,,521.8,79.8,598.6,329.3,419,638.6,189.5,p300,Related,Noun,601.6,1346.9,828.1,2175,1,0,4.522,short,17761,1333,0.82,0.771,42823,1.896,0.18
3898,apple,Unerg,dogUnerg.jpeg,yawn,bark,Vunrel,dog,57,1,fruit,List7,270,{SL} The dog above the hammer is barking,,521.8,89.8,598.6,209.5,89.8,548.8,259.4,p300,Unrelated,Verb,611.6,897.9,808.2,1706.1,1,0.057,2.485,long,9533,2441,0.7,0.987,58314,0.629,0
4136,tomato,Unerg,penguineUnerg.jpeg,hammer,sneeze,Nrel,penguine,7,3,fruit,List7,273,{SL} The penguin below the drill is sneezing,,521.8,89.8,488.9,299.3,89.8,558.7,179.6,p300,Related,Noun,611.6,878,738.3,1616.3,0.63,1.704,2.197,short,16254,540,0.78,1.088,2222,0.689,0.04
5080,drill,Unacc,penguineUnacc.jpeg,drown,bounce,Vunrel,penguine,87,3,tool,List8,282,{SL} The penguin below the tomato is bouncing,,541.7,69.9,439,259.4,129.7,449,598.6,p300,Unrelated,Verb,611.6,828.1,1047.6,1875.7,0.98,0.141,2.708,long,8388,4243,0.54,1.736,2222,0.303,0.56
3907,spoon,Unacc,octopusUnacc.jpeg,fall,boil,Vunrel,octopus,66,1,tool,List7,270,{SL} The octopus below the lemon is boiling,,471.9,149.6,648.6,319.2,389.2,448.9,259.4,p300,Unrelated,Verb,621.5,1357,708.3,2065.3,0.96,0.31,2.773,long,8524,3837,0.5,2.319,900,0.656,0.96
3882,lemon,Unerg,octopusUnerg.jpeg,smile,swim,Vunrel,octopus,41,4,fruit,List7,270,{SL} The octopus below the spoon is swimming,,501.8,119.7,628.6,309.3,89.8,508.8,189.6,p300,Unrelated,Verb,621.5,1027.7,698.4,1726.1,1,0.029,2.773,short,7344,5116,0.74,1.574,900,0.48,0.11
4170,lemon,Unerg,octopusUnerg.jpeg,smile,swim,Vunrel,octopus,41,4,fruit,List7,273,{SL} The octopus below the spoon is swimming,,501.8,119.7,628.6,309.3,89.8,518.8,189.6,p300,Unrelated,Verb,621.5,1027.7,708.4,1736.1,1,0.029,2.773,short,7344,5116,0.74,1.574,900,0.48,0.11
