,Noun,VerbType,Pic,Distractor,Verb,Condition,Subj,Order,Block,Ncategory,expName,participant,Transcription,Utterance,Onset,The,dog,above,the,apple,is,soa,Relatedness,DistractorType,OnsetThe,DAT,AI,Duration,agreement,codability,freq,syllable,visual_complexity,Vfreq,Vagr,Vcodability,SFreq,SCodability,unaccusativity
4875,church,Unacc,rabbitUnacc.jpeg,bounce,shake,Vrel,rabbit,74,1,building,List6,280,{SL} The rabbit above the chair is shaking,,831.1,129.7,399.1,339.2,99.8,429,159.6,p300,Related,Verb,960.8,838.1,588.6,1426.7,1,0,4.92,short,11238,5292,0.54,2.711,5751,1.086,0.8
2328,chair,Unerg,rabitUnerg.jpeg,swim,smile,Vunrel,rabit,24,3,funiture,List3,235,{SL} The rabbit above the chair is smiling,,841,119.8,478.9,299.3,149.7,768.2,119.7,p300,Unrelated,Verb,960.8,927.9,887.9,1815.8,1,0,4.92,short,11238,12276,0.46,2.955,5751,1.061,0.11
3199,castle,Unacc,snailUnacc.jpeg,trip,melt,Vunrel,snail,30,4,building,List7,263,{SL} The snail below the table is melting,,841,119.8,578.7,319.2,99.8,508.8,159.7,p300,Unrelated,Verb,960.8,997.7,668.5,1666.2,0.98,0.141,5.464,long,12010,2781,0.16,3.886,10191,0,0.58
1680,chair,Unerg,rabitUnerg.jpeg,swim,smile,Vunrel,rabit,48,3,funiture,List2,218,{SL} The rabbit above the chair is smiling,,851,109.8,319.2,269.4,89.8,678.5,169.6,p300,Unrelated,Verb,960.8,678.4,848.1,1526.5,1,0,4.92,short,11238,12276,0.46,2.955,5751,1.061,0.11
2384,drill,Unacc,penguineUnacc.jpeg,shake,bounce,Vrel,penguine,80,2,tool,List3,235,{SL} The penguin below the drill is bouncing,,851,109.8,568.7,379.1,69.9,618.6,169.6,p300,Related,Verb,960.8,1017.7,788.2,1805.9,0.63,1.704,2.197,short,16254,4243,0.54,1.736,2222,0.303,0.56
5139,gun,Unerg,pirateUnerg.jpeg,guitar,cough,Nunrel,pirate,50,3,weapon,List1,283,{SL} The pirate below the gun is coughing,,851,109.8,369.1,309.3,149.7,219.5,169.6,p300,Unrelated,Noun,960.8,828.1,389.1,1217.2,0.9,0.687,4.605,short,10904,2215,0.7,0.987,6292,0.69,0
893,ax,Unacc,ballerinaUnacc.jpeg,sword,shrink,Nrel,ballerina,29,3,weapon,List2,210,{SL} The ballerina above the ax is shrinking,,861,99.8,628.5,299.4,209.5,359.2,59.8,p300,Related,Noun,960.8,1137.4,419,1556.4,0.86,0.668,2.303,short,7849,4085,0.76,1.56,140,1.937,0.92
934,table,Unerg,snailUnerg.jpeg,walk,crawl,Vrel,snail,70,4,funiture,List2,210,{SL} The snail below the table is crawling,,861,99.8,778.2,568.7,488.9,638.5,369.2,p300,Related,Verb,960.8,1835.8,1007.7,2843.5,0.98,0.141,5.464,long,12010,3131,0.14,3.728,10191,0,0.74
1092,sword,Unacc,cowboyUnacc.jpeg,drill,fall,Nunrel,cowboy,36,1,weapon,List4,212,{SL} The cowboy above the sword is falling,,861,99.8,698.4,289.3,139.7,429,349.2,p300,Unrelated,Noun,960.8,1127.4,778.2,1905.6,0.92,0.522,2.89,short,10243,46059,0.84,1.114,2826,0.885,0.98
2348,gun,Unerg,pirateUnerg.jpeg,sneeze,cough,Vrel,pirate,44,4,weapon,List3,235,{SL} The pirate below the gun is coughing,,861,99.8,458.9,289.4,109.7,449,349.2,p300,Related,Verb,960.8,858,798.2,1656.2,0.9,0.687,4.605,short,10904,2215,0.7,0.987,6292,0.69,0
2626,tomato,Unerg,penguineUnerg.jpeg,cough,sneeze,Vrel,penguine,34,1,fruit,List8,256,{SL} The penguin below the drill is sneezing,,861,99.8,449,279.3,99.8,329.2,119.8,p300,Related,Verb,960.8,828.1,449,1277.1,0.63,1.704,2.197,short,16254,540,0.78,1.088,2222,0.689,0.04
5427,gun,Unerg,pirateUnerg.jpeg,guitar,cough,Nunrel,pirate,50,3,weapon,List5,287,{SL} The pirate below the guitar is coughing,,861,99.8,399.1,309.3,149.6,409.1,219.5,p300,Unrelated,Noun,960.8,858,628.6,1486.6,0.98,0.141,2.079,long,12032,2215,0.7,0.987,6292,0.69,0
2398,carrot,Unacc,monkeyUnacc.jpeg,melt,trip,Vunrel,monkey,94,2,fruit,List3,235,{SL} The monkey above the carrot is tripping,,871,89.8,488.9,239.4,109.8,578.7,189.5,p300,Unrelated,Verb,960.8,838.1,768.2,1606.3,1,0,2.197,long,13201,28399,0.36,3.082,4882,0.815,0.59
2420,castle,Unacc,snailUnacc.jpeg,dresser,melt,Nrel,snail,20,1,building,List5,253,{SL} The snail below the table is melting,,871,89.8,508.8,538.8,99.8,638.5,179.6,p300,Related,Noun,960.8,1147.4,818.1,1965.5,0.98,0.141,5.464,long,12010,2781,0.16,3.886,10191,0,0.58
2490,lighthouse,Unerg,boyUnerg.jpeg,bark,yawn,Vunrel,boy,90,4,building,List5,253,{SL} The boy below the desk is yawning,,871,89.8,239.4,269.4,69.9,259.4,129.7,p300,Unrelated,Verb,960.8,578.7,389.1,967.8,1,0,4.522,short,17761,1333,0.82,0.771,42823,1.896,0.18
3228,carrot,Unacc,monkeyUnacc.jpeg,spin,trip,Vrel,monkey,59,1,fruit,List7,263,{SL} The monkey above the knife is tripping,,871,89.8,548.7,488.9,299.3,399.1,209.5,p300,Related,Verb,960.8,1336.9,608.6,1945.5,1,0.057,3.807,long,8773,28399,0.36,3.082,4882,0.815,0.59
4496,hammer,Unacc,dogUnacc.jpeg,drill,spin,Nrel,dog,79,1,tool,List2,276,{SL} The dog above the hammer is spinning,,871,89.8,309.3,229.4,69.9,419,179.6,p300,Related,Noun,960.8,608.6,598.6,1207.2,1,0.057,2.485,long,9533,10683,0.12,3.022,58314,0.995,0.9
5068,apple,Unerg,dogUnerg.jpeg,dresser,bark,Nunrel,dog,75,3,fruit,List8,282,{SL} The dog above the hammer is barking,,871,89.8,279.3,259.4,79.9,439,69.8,p300,Unrelated,Noun,960.8,618.6,508.8,1127.4,1,0.057,2.485,long,9533,2441,0.7,0.987,58314,0.629,0
1642,harp,Unerg,ballerinaUnerg.jpeg,swim,run,Vrel,ballerina,10,2,instrument,List2,218,{SL} The ballerina above the harp is running,,881,79.8,488.9,419,109.8,299.3,249.4,p300,Related,Verb,960.8,1017.7,548.7,1566.4,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
2660,table,Unerg,snailUnerg.jpeg,church,crawl,Nrel,snail,68,2,funiture,List8,256,{SL} The snail below the castle is crawling,,881,79.8,708.4,329.2,79.8,578.7,129.7,p300,Related,Noun,960.8,1117.4,708.4,1825.8,1,0,3.332,long,22746,3131,0.14,3.728,10191,0,0.74
4204,desk,Unacc,boyUnacc.jpeg,windmill,float,Nrel,boy,75,2,funiture,List7,273,{SL} The boy below the lighthouse is floating,,881,79.8,409,299.4,99.7,708.4,289.4,p300,Related,Noun,960.8,808.1,997.8,1805.9,0.94,0.409,1.386,long,31692,5704,0.7,1.718,42823,1.733,0.92
4235,harp,Unerg,ballerinaUnerg.jpeg,swim,run,Vrel,ballerina,10,2,instrument,List6,274,{SL} The ballerina above the ax is running,,881,79.8,528.8,299.3,169.6,419.1,219.5,p300,Related,Verb,960.8,997.7,638.6,1636.3,0.86,0.668,2.303,short,7849,223338,0.84,1.034,140,1.707,0.04
2195,carrot,Unacc,monkeyUnacc.jpeg,spin,trip,Vrel,monkey,83,1,fruit,List2,226,{SL} The monkey above the carrot is tripping,,890.9,69.9,389.1,279.4,69.8,359.2,159.6,p300,Related,Verb,960.8,738.3,518.8,1257.1,1,0,2.197,long,13201,28399,0.36,3.082,4882,0.815,0.59
891,apple,Unerg,dogUnerg.jpeg,lighthouse,bark,Nunrel,dog,27,3,fruit,List2,210,{SL} The dog above the apple is barking,,900.9,59.9,349.2,349.2,209.5,588.7,159.6,p300,Unrelated,Noun,960.8,907.9,748.3,1656.2,1,0.029,3.434,long,8241,2441,0.7,0.987,58314,0.629,0
4860,sword,Unacc,cowboyUnacc.jpeg,guitar,fall,Nrel,cowboy,59,4,weapon,List6,280,{SL} The cowboy above the piano is falling,,900.9,59.9,528.8,279.3,99.8,518.8,169.6,p300,Related,Noun,960.8,907.9,688.4,1596.3,1,0.029,3.332,long,19570,46059,0.84,1.114,2826,0.885,0.98
3836,church,Unacc,rabbitUnacc.jpeg,windmill,shake,Nunrel,rabbit,91,4,building,List5,269,{SL} The rabbit above the chair is shaking,,660,310,460,240,90,420,130,p300,Unrelated,Noun,970,790,550,1340,1,0,4.92,short,11238,5292,0.54,2.711,5751,1.086,0.8
3581,apple,Unerg,dogUnerg.jpeg,yell,bark,Vrel,dog,28,4,fruit,List7,267,{SL} The dog above the hammer is barking,,740,230,490,350,80,450,170,p300,Related,Verb,970,920,620,1540,1,0.057,2.485,long,9533,2441,0.7,0.987,58314,0.629,0
3944,ax,Unacc,ballerinaUnacc.jpeg,spoon,shrink,Nunrel,ballerina,7,4,weapon,List4,271,{SL} The ballerina above the ax is shrinking,,750,220,820,370,190,520,230,p300,Unrelated,Noun,970,1380,750,2130,0.86,0.668,2.303,short,7849,4085,0.76,1.56,140,1.937,0.92
3807,desk,Unacc,boyUnacc.jpeg,apple,float,Nunrel,boy,62,3,funiture,List5,269,{SL} The boy below the lighthouse is floating,,830,140,360,410,530,640,150,p300,Unrelated,Noun,970,1300,790,2090,0.94,0.409,1.386,long,31692,5704,0.7,1.718,42823,1.733,0.92
3829,guitar,Unacc,pirateUnacc.jpeg,spin,sink,Vunrel,pirate,84,4,instrument,List5,269,{SL} The pirate below the gun is sinking,,870,100,610,520,290,470,170,p300,Unrelated,Verb,970,1420,640,2060,0.9,0.687,4.605,short,10904,8579,0.72,1.649,6292,0.592,0.92
3920,violin,Unacc,clownUnacc.jpeg,gun,grow,Nrel,clown,79,2,instrument,List7,270,{SL} The clown below the canon is growing,,621.5,349.2,498.9,299.3,69.9,638.5,189.6,p300,Related,Noun,970.7,868.1,828.1,1696.2,1,0.111,1.946,long,17678,24803,0.7,1.918,2761,0.179,1
2458,knife,Unerg,monkeyUnerg.jpeg,yell,sleep,Vunrel,monkey,58,3,tool,List5,253,{SL} The monkey above the carrot is sleeping,,781.2,189.5,319.3,279.4,79.8,409.1,59.8,p300,Unrelated,Verb,970.7,678.5,468.9,1147.4,1,0,2.197,long,13201,25606,0.9,0.606,4882,0.357,0
2374,harp,Unerg,ballerinaUnerg.jpeg,church,run,Nunrel,ballerina,70,1,instrument,List3,235,{SL} The ballerina above the harp is running,,821.1,149.6,918,399.1,99.7,478.9,299.4,p300,Unrelated,Noun,970.7,1416.8,778.3,2195.1,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
2539,church,Unacc,rabbitUnacc.jpeg,desk,shake,Nrel,rabbit,43,3,building,List6,254,{SL} The rabbit above the chair is shaking,,821.1,149.6,528.8,538.8,369.2,538.8,219.5,p300,Related,Noun,970.7,1436.8,758.3,2195.1,1,0,4.92,short,11238,5292,0.54,2.711,5751,1.086,0.8
4872,knife,Unerg,monkeyUnerg.jpeg,tomato,sleep,Nrel,monkey,71,4,tool,List6,280,{SL} The monkey above the carrot is sleeping,,821.1,149.6,369.2,349.2,109.8,578.7,119.7,p300,Related,Noun,970.7,828.2,698.4,1526.6,1,0,2.197,long,13201,25606,0.9,0.606,4882,0.357,0
239,knife,Unerg,monkeyUnerg.jpeg,spoon,sleep,Nrel,monkey,47,4,tool,List3,203,{SL} The monkey above the knife is sleeping,,841,129.7,598.7,578.7,89.8,528.8,379.1,p300,Related,Noun,970.7,1267.2,907.9,2175.1,1,0.057,3.807,long,8773,25606,0.9,0.606,4882,0.357,0
1626,lighthouse,Unerg,boyUnerg.jpeg,bark,yawn,Vunrel,boy,90,4,building,List1,217,{SL} The boy below the lighthouse is yawning,,841,129.7,319.3,578.7,129.7,608.6,159.7,p300,Unrelated,Verb,970.7,1027.7,768.3,1796,0.94,0.409,1.386,long,31692,1333,0.82,0.771,42823,1.896,0.18
5170,hammer,Unacc,dogUnacc.jpeg,sink,spin,Vunrel,dog,81,4,tool,List1,283,{SL} The dog above the hammer is spinning,,841,129.7,349.3,309.3,89.7,459,109.8,p300,Unrelated,Verb,970.7,748.3,568.8,1317.1,1,0.057,2.485,long,9533,10683,0.12,3.022,58314,0.995,0.9
1097,lighthouse,Unerg,boyUnerg.jpeg,windmill,yawn,Nrel,boy,41,1,building,List4,212,{SL} The boy below the lighthouse is yawning,,851,119.7,648.6,439,99.7,628.6,279.4,p300,Related,Noun,970.7,1187.3,908,2095.3,0.94,0.409,1.386,long,31692,1333,0.82,0.771,42823,1.896,0.18
1602,violin,Unacc,clownUnacc.jpeg,desk,grow,Nunrel,clown,66,3,instrument,List1,217,{SL} The clown below the violin is growing,,851,119.7,409.1,488.9,858.1,468.9,209.5,p300,Unrelated,Noun,970.7,1756.1,678.4,2434.5,0.82,0.858,1.946,long,8571,24803,0.7,1.918,2761,0.179,1
1634,ax,Unacc,ballerinaUnacc.jpeg,float,shrink,Vunrel,ballerina,2,2,weapon,List2,218,{SL} The ballerina above the ax is shrinking,,851,119.7,479,339.2,179.6,299.3,259.4,p300,Unrelated,Verb,970.7,997.8,558.7,1556.5,0.86,0.668,2.303,short,7849,4085,0.76,1.56,140,1.937,0.92
1635,desk,Unacc,boyUnacc.jpeg,chair,float,Nrel,boy,3,2,funiture,List2,218,{SL} The boy below the desk is floating,,851,119.7,269.4,399.1,139.7,758.3,568.7,p300,Related,Noun,970.7,808.2,1327,2135.2,1,0,4.522,short,17761,5704,0.7,1.718,42823,1.733,0.92
4317,castle,Unacc,snailUnacc.jpeg,dresser,melt,Nrel,snail,92,1,building,List6,274,{SL} The snail below the table is melting,,851,119.7,309.3,359.2,279.4,1376.9,209.5,p300,Related,Noun,970.7,947.9,1586.4,2534.3,0.98,0.141,5.464,long,12010,2781,0.16,3.886,10191,0,0.58
2336,spoon,Unacc,octopusUnacc.jpeg,melt,boil,Vrel,octopus,32,4,tool,List3,235,{SL} The octopus below the spoon is boiling,,861,109.7,648.6,349.2,119.7,628.6,219.5,p300,Related,Verb,970.7,1117.5,848.1,1965.6,1,0.029,2.773,short,7344,3837,0.5,2.319,900,0.656,0.96
4286,violin,Unacc,clownUnacc.jpeg,shrink,grow,Vrel,clown,61,4,instrument,List6,274,{SL} The clown below the canon is growing,,861,109.7,389.2,259.4,79.8,458.9,129.8,p300,Related,Verb,970.7,728.4,588.7,1317.1,1,0.111,1.946,long,17678,24803,0.7,1.918,2761,0.179,1
110,knife,Unerg,monkeyUnerg.jpeg,yawn,sleep,Vrel,monkey,14,2,tool,List2,202,{SL} The monkey above the knife is sleeping,,871,99.7,439.1,269.3,89.8,508.9,209.5,p300,Related,Verb,970.7,798.2,718.4,1516.6,1,0.057,3.807,long,8773,25606,0.9,0.606,4882,0.357,0
958,harp,Unerg,ballerinaUnerg.jpeg,church,run,Nunrel,ballerina,94,1,instrument,List2,210,{SL} The ballerina above the harp is running,,871,99.7,918,828.1,139.7,558.7,199.5,p300,Unrelated,Noun,970.7,1885.8,758.2,2644,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
1068,guitar,Unacc,pirateUnacc.jpeg,spin,sink,Vunrel,pirate,12,4,instrument,List4,212,{SL} The pirate below the guitar is sinking,,871,99.7,538.8,319.3,109.7,479,488.8,p300,Unrelated,Verb,970.7,967.8,967.8,1935.6,0.98,0.141,2.079,long,12032,8579,0.72,1.649,6292,0.592,0.92
1074,lighthouse,Unerg,boyUnerg.jpeg,bark,yawn,Vunrel,boy,18,4,building,List4,212,{SL} The boy below the lighthouse is yawning,,871,99.7,429.1,419,89.8,678.5,349.2,p300,Unrelated,Verb,970.7,937.9,1027.7,1965.6,0.94,0.409,1.386,long,31692,1333,0.82,0.771,42823,1.896,0.18
1757,dresser,Unacc,chefUnacc.jpeg,table,drown,Nrel,chef,29,4,funiture,List3,219,{SL} The chef above the dresser is drowning,,871,99.7,638.6,459,99.7,399.1,319.3,p300,Related,Noun,970.7,1197.3,718.4,1915.7,0.48,2.095,1.792,long,21173,1415,0.68,1.912,1418,1.194,1
3007,violin,Unacc,clownUnacc.jpeg,gun,grow,Nrel,clown,31,2,instrument,List5,261,{SL} The clown below the canon is growing,,871,99.7,409.1,329.3,129.7,638.5,868.1,p300,Related,Noun,970.7,868.1,1506.6,2374.7,1,0.111,1.946,long,17678,24803,0.7,1.918,2761,0.179,1
4173,gun,Unerg,pirateUnerg.jpeg,sneeze,cough,Vrel,pirate,44,4,weapon,List7,273,{SL} The pirate below the guitar is coughing,,871,99.7,488.9,249.5,99.7,1047.7,189.5,p300,Related,Verb,970.7,838.1,1237.2,2075.3,0.98,0.141,2.079,long,12032,2215,0.7,0.987,6292,0.69,0
4270,spoon,Unacc,octopusUnacc.jpeg,cannon,boil,Nunrel,octopus,45,3,tool,List6,274,{SL} The octopus below the lemon is boiling,,871,99.7,558.8,219.5,119.7,468.9,169.7,p300,Unrelated,Noun,970.7,898,638.6,1536.6,0.96,0.31,2.773,long,8524,3837,0.5,2.319,900,0.656,0.96
1758,castle,Unacc,snailUnacc.jpeg,trip,melt,Vunrel,snail,30,4,building,List3,219,{SL} The snail below the castle is melting,,881,89.7,538.8,399.1,109.8,688.4,159.6,p300,Unrelated,Verb,970.7,1047.7,848,1895.7,1,0,3.332,long,22746,2781,0.16,3.886,10191,0,0.58
2146,knife,Unerg,monkeyUnerg.jpeg,yell,sleep,Vunrel,monkey,34,3,tool,List2,226,{SL} The monkey above the knife is sleeping,,881,89.7,359.2,309.3,69.9,399.1,119.7,p300,Unrelated,Verb,970.7,738.4,518.8,1257.2,1,0.057,3.807,long,8773,25606,0.9,0.606,4882,0.357,0
2152,table,Unerg,snailUnerg.jpeg,tomato,crawl,Nunrel,snail,40,3,funiture,List2,226,{SL} The snail below the table is crawling,,881,89.7,548.8,359.2,99.8,678.4,189.6,p300,Unrelated,Noun,970.7,1007.8,868,1875.8,0.98,0.141,5.464,long,12010,3131,0.14,3.728,10191,0,0.74
2339,sword,Unacc,cowboyUnacc.jpeg,ax,fall,Nrel,cowboy,35,4,weapon,List3,235,{SL} The cowboy above the sword is falling,,881,89.7,498.9,439,179.6,568.7,89.8,p300,Related,Noun,970.7,1117.5,658.5,1776,0.92,0.522,2.89,short,10243,46059,0.84,1.114,2826,0.885,0.98
5405,sword,Unacc,cowboyUnacc.jpeg,sink,fall,Vrel,cowboy,28,2,weapon,List5,287,{SL} The cowboy above the piano is falling,,881,89.7,349.3,448.9,429.1,588.6,249.5,p300,Related,Verb,970.7,1227.3,838.1,2065.4,1,0.029,3.332,long,19570,46059,0.84,1.114,2826,0.885,0.98
161,lemon,Unerg,octopusUnerg.jpeg,smile,swim,Vunrel,octopus,65,4,fruit,List2,202,{SL} The octopus below the lemon is swimming,,890.9,79.8,658.6,399,89.8,908,289.3,p300,Unrelated,Verb,970.7,1147.4,1197.3,2344.7,0.96,0.31,2.773,long,8524,5116,0.74,1.574,900,0.48,0.11
2365,violin,Unacc,clownUnacc.jpeg,shake,grow,Vunrel,clown,61,1,instrument,List3,235,{SL} The clown below the violin is growing,,890.9,79.8,628.6,359.2,109.8,668.4,139.7,p300,Unrelated,Verb,970.7,1097.6,808.1,1905.7,0.82,0.858,1.946,long,8571,24803,0.7,1.918,2761,0.179,1
2426,ax,Unacc,ballerinaUnacc.jpeg,float,shrink,Vunrel,ballerina,26,2,weapon,List5,253,{SL} The ballerina above the harp is shrinking,,890.9,79.8,588.7,339.2,119.8,419,159.7,p300,Unrelated,Verb,970.7,1047.7,578.7,1626.4,0.96,0.388,1.386,short,14170,4085,0.76,1.56,140,1.937,0.92
2670,lemon,Unerg,octopusUnerg.jpeg,run,swim,Vrel,octopus,78,3,fruit,List8,256,{SL} The octopus below the spoon is swimming,,890.9,79.8,548.8,209.5,89.8,349.2,209.6,p300,Related,Verb,970.7,848.1,558.8,1406.9,1,0.029,2.773,short,7344,5116,0.74,1.574,900,0.48,0.11
3487,lemon,Unerg,octopusUnerg.jpeg,run,swim,Vrel,octopus,30,3,fruit,List6,266,{SL} The octopus below the spoon is swimming,,890.9,79.8,588.7,498.9,159.6,538.8,219.5,p300,Related,Verb,970.7,1247.2,758.3,2005.5,1,0.029,2.773,short,7344,5116,0.74,1.574,900,0.48,0.11
4836,cannon,Unerg,clownUnerg.jpeg,crawl,walk,Vrel,clown,35,3,weapon,List6,280,{SL} The clown below the violin is walking,,890.9,79.8,409.1,419.1,79.8,608.6,209.5,p300,Related,Verb,970.7,908,818.1,1726.1,0.82,0.858,1.946,long,8571,33093,0.58,2.218,2761,1.896,0.24
5523,tomato,Unerg,penguineUnerg.jpeg,sword,sneeze,Nunrel,penguine,50,4,fruit,List6,288,{SL} The penguin below the drill is sneezing,,890.9,79.8,558.8,349.2,538.8,1247.1,149.7,p300,Unrelated,Noun,970.7,1446.8,1396.8,2843.6,0.63,1.704,2.197,short,16254,540,0.78,1.088,2222,0.689,0.04
2822,carrot,Unacc,monkeyUnacc.jpeg,castle,trip,Nunrel,monkey,38,4,fruit,List7,259,{SL} The monkey above the knife is tripping,,900.9,69.8,558.8,698.4,69.8,718.4,429,p300,Unrelated,Noun,970.7,1327,1147.4,2474.4,1,0.057,3.807,long,8773,28399,0.36,3.082,4882,0.815,0.59
1668,windmill,Unerg,chefUnerg.jpeg,lighthouse,yell,Nrel,chef,36,3,building,List2,218,{SL} The chef above the windmill is yelling,,910.9,59.8,279.4,987.8,139.7,439,149.6,p300,Related,Noun,970.7,1406.9,588.6,1995.5,0.93,0.55,2.303,long,12430,3322,0.78,0.961,1418,1.194,0.06
3748,cannon,Unerg,clownUnerg.jpeg,harp,walk,Nrel,clown,3,1,weapon,List5,269,{SL} The clown below the violin is walking,,850,130,550,400,130,450,220,p300,Related,Noun,980,1080,670,1750,0.82,0.858,1.946,long,8571,33093,0.58,2.218,2761,1.896,0.24
4558,drill,Unacc,penguineUnacc.jpeg,hammer,bounce,Nrel,penguine,45,4,tool,List3,277,{SL} The penguin below the drill is bouncing,,880,100,460,350,130,520,140,p300,Related,Noun,980,940,660,1600,0.63,1.704,2.197,short,16254,4243,0.54,1.736,2222,0.303,0.56
303,chair,Unerg,rabitUnerg.jpeg,desk,smile,Nrel,rabit,15,4,funiture,List4,204,{SL} The rabbit above the chair is smiling,,491.8,488.9,1007.7,957.9,289.3,468.9,309.3,p300,Related,Noun,980.7,2254.9,778.2,3033.1,1,0,4.92,short,11238,12276,0.46,2.955,5751,1.061,0.11
3698,spoon,Unacc,octopusUnacc.jpeg,apple,boil,Nrel,octopus,49,2,tool,List8,268,{SL} The octopus below the lemon is boiling,,661.5,319.2,598.7,229.4,59.9,498.9,688.4,p300,Related,Noun,980.7,888,1187.3,2075.3,0.96,0.31,2.773,long,8524,3837,0.5,2.319,900,0.656,0.96
321,apple,Unerg,dogUnerg.jpeg,yawn,bark,Vunrel,dog,33,1,fruit,List4,204,{SL} The dog above the apple is barking,,721.3,259.4,379.2,419,189.6,558.7,329.3,p300,Unrelated,Verb,980.7,987.8,888,1875.8,1,0.029,3.434,long,8241,2441,0.7,0.987,58314,0.629,0
1079,knife,Unerg,monkeyUnerg.jpeg,spoon,sleep,Nrel,monkey,23,4,tool,List4,212,{SL} The monkey above the knife is sleeping,,811.1,169.6,459,319.3,79.8,359.2,329.2,p300,Related,Noun,980.7,858.1,688.4,1546.5,1,0.057,3.807,long,8773,25606,0.9,0.606,4882,0.357,0
4280,ax,Unacc,ballerinaUnacc.jpeg,church,shrink,Nunrel,ballerina,55,4,weapon,List6,274,{SL} The ballerina above the harp is shrinking,,811.1,169.6,638.6,319.2,109.8,618.6,169.6,p300,Unrelated,Noun,980.7,1067.6,788.2,1855.8,0.96,0.388,1.386,short,14170,4085,0.76,1.56,140,1.937,0.92
5485,castle,Unacc,snailUnacc.jpeg,tomato,melt,Nunrel,snail,12,2,building,List6,288,{SL} The snail below the table is melting,,831.1,149.6,518.8,598.7,329.2,937.9,379.1,p300,Unrelated,Noun,980.7,1446.7,1317,2763.7,0.98,0.141,5.464,long,12010,2781,0.16,3.886,10191,0,0.58
1081,desk,Unacc,boyUnacc.jpeg,shrink,float,Vunrel,boy,25,1,funiture,List4,212,{SL} The boy below the desk is floating,,841,139.7,429.1,279.3,409.1,439,329.2,p300,Unrelated,Verb,980.7,1117.5,768.2,1885.7,1,0,4.522,short,17761,5704,0.7,1.718,42823,1.733,0.92
4643,tomato,Unerg,penguineUnerg.jpeg,cough,sneeze,Vrel,penguine,34,1,fruit,List4,278,{SL} The penguin below the tomato is sneezing,,841,139.7,668.5,349.2,449,528.8,319.3,p300,Related,Verb,980.7,1466.7,848.1,2314.8,0.98,0.141,2.708,long,8388,540,0.78,1.088,2222,0.689,0.04
4957,sword,Unacc,cowboyUnacc.jpeg,carrot,fall,Nunrel,cowboy,60,1,weapon,List7,281,{SL} The cowboy above the piano is falling,,841,139.7,239.5,638.5,279.4,459,169.6,p300,Unrelated,Noun,980.7,1157.4,628.6,1786,1,0.029,3.332,long,19570,46059,0.84,1.114,2826,0.885,0.98
4962,lighthouse,Unerg,boyUnerg.jpeg,chair,yawn,Nrel,boy,65,1,building,List7,281,{SL} The boy below the desk is yawning,,841,139.7,129.7,219.5,279.4,658.5,648.5,p300,Related,Noun,980.7,628.6,1307,1935.6,1,0,4.522,short,17761,1333,0.82,0.771,42823,1.896,0.18
2092,apple,Unerg,dogUnerg.jpeg,yell,bark,Vrel,dog,76,4,fruit,List1,225,{SL} The dog above the apple is barking,,851,129.7,339.3,299.3,329.2,588.7,179.6,p300,Related,Verb,980.7,967.8,768.3,1736.1,1,0.029,3.434,long,8241,2441,0.7,0.987,58314,0.629,0
2575,hammer,Unacc,dogUnacc.jpeg,lemon,spin,Nrel,dog,79,1,tool,List6,254,{SL} The dog above the apple is spinning,,861,119.7,339.3,478.9,199.5,449,119.7,p300,Related,Noun,980.7,1017.7,568.7,1586.4,1,0.029,3.434,long,8241,10683,0.12,3.022,58314,0.995,0.9
2307,apple,Unerg,dogUnerg.jpeg,lighthouse,bark,Nunrel,dog,3,3,fruit,List3,235,{SL} The dog above the apple is barking,,871,109.7,429.1,299.3,129.7,508.8,179.6,p300,Unrelated,Noun,980.7,858.1,688.4,1546.5,1,0.029,3.434,long,8241,2441,0.7,0.987,58314,0.629,0
3336,lighthouse,Unerg,boyUnerg.jpeg,violin,yawn,Nunrel,boy,71,2,building,List8,264,{SL} The boy below the desk is yawning,,871,109.7,279.4,259.4,219.5,568.7,109.8,p300,Unrelated,Noun,980.7,758.3,678.5,1436.8,1,0,4.522,short,17761,1333,0.82,0.771,42823,1.896,0.18
4489,harp,Unerg,ballerinaUnerg.jpeg,violin,run,Nrel,ballerina,72,4,instrument,List2,276,{SL} The ballerina above the harp is running,,871,109.7,508.9,229.4,99.8,339.2,219.6,p300,Related,Noun,980.7,838.1,558.8,1396.9,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
166,table,Unerg,snailUnerg.jpeg,walk,crawl,Vrel,snail,70,4,funiture,List2,202,{SL} The snail below the table is crawling,,881,99.7,449,269.4,129.7,498.9,169.6,p300,Related,Verb,980.7,848.1,668.5,1516.6,0.98,0.141,5.464,long,12010,3131,0.14,3.728,10191,0,0.74
2120,drill,Unacc,penguineUnacc.jpeg,shake,bounce,Vrel,penguine,8,2,tool,List2,226,{SL} The penguin below the drill is bouncing,,881,99.7,349.2,269.4,129.7,379.2,109.7,p300,Related,Verb,980.7,748.3,488.9,1237.2,0.63,1.704,2.197,short,16254,4243,0.54,1.736,2222,0.303,0.56
