"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",6.87686019497501,0.0210277318195028,65.3687599422016,327.037659316011,0
"Relatedness1",-0.00378093240969663,0.00897690945762585,76.1883154801635,-0.421184197918444,0.674806431021492
"VerbType1",-0.0321090453108304,0.0212121279274725,49.3470186904634,-1.51371165686989,0.136478045951755
"Region1",-0.521203755321607,0.0354190929525494,63.420116053424,-14.7153332249321,0
"Relatedness1:VerbType1",-0.0038942470673858,0.0174897382313696,56.5019984109007,-0.222658968125725,0.824603886585071
"Relatedness1:Region1",-0.02022706298994,0.0188332357919963,42.3587869985071,-1.07400890709052,0.28889893016719
"VerbType1:Region1",-0.0171195225824796,0.0358012586279653,49.7985354010756,-0.478182143269876,0.634613178752661
"Relatedness1:VerbType1:Region1",0.0173199152942695,0.0361728164987552,46.677223383773,0.478810249538227,0.634309042582251
