"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",6.61610507566189,0.0248200749985167,77.6043534334919,266.562654466487,0
"Relatedness1",-0.0132750966099463,0.0122699842894627,48.3626579582577,-1.08191634942408,0.284654947610692
"VerbType1",-0.0402767458993586,0.0328564119149706,49.2650702345194,-1.22584127577872,0.226086108046334
"Relatedness1:VerbType1",0.00462823848538119,0.0238285972081223,633.661943826577,0.194230421747344,0.846057713701032
