"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",6.71620504814167,0.024568123466519,56.0863335782998,273.370697493213,0
"Relatedness1",-0.0458859810288128,0.0114686320690826,45.2823777889754,-4.00099861538965,0.000230996056976851
"VerbType1",-0.0233100454238394,0.0186558308843185,46.0580689869586,-1.24947774067963,0.217802852134727
"Region1",-0.871718105966788,0.0323790383324126,66.3832302779165,-26.9222975993752,0
"Relatedness1:VerbType1",0.00618562392120785,0.0217682687211511,41.2753767252994,0.284157826258255,0.777710127082787
"Relatedness1:Region1",-0.0736292722754796,0.0224425999309308,44.4321861952213,-3.28078174997908,0.00201876111477506
"VerbType1:Region1",0.00774391542660519,0.0368626561462215,47.121904008181,0.210074808388406,0.83451498371225
"Relatedness1:VerbType1:Region1",0.0450244150299849,0.0448631837929032,45.2437608459347,1.00359384295653,0.320911930418471
