"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",7.21546571365948,0.0309263264118206,53.4721996122237,233.31143885559,0
"Relatedness1",-0.0166530412525251,0.0120821130472382,49.4392584293671,-1.37832191996679,0.174309797568192
"VerbType1",-0.0110518367833702,0.0200267855134707,44.4800774539552,-0.551852756196764,0.583811404166337
"Relatedness1:VerbType1",0.00306728535697523,0.0238072428146244,48.4948679466939,0.128838327934852,0.898018436198806
