,Noun,VerbType,Pic,Distractor,Verb,Condition,Subj,Order,Block,Ncategory,expName,participant,Transcription,Utterance,Onset,The,dog,above,the,apple,is,X,soa,Relatedness,DistractorType,OnsetThe,DAT,AI,Duration,agreement,codability,freq,syllable,visual_complexity,Vfreq,Vagr,Vcodability,SFreq,SCodability,unaccusativity
158,carrot,Unacc,monkeyUnacc.jpeg,piano,trip,Nunrel,monkey,62,4,fruit,List2,102,{SL} The monkey above the carrot is tripping,,950.8,59.9,369.1,189.6,99.8,528.8,189.5,NA,0,Unrelated,Noun,1010.7,658.5,718.3,1376.8,1,0,2.197,long,13201,28399,0.36,3.082,4882,0.815,0.59
159,chair,Unerg,rabitUnerg.jpeg,desk,smile,Nrel,rabit,63,4,funiture,List2,102,{SL} The rabbit above the chair is smiling,,1230.2,119.7,319.3,249.4,179.6,828.1,279.4,NA,0,Related,Noun,1349.9,748.3,1107.5,1855.8,1,0,4.92,short,11238,12276,0.46,2.955,5751,1.061,0.11
160,cannon,Unerg,clownUnerg.jpeg,cough,walk,Vunrel,clown,64,4,weapon,List2,102,{SL} The clown below the canon is walking,,1040.6,69.8,309.3,219.5,139.7,389.1,149.7,NA,0,Unrelated,Verb,1110.4,668.5,538.8,1207.3,1,0.111,1.946,long,17678,33093,0.58,2.218,2761,1.896,0.24
161,lemon,Unerg,octopusUnerg.jpeg,smile,swim,Vunrel,octopus,65,4,fruit,List2,102,{SL} The octopus below the lemon is swimming,,990.7,89.8,488.9,139.7,69.8,459,179.6,NA,0,Unrelated,Verb,1080.5,698.4,638.6,1337,0.96,0.31,2.773,long,8524,5116,0.74,1.574,900,0.48,0.11
162,lighthouse,Unerg,boyUnerg.jpeg,bark,yawn,Vunrel,boy,66,4,building,List2,102,{SL} The boy below the lighthouse is yawning,,1070.5,69.9,209.5,369.1,99.8,478.9,219.5,NA,0,Unrelated,Verb,1140.4,678.4,698.4,1376.8,0.94,0.409,1.386,long,31692,1333,0.82,0.771,42823,1.896,0.18
163,church,Unacc,rabbitUnacc.jpeg,harp,shake,Nunrel,rabbit,67,4,building,List2,102,{SL} The rabbit above the church is shaking,,1419.7,119.8,349.2,249.4,119.7,598.7,179.6,NA,0,Unrelated,Noun,1539.5,718.3,778.3,1496.6,0.96,0.282,5.215,short,34595,5292,0.54,2.711,5751,1.086,0.8
164,gun,Unerg,pirateUnerg.jpeg,sneeze,cough,Vrel,pirate,68,4,weapon,List2,102,{SL} The pirate below the gun is coughing,,1120.4,99.8,369.1,169.7,129.7,339.2,319.3,NA,0,Related,Verb,1220.2,668.5,658.5,1327,0.9,0.687,4.605,short,10904,2215,0.7,0.987,6292,0.69,0
165,drill,Unacc,penguineUnacc.jpeg,hammer,bounce,Nrel,penguine,69,4,tool,List2,102,{SL} The penguin below the drill is bouncing,,881,69.8,429,239.5,99.7,379.2,169.6,NA,0,Related,Noun,950.8,768.2,548.8,1317,0.63,1.704,2.197,short,16254,4243,0.54,1.736,2222,0.303,0.56
166,table,Unerg,snailUnerg.jpeg,walk,crawl,Vrel,snail,70,4,funiture,List2,102,{SL} The snail below the table is crawling,,1070.5,79.8,439,269.4,568.7,429.1,409,NA,0,Related,Verb,1150.3,1277.1,838.1,2115.2,0.98,0.141,5.464,long,12010,3131,0.14,3.728,10191,0,0.74
167,knife,Unerg,monkeyUnerg.jpeg,spoon,sleep,Nrel,monkey,71,4,tool,List2,102,{SL} The monkey above the knife is sleeping,,1788.9,119.7,249.4,329.3,109.8,448.9,129.7,NA,0,Related,Noun,1908.6,688.5,578.6,1267.1,1,0.057,3.807,long,8773,25606,0.9,0.606,4882,0.357,0
168,harp,Unerg,ballerinaUnerg.jpeg,violin,run,Nrel,ballerina,72,4,instrument,List2,102,{SL} The ballerina above the harp is running,,1040.6,99.8,588.6,259.4,119.8,538.7,299.4,NA,0,Related,Noun,1140.4,967.8,838.1,1805.9,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
169,desk,Unacc,boyUnacc.jpeg,shrink,float,Vunrel,boy,73,1,funiture,List2,102,{SL} The boy below the desk is floating,,1080.5,189.6,319.2,289.4,119.7,488.9,169.6,NA,0,Unrelated,Verb,1270.1,728.3,658.5,1386.8,1,0,4.522,short,17761,5704,0.7,1.718,42823,1.733,0.92
170,church,Unacc,rabbitUnacc.jpeg,bounce,shake,Vrel,rabbit,74,1,building,List2,102,{SL} The rabbit above the church is shaking,,1140.4,109.7,329.3,239.4,69.9,279.3,129.7,NA,0,Related,Verb,1250.1,638.6,409,1047.6,0.96,0.282,5.215,short,34595,5292,0.54,2.711,5751,1.086,0.8
