,Noun,VerbType,Pic,Distractor,Verb,Condition,Subj,Order,Block,Ncategory,expName,participant,Transcription,Utterance,Onset,The,dog,above,the,apple,is,X,soa,Relatedness,DistractorType,OnsetThe,DAT,AI,Duration,agreement,codability,freq,syllable,visual_complexity,Vfreq,Vagr,Vcodability,SFreq,SCodability,unaccusativity
645,guitar,Unacc,pirateUnacc.jpeg,piano,sink,Nrel,pirate,69,1,instrument,List3,107,{SL} The pirate below the guitar is sinking,,1260.1,199.5,578.7,419.1,139.7,598.6,199.5,NA,0,Related,Noun,1459.6,1137.5,798.1,1935.6,0.98,0.141,2.079,long,12032,8579,0.72,1.649,6292,0.592,0.92
646,harp,Unerg,ballerinaUnerg.jpeg,church,run,Nunrel,ballerina,70,1,instrument,List3,107,{SL} The ballerina above the harp is running,,1080.5,159.6,728.4,339.2,99.8,568.7,209.5,NA,0,Unrelated,Noun,1240.1,1167.4,778.2,1945.6,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
647,knife,Unerg,monkeyUnerg.jpeg,castle,sleep,Nunrel,monkey,71,1,tool,List3,107,{SL} The monkey above the knife is sleeping,,1030.6,169.6,568.7,429.1,89.8,558.7,119.7,NA,0,Unrelated,Noun,1200.2,1087.6,678.4,1766,1,0.057,3.807,long,8773,25606,0.9,0.606,4882,0.357,0
648,dresser,Unacc,chefUnacc.jpeg,hammer,drown,Nunrel,chef,72,1,funiture,List3,107,{SL} The chef above the dresser is drowning,,1329.9,159.7,448.9,518.9,79.8,618.6,578.7,NA,0,Unrelated,Noun,1489.6,1047.6,1197.3,2244.9,0.48,2.095,1.792,long,21173,1415,0.68,1.912,1418,1.194,1
649,spoon,Unacc,octopusUnacc.jpeg,knife,boil,Nrel,octopus,73,2,tool,List3,107,{SL} The octopus below the spoon is boiling,,1090.5,249.4,708.4,419,89.8,578.7,139.7,NA,0,Related,Noun,1339.9,1217.2,718.4,1935.6,1,0.029,2.773,short,7344,3837,0.5,2.319,900,0.656,0.96
650,ax,Unacc,ballerinaUnacc.jpeg,float,shrink,Vunrel,ballerina,74,2,weapon,List3,107,{SL} The ballerina above the ax is shrinking,,910.9,139.7,977.7,449,99.8,768.3,129.7,NA,0,Unrelated,Verb,1050.6,1526.5,898,2424.5,0.86,0.668,2.303,short,7849,4085,0.76,1.56,140,1.937,0.92
651,desk,Unacc,boyUnacc.jpeg,chair,float,Nrel,boy,75,2,funiture,List3,107,{SL} The boy below the desk is floating,,1060.5,189.6,409.1,568.7,189.6,977.7,269.4,NA,0,Related,Noun,1250.1,1167.4,1247.1,2414.5,1,0,4.522,short,17761,5704,0.7,1.718,42823,1.733,0.92
652,sword,Unacc,cowboyUnacc.jpeg,sink,fall,Vrel,cowboy,76,2,weapon,List3,107,{SL} The cowboy above the sword is falling,,1818.8,159.7,1147.4,468.9,488.9,439,309.3,NA,0,Related,Verb,1978.5,2105.2,748.3,2853.5,0.92,0.522,2.89,short,10243,46059,0.84,1.114,2826,0.885,0.98
653,guitar,Unacc,pirateUnacc.jpeg,gun,sink,Nunrel,pirate,77,2,instrument,List3,107,{SL} The pirate below the guitar is sinking,,1180.3,179.6,658.5,448.9,129.8,1237.1,429.1,NA,0,Unrelated,Noun,1359.9,1237.2,1666.2,2903.4,0.98,0.141,2.079,long,12032,8579,0.72,1.649,6292,0.592,0.92
654,windmill,Unerg,chefUnerg.jpeg,sleep,yell,Vunrel,chef,78,2,building,List3,107,{SL} The chef above the windmill is yelling,yell_,NA,NA,NA,NA,NA,NA,NA,NA,0,Unrelated,Verb,NA,NA,NA,NA,0.93,0.55,2.303,long,12430,3322,0.78,0.961,1418,1.194,0.06
655,violin,Unacc,clownUnacc.jpeg,harp,grow,Nrel,clown,79,2,instrument,List3,107,{SL} The clown below the violin is growing,,1290,169.6,947.9,478.9,608.6,1027.7,269.4,NA,0,Related,Noun,1459.6,2035.4,1297.1,3332.5,0.82,0.858,1.946,long,8571,24803,0.7,1.918,2761,0.179,1
656,drill,Unacc,penguineUnacc.jpeg,shake,bounce,Vrel,penguine,80,2,tool,List3,107,{SL} The penguin below the drill is bouncing,,1210.2,109.8,608.6,289.3,109.8,538.7,179.6,NA,0,Related,Verb,1320,1007.7,718.3,1726,0.63,1.704,2.197,short,16254,4243,0.54,1.736,2222,0.303,0.56
657,dresser,Unacc,chefUnacc.jpeg,float,drown,Vrel,chef,81,2,funiture,List3,107,{SL} The chef above the dresser is drowning,,1290,129.7,568.7,369.2,119.7,548.8,229.5,NA,0,Related,Verb,1419.7,1057.6,778.3,1835.9,0.48,2.095,1.792,long,21173,1415,0.68,1.912,1418,1.194,1
658,harp,Unerg,ballerinaUnerg.jpeg,swim,run,Vrel,ballerina,82,2,instrument,List3,107,{SL} The ballerina above the harp is running,,1070.5,79.8,588.7,548.8,129.7,588.6,139.7,NA,0,Related,Verb,1150.3,1267.2,728.3,1995.5,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
659,lemon,Unerg,octopusUnerg.jpeg,cannon,swim,Nunrel,octopus,83,2,fruit,List3,107,{SL} The octopus below the lemon is swimming,,1110.4,139.7,648.5,409.1,99.8,888,179.6,NA,0,Unrelated,Noun,1250.1,1157.4,1067.6,2225,0.96,0.31,2.773,long,8524,5116,0.74,1.574,900,0.48,0.11
660,castle,Unacc,snailUnacc.jpeg,knife,melt,Nunrel,snail,84,2,building,List3,107,{SL} The snail below the castle is melting,,1419.7,139.7,598.6,469,99.8,1077.5,159.6,NA,0,Unrelated,Noun,1559.4,1167.4,1237.1,2404.5,1,0,3.332,long,22746,2781,0.16,3.886,10191,0,0.58
661,chair,Unerg,rabitUnerg.jpeg,wink,smile,Vrel,rabit,85,2,funiture,List3,107,{SL} The rabbit above the chair is smiling,,1030.6,169.6,528.8,309.3,149.7,718.3,129.8,NA,0,Related,Verb,1200.2,987.8,848.1,1835.9,1,0,4.92,short,11238,12276,0.46,2.955,5751,1.061,0.11
662,knife,Unerg,monkeyUnerg.jpeg,yawn,sleep,Vrel,monkey,86,2,tool,List3,107,{SL} The monkey above the knife is sleeping,,1190.2,139.7,548.8,349.2,129.7,548.7,169.7,NA,0,Related,Verb,1329.9,1027.7,718.4,1746.1,1,0.057,3.807,long,8773,25606,0.9,0.606,4882,0.357,0
663,church,Unacc,rabbitUnacc.jpeg,grow,shake,Vunrel,rabbit,87,2,building,List3,107,{SL} The rabbit above the church is shaking,,1489.6,159.6,568.7,349.2,149.7,808.1,99.8,NA,0,Unrelated,Verb,1649.2,1067.6,907.9,1975.5,0.96,0.282,5.215,short,34595,5292,0.54,2.711,5751,1.086,0.8
664,apple,Unerg,dogUnerg.jpeg,lemon,bark,Nrel,dog,88,2,fruit,List3,107,{SL} The dog above the apple is barking,,1120.4,169.6,419.1,389.1,169.6,508.8,179.6,NA,0,Related,Noun,1290,977.8,688.4,1666.2,1,0.029,3.434,long,8241,2441,0.7,0.987,58314,0.629,0
665,piano,Unerg,cowboyUnerg.jpeg,crawl,wink,Vunrel,cowboy,89,2,instrument,List3,107,{SL} The cowboy above the piano is winking,,1529.5,109.7,289.4,558.7,139.7,897.9,199.6,NA,0,Unrelated,Verb,1639.2,987.8,1097.5,2085.3,1,0.029,3.332,long,19570,1494,0.64,1.628,2826,0.35,0.24
666,tomato,Unerg,penguineUnerg.jpeg,run,sneeze,Vunrel,penguine,90,2,fruit,List3,107,{SL} The penguin below the tomato is sneezing,,1888.7,129.7,808.1,389.1,109.8,828.1,159.7,NA,0,Unrelated,Verb,2018.4,1307,987.8,2294.8,0.98,0.141,2.708,long,8388,540,0.78,1.088,2222,0.689,0.04
667,gun,Unerg,pirateUnerg.jpeg,cannon,cough,Nrel,pirate,91,2,weapon,List3,107,{SL} The pirate below the gun is coughing,,1300,159.6,598.7,379.1,89.8,868,149.7,NA,0,Related,Noun,1459.6,1067.6,1017.7,2085.3,0.9,0.687,4.605,short,10904,2215,0.7,0.987,6292,0.69,0
668,table,Unerg,snailUnerg.jpeg,dresser,crawl,Nrel,snail,92,2,funiture,List3,107,{SL} The snail below the table is crawling,,1010.7,179.5,578.7,498.9,698.4,947.9,179.6,NA,0,Related,Noun,1190.2,1776,1127.5,2903.5,0.98,0.141,5.464,long,12010,3131,0.14,3.728,10191,0,0.74
669,cannon,Unerg,clownUnerg.jpeg,lemon,walk,Nunrel,clown,93,2,weapon,List3,107,{SL} The clown below the canon is walking,,1200.2,229.5,708.4,548.7,89.8,518.9,179.6,NA,0,Unrelated,Noun,1429.7,1346.9,698.5,2045.4,1,0.111,1.946,long,17678,33093,0.58,2.218,2761,1.896,0.24
670,carrot,Unacc,monkeyUnacc.jpeg,melt,trip,Vunrel,monkey,94,2,fruit,List3,107,{SL} The monkey above the carrot is tripping,,1190.2,229.5,548.8,369.1,89.8,548.8,239.4,NA,0,Unrelated,Verb,1419.7,1007.7,788.2,1795.9,1,0,2.197,long,13201,28399,0.36,3.082,4882,0.815,0.59
671,lighthouse,Unerg,boyUnerg.jpeg,apple,yawn,Nunrel,boy,95,2,building,List3,107,{SL} The boy below the lighthouse is yawning,,1150.3,159.7,369.1,439,99.8,738.3,159.7,NA,0,Unrelated,Noun,1310,907.9,898,1805.9,0.94,0.409,1.386,long,31692,1333,0.82,0.771,42823,1.896,0.18
672,hammer,Unacc,dogUnacc.jpeg,dresser,spin,Nunrel,dog,96,2,tool,List3,107,{SL} The dog above the hammer is spinning,,980.7,169.6,439,479,109.7,1017.7,119.7,NA,0,Unrelated,Noun,1150.3,1027.7,1137.4,2165.1,1,0.057,2.485,long,9533,10683,0.12,3.022,58314,0.995,0.9
673,piano,Unerg,cowboyUnerg.jpeg,carrot,wink,Nunrel,cowboy,1,4,instrument,List4,108,{SL} The cowboy above the piano is winking,,1080.5,289.3,997.8,977.8,738.3,678.4,259.4,NA,0,Unrelated,Noun,1369.8,2713.9,937.8,3651.7,1,0.029,3.332,long,19570,1494,0.64,1.628,2826,0.35,0.24
674,tomato,Unerg,penguineUnerg.jpeg,table,sneeze,Nunrel,penguine,2,4,fruit,List4,108,{SL} The penguin below the tomato is sneezing,,1070.5,698.4,947.9,778.2,1187.3,498.9,139.7,NA,0,Unrelated,Noun,1768.9,2913.4,638.6,3552,0.98,0.141,2.708,long,8388,540,0.78,1.088,2222,0.689,0.04
675,desk,Unacc,boyUnacc.jpeg,drown,float,Vrel,boy,3,4,funiture,List4,108,{SL} The boy below the desk is floating,,950.8,588.7,429,568.7,189.6,518.8,209.5,NA,0,Related,Verb,1539.5,1187.3,728.3,1915.6,1,0,4.522,short,17761,5704,0.7,1.718,42823,1.733,0.92
676,apple,Unerg,dogUnerg.jpeg,yell,bark,Vrel,dog,4,4,fruit,List4,108,{SL} The dog above the apple is barking,,811.1,718.4,1366.9,389.1,199.5,389.1,129.8,NA,0,Related,Verb,1529.5,1955.5,518.9,2474.4,1,0.029,3.434,long,8241,2441,0.7,0.987,58314,0.629,0
677,dresser,Unacc,chefUnacc.jpeg,table,drown,Nrel,chef,5,4,funiture,List4,108,{SL} The chef above the dresser is drowning,table,NA,NA,NA,NA,NA,NA,NA,NA,0,Related,Noun,NA,NA,NA,NA,0.48,2.095,1.792,long,21173,1415,0.68,1.912,1418,1.194,1
678,castle,Unacc,snailUnacc.jpeg,trip,melt,Vunrel,snail,6,4,building,List4,108,{SL} The snail below the castle is melting,,1160.3,2833.6,598.6,349.2,79.8,469,119.7,NA,0,Unrelated,Verb,3993.9,1027.6,588.7,1616.3,1,0,3.332,long,22746,2781,0.16,3.886,10191,0,0.58
679,ax,Unacc,ballerinaUnacc.jpeg,spoon,shrink,Nunrel,ballerina,7,4,weapon,List4,108,{SL} The ballerina above the ax is shrinking,,1020.6,469,648.5,399.1,239.4,518.9,498.8,NA,0,Unrelated,Noun,1489.6,1287,1017.7,2304.7,0.86,0.668,2.303,short,7849,4085,0.76,1.56,140,1.937,0.92
680,spoon,Unacc,octopusUnacc.jpeg,melt,boil,Vrel,octopus,8,4,tool,List4,108,{SL} The octopus below the spoon is boiling,,1649.2,858.1,1516.5,429,89.8,409.1,279.4,NA,0,Related,Verb,2507.3,2035.3,688.5,2723.8,1,0.029,2.773,short,7344,3837,0.5,2.319,900,0.656,0.96
681,hammer,Unacc,dogUnacc.jpeg,sink,spin,Vunrel,dog,9,4,tool,List4,108,{SL} The dog above the hammer is spinning,,950.8,309.3,498.9,758.2,478.9,828.2,1386.8,NA,0,Unrelated,Verb,1260.1,1736,2215,3951,1,0.057,2.485,long,9533,10683,0.12,3.022,58314,0.995,0.9
682,windmill,Unerg,chefUnerg.jpeg,chair,yell,Nunrel,chef,10,4,building,List4,108,{SL} The chef above the windmill is yelling,,801.1,688.5,728.3,608.6,129.7,528.8,149.7,NA,0,Unrelated,Noun,1489.6,1466.6,678.5,2145.1,0.93,0.55,2.303,long,12430,3322,0.78,0.961,1418,1.194,0.06
683,sword,Unacc,cowboyUnacc.jpeg,ax,fall,Nrel,cowboy,11,4,weapon,List4,108,{SL} The cowboy above the sword is falling,,1130.4,249.4,359.2,518.8,558.8,548.7,498.9,NA,0,Related,Noun,1379.8,1436.8,1047.6,2484.4,0.92,0.522,2.89,short,10243,46059,0.84,1.114,2826,0.885,0.98
684,guitar,Unacc,pirateUnacc.jpeg,spin,sink,Vunrel,pirate,12,4,instrument,List4,108,{SL} The pirate below the guitar is sinking,drowning,NA,NA,NA,NA,NA,NA,NA,NA,0,Unrelated,Verb,NA,NA,NA,NA,0.98,0.141,2.079,long,12032,8579,0.72,1.649,6292,0.592,0.92
685,violin,Unacc,clownUnacc.jpeg,shrink,grow,Vrel,clown,13,4,instrument,List4,108,{SL} The clown below the violin is growing,,1090.5,149.6,698.4,648.6,169.6,548.7,449,NA,0,Related,Verb,1240.1,1516.6,997.7,2514.3,0.82,0.858,1.946,long,8571,24803,0.7,1.918,2761,0.179,1
686,carrot,Unacc,monkeyUnacc.jpeg,piano,trip,Nunrel,monkey,14,4,fruit,List4,108,{SL} The monkey above the carrot is tripping,,1000.7,149.6,698.5,1396.8,289.3,808.2,359.2,NA,0,Unrelated,Noun,1150.3,2384.6,1167.4,3552,1,0,2.197,long,13201,28399,0.36,3.082,4882,0.815,0.59
687,chair,Unerg,rabitUnerg.jpeg,desk,smile,Nrel,rabit,15,4,funiture,List4,108,{SL} The rabbit above the chair is smiling,,811.1,129.7,588.7,538.8,139.6,608.7,129.7,NA,0,Related,Noun,940.8,1267.1,738.4,2005.5,1,0,4.92,short,11238,12276,0.46,2.955,5751,1.061,0.11
688,cannon,Unerg,clownUnerg.jpeg,cough,walk,Vunrel,clown,16,4,weapon,List4,108,{SL} The clown below the canon is walking,,1210.2,109.8,848,588.7,149.6,698.5,1057.6,NA,0,Unrelated,Verb,1320,1586.3,1756.1,3342.4,1,0.111,1.946,long,17678,33093,0.58,2.218,2761,1.896,0.24
689,lemon,Unerg,octopusUnerg.jpeg,smile,swim,Vunrel,octopus,17,4,fruit,List4,108,{SL} The octopus below the lemon is swimming,,1180.3,269.4,828.1,359.2,99.7,469,598.6,NA,0,Unrelated,Verb,1449.7,1287,1067.6,2354.6,0.96,0.31,2.773,long,8524,5116,0.74,1.574,900,0.48,0.11
690,lighthouse,Unerg,boyUnerg.jpeg,bark,yawn,Vunrel,boy,18,4,building,List4,108,{SL} The boy below the lighthouse is yawning,,1150.3,99.8,608.6,768.3,139.7,658.5,149.6,NA,0,Unrelated,Verb,1250.1,1516.6,808.1,2324.7,0.94,0.409,1.386,long,31692,1333,0.82,0.771,42823,1.896,0.18
691,church,Unacc,rabbitUnacc.jpeg,harp,shake,Nunrel,rabbit,19,4,building,List4,108,{SL} The rabbit above the church is shaking,,1040.6,139.7,568.7,439,109.7,768.3,907.9,NA,0,Unrelated,Noun,1180.3,1117.4,1676.2,2793.6,0.96,0.282,5.215,short,34595,5292,0.54,2.711,5751,1.086,0.8
692,gun,Unerg,pirateUnerg.jpeg,sneeze,cough,Vrel,pirate,20,4,weapon,List4,108,{SL} The pirate below the gun is coughing,,990.7,598.6,728.4,429,229.5,478.9,389.1,NA,0,Related,Verb,1589.3,1386.9,868,2254.9,0.9,0.687,4.605,short,10904,2215,0.7,0.987,6292,0.69,0
693,drill,Unacc,penguineUnacc.jpeg,hammer,bounce,Nrel,penguine,21,4,tool,List4,108,{SL} The penguin below the drill is bouncing,,1140.4,299.3,868,1057.6,309.3,538.8,598.6,NA,0,Related,Noun,1439.7,2234.9,1137.4,3372.3,0.63,1.704,2.197,short,16254,4243,0.54,1.736,2222,0.303,0.56
694,table,Unerg,snailUnerg.jpeg,walk,crawl,Vrel,snail,22,4,funiture,List4,108,{SL} The snail below the table is crawling,,1040.6,149.6,498.9,429,698.5,558.7,848.1,NA,0,Related,Verb,1190.2,1626.4,1406.8,3033.2,0.98,0.141,5.464,long,12010,3131,0.14,3.728,10191,0,0.74
695,knife,Unerg,monkeyUnerg.jpeg,spoon,sleep,Nrel,monkey,23,4,tool,List4,108,{SL} The monkey above the knife is sleeping,,831.1,249.4,608.6,359.2,668.5,678.4,469,NA,0,Related,Noun,1080.5,1636.3,1147.4,2783.7,1,0.057,3.807,long,8773,25606,0.9,0.606,4882,0.357,0
696,harp,Unerg,ballerinaUnerg.jpeg,violin,run,Nrel,ballerina,24,4,instrument,List4,108,{SL} The ballerina above the harp is running,,1120.4,419.1,678.4,488.9,99.8,588.6,379.2,NA,0,Related,Noun,1539.5,1267.1,967.8,2234.9,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
697,desk,Unacc,boyUnacc.jpeg,shrink,float,Vunrel,boy,25,1,funiture,List4,108,{SL} The boy below the desk is floating,,910.9,289.3,488.9,628.6,359.2,658.5,379.1,NA,0,Unrelated,Verb,1200.2,1476.7,1037.6,2514.3,1,0,4.522,short,17761,5704,0.7,1.718,42823,1.733,0.92
698,church,Unacc,rabbitUnacc.jpeg,bounce,shake,Vrel,rabbit,26,1,building,List4,108,{SL} The rabbit above the church is shaking,,851,209.5,399.1,349.2,399.1,828.2,399,NA,0,Related,Verb,1060.5,1147.4,1227.2,2374.6,0.96,0.282,5.215,short,34595,5292,0.54,2.711,5751,1.086,0.8
699,cannon,Unerg,clownUnerg.jpeg,gun,walk,Nrel,clown,27,1,weapon,List4,108,{SL} The clown below the canon is walking,,461.9,459,688.4,688.4,299.4,658.5,369.1,NA,0,Related,Noun,920.9,1676.2,1027.6,2703.8,1,0.111,1.946,long,17678,33093,0.58,2.218,2761,1.896,0.24
700,drill,Unacc,penguineUnacc.jpeg,sword,bounce,Nunrel,penguine,28,1,tool,List4,108,{SL} The penguin below the drill is bouncing,,861,628.6,927.9,977.7,399.1,608.6,279.4,NA,0,Unrelated,Noun,1489.6,2304.7,888,3192.7,0.63,1.704,2.197,short,16254,4243,0.54,1.736,2222,0.303,0.56
701,ax,Unacc,ballerinaUnacc.jpeg,grow,shrink,Vrel,ballerina,29,1,weapon,List4,108,{SL} The ballerina above the ax is shrinking,,1120.4,139.7,558.7,548.8,149.6,558.8,458.9,NA,0,Related,Verb,1260.1,1257.1,1017.7,2274.8,0.86,0.668,2.303,short,7849,4085,0.76,1.56,140,1.937,0.92
702,windmill,Unerg,chefUnerg.jpeg,bark,yell,Vrel,chef,30,1,building,List4,108,{SL} The chef above the windmill is yelling,,861,558.7,498.9,548.7,239.5,1307,289.4,NA,0,Related,Verb,1419.7,1287.1,1596.4,2883.5,0.93,0.55,2.303,long,12430,3322,0.78,0.961,1418,1.194,0.06
703,hammer,Unacc,dogUnacc.jpeg,drill,spin,Nrel,dog,31,1,tool,List4,108,{SL} The dog above the hammer is spinning,,1599.3,578.7,488.9,668.5,119.7,638.6,289.3,NA,0,Related,Noun,2178,1277.1,927.9,2205,1,0.057,2.485,long,9533,10683,0.12,3.022,58314,0.995,0.9
704,chair,Unerg,rabitUnerg.jpeg,windmill,smile,Nunrel,rabit,32,1,funiture,List4,108,{SL} The rabbit above the chair is smiling,,1120.4,159.6,718.4,578.7,319.3,618.6,229.4,NA,0,Unrelated,Noun,1280,1616.4,848,2464.4,1,0,4.92,short,11238,12276,0.46,2.955,5751,1.061,0.11
705,apple,Unerg,dogUnerg.jpeg,yawn,bark,Vunrel,dog,33,1,fruit,List4,108,{SL} The dog above the apple is barking,,621.5,129.7,488.9,349.2,319.3,429,369.2,NA,0,Unrelated,Verb,751.2,1157.4,798.2,1955.6,1,0.029,3.434,long,8241,2441,0.7,0.987,58314,0.629,0
706,tomato,Unerg,penguineUnerg.jpeg,cough,sneeze,Vrel,penguine,34,1,fruit,List4,108,{SL} The penguin below the tomato is sneezing,,671.4,119.8,608.6,369.1,99.8,658.5,289.4,NA,0,Related,Verb,791.2,1077.5,947.9,2025.4,0.98,0.141,2.708,long,8388,540,0.78,1.088,2222,0.689,0.04
707,carrot,Unacc,monkeyUnacc.jpeg,spin,trip,Vrel,monkey,35,1,fruit,List4,108,{SL} The monkey above the carrot is tripping,,781.2,119.7,478.9,319.3,79.8,718.4,299.3,NA,0,Related,Verb,900.9,878,1017.7,1895.7,1,0,2.197,long,13201,28399,0.36,3.082,4882,0.815,0.59
708,sword,Unacc,cowboyUnacc.jpeg,drill,fall,Nunrel,cowboy,36,1,weapon,List4,108,{SL} The cowboy above the sword is falling,,811.1,598.7,937.8,798.2,269.4,518.8,139.7,NA,0,Unrelated,Noun,1409.8,2005.4,658.5,2663.9,0.92,0.522,2.89,short,10243,46059,0.84,1.114,2826,0.885,0.98
709,violin,Unacc,clownUnacc.jpeg,shake,grow,Vunrel,clown,37,1,instrument,List4,108,{SL} The clown below the violin is growing,,1160.3,249.5,588.6,329.3,129.7,628.5,249.5,NA,0,Unrelated,Verb,1409.8,1047.6,878,1925.6,0.82,0.858,1.946,long,8571,24803,0.7,1.918,2761,0.179,1
710,gun,Unerg,pirateUnerg.jpeg,walk,cough,Vunrel,pirate,38,1,weapon,List4,108,{SL} The pirate below the gun is coughing,,861,648.5,538.8,409.1,119.7,389.1,269.4,NA,0,Unrelated,Verb,1509.5,1067.6,658.5,1726.1,0.9,0.687,4.605,short,10904,2215,0.7,0.987,6292,0.69,0
711,lemon,Unerg,octopusUnerg.jpeg,apple,swim,Nrel,octopus,39,1,fruit,List4,108,{SL} The octopus below the lemon is swimming,,791.2,648.5,1017.7,917.9,129.7,478.9,149.7,NA,0,Related,Noun,1439.7,2065.3,628.6,2693.9,0.96,0.31,2.773,long,8524,5116,0.74,1.574,900,0.48,0.11
712,table,Unerg,snailUnerg.jpeg,wink,crawl,Vunrel,snail,40,1,funiture,List4,108,{SL} The snail below the table is crawling,,1080.5,109.7,479,329.2,99.8,628.6,1147.3,NA,0,Unrelated,Verb,1190.2,908,1775.9,2683.9,0.98,0.141,5.464,long,12010,3131,0.14,3.728,10191,0,0.74
713,lighthouse,Unerg,boyUnerg.jpeg,windmill,yawn,Nrel,boy,41,1,building,List4,108,{SL} The boy below the lighthouse is yawning,,881,179.5,439,558.8,698.4,708.4,319.3,NA,0,Related,Noun,1060.5,1696.2,1027.7,2723.9,0.94,0.409,1.386,long,31692,1333,0.82,0.771,42823,1.896,0.18
714,spoon,Unacc,octopusUnacc.jpeg,fall,boil,Vunrel,octopus,42,1,tool,List4,108,{SL} The octopus below the spoon is boiling,,950.8,419,648.6,498.8,109.8,528.8,329.2,NA,0,Unrelated,Verb,1369.8,1257.2,858,2115.2,1,0.029,2.773,short,7344,3837,0.5,2.319,900,0.656,0.96
715,piano,Unerg,cowboyUnerg.jpeg,smile,wink,Vrel,cowboy,43,1,instrument,List4,108,{SL} The cowboy above the piano is winking,,1409.8,169.6,638.5,728.4,69.8,678.5,229.4,NA,0,Related,Verb,1579.4,1436.7,907.9,2344.6,1,0.029,3.332,long,19570,1494,0.64,1.628,2826,0.35,0.24
716,castle,Unacc,snailUnacc.jpeg,church,melt,Nrel,snail,44,1,building,List4,108,{SL} The snail below the castle is melting,,1010.7,89.8,598.6,658.5,379.1,668.5,628.6,NA,0,Related,Noun,1100.5,1636.2,1297.1,2933.3,1,0,3.332,long,22746,2781,0.16,3.886,10191,0,0.58
717,guitar,Unacc,pirateUnacc.jpeg,piano,sink,Nrel,pirate,45,1,instrument,List4,108,{SL} The pirate below the guitar is sinking,cat_,NA,NA,NA,NA,NA,NA,NA,NA,0,Related,Noun,NA,NA,NA,NA,0.98,0.141,2.079,long,12032,8579,0.72,1.649,6292,0.592,0.92
718,harp,Unerg,ballerinaUnerg.jpeg,church,run,Nunrel,ballerina,46,1,instrument,List4,108,{SL} The ballerina above the harp is running,,1090.5,109.7,868.1,1147.3,149.7,468.9,319.3,NA,0,Unrelated,Noun,1200.2,2165.1,788.2,2953.3,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
719,knife,Unerg,monkeyUnerg.jpeg,castle,sleep,Nunrel,monkey,47,1,tool,List4,108,{SL} The monkey above the knife is sleeping,,1060.5,179.6,668.5,738.3,99.8,818.2,538.7,NA,0,Unrelated,Noun,1240.1,1506.6,1356.9,2863.5,1,0.057,3.807,long,8773,25606,0.9,0.606,4882,0.357,0
720,dresser,Unacc,chefUnacc.jpeg,hammer,drown,Nunrel,chef,48,1,funiture,List4,108,{SL} The chef above the dresser is drowning,,980.7,818.2,618.6,858,249.4,808.2,309.3,NA,0,Unrelated,Noun,1798.9,1726,1117.5,2843.5,0.48,2.095,1.792,long,21173,1415,0.68,1.912,1418,1.194,1
721,spoon,Unacc,octopusUnacc.jpeg,knife,boil,Nrel,octopus,49,2,tool,List4,108,{SL} The octopus below the spoon is boiling,,1050.6,259.4,888,379.1,69.8,688.5,439,NA,0,Related,Noun,1310,1336.9,1127.5,2464.4,1,0.029,2.773,short,7344,3837,0.5,2.319,900,0.656,0.96
722,ax,Unacc,ballerinaUnacc.jpeg,float,shrink,Vunrel,ballerina,50,2,weapon,List4,108,{SL} The ballerina above the ax is shrinking,,1379.8,89.8,528.8,708.4,149.7,498.8,369.2,NA,0,Unrelated,Verb,1469.6,1386.9,868,2254.9,0.86,0.668,2.303,short,7849,4085,0.76,1.56,140,1.937,0.92
723,desk,Unacc,boyUnacc.jpeg,chair,float,Nrel,boy,51,2,funiture,List4,108,{SL} The boy below the desk is floating,,1200.2,99.8,528.8,708.4,179.6,558.7,229.5,NA,0,Related,Noun,1300,1416.8,788.2,2205,1,0,4.522,short,17761,5704,0.7,1.718,42823,1.733,0.92
724,sword,Unacc,cowboyUnacc.jpeg,sink,fall,Vrel,cowboy,52,2,weapon,List4,108,{SL} The cowboy above the sword is falling,,1050.6,149.6,558.8,638.5,109.8,598.6,488.9,NA,0,Related,Verb,1200.2,1307.1,1087.5,2394.6,0.92,0.522,2.89,short,10243,46059,0.84,1.114,2826,0.885,0.98
725,guitar,Unacc,pirateUnacc.jpeg,gun,sink,Nunrel,pirate,53,2,instrument,List4,108,{SL} The pirate below the guitar is sinking,,821.1,868,508.9,468.9,139.7,568.7,329.2,NA,0,Unrelated,Noun,1689.1,1117.5,897.9,2015.4,0.98,0.141,2.079,long,12032,8579,0.72,1.649,6292,0.592,0.92
726,windmill,Unerg,chefUnerg.jpeg,sleep,yell,Vunrel,chef,54,2,building,List4,108,{SL} The chef above the windmill is yelling,,1240.1,668.5,598.7,628.5,99.8,1337,379.1,NA,0,Unrelated,Verb,1908.6,1327,1716.1,3043.1,0.93,0.55,2.303,long,12430,3322,0.78,0.961,1418,1.194,0.06
727,violin,Unacc,clownUnacc.jpeg,harp,grow,Nrel,clown,55,2,instrument,List4,108,{SL} The clown below the violin is growing,,1210.2,59.9,478.9,568.7,937.9,718.3,349.2,NA,0,Related,Noun,1270.1,1985.5,1067.5,3053,0.82,0.858,1.946,long,8571,24803,0.7,1.918,2761,0.179,1
