"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",6.91321903221676,0.0219295371258425,72.030690468304,315.246919829876,0
"Relatedness1",-0.00812233196835391,0.00910139481926614,48.0699659817946,-0.892427164148541,0.376609860301543
"VerbType1",-0.0284007606073944,0.0237039464701863,44.3223222167783,-1.19814481707152,0.237228420360748
"Region1",-0.604834823100411,0.0381166534990688,61.3792725925922,-15.8679938446115,0
"Relatedness1:VerbType1",-0.00381398483284554,0.0183352726104588,48.1901244156733,-0.208013532925056,0.836095042812909
"Relatedness1:Region1",0.0157772312750705,0.018275281335649,50.4771237323545,0.863309898507242,0.392050688659724
"VerbType1:Region1",-0.0338614896105423,0.0348655228369609,45.5513225391598,-0.971202691234156,0.336576457079133
"Relatedness1:VerbType1:Region1",-0.0121135262750585,0.0343763058191063,110.652277178339,-0.352380105611168,0.725223495186316
