"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",6.30976699876606,0.0329065602792529,67.6329082059573,191.747996302861,0
"Relatedness1",-0.0717756465465865,0.0200916075434757,44.2211237456427,-3.57241929951464,0.000868346844268064
"VerbType1",-0.00738642790494107,0.0352422278160886,44.2916275544932,-0.209590266071915,0.834948560475221
"Relatedness1:VerbType1",0.0418316552089648,0.0392763308130937,46.8742179927391,1.0650601607373,0.292304351405505
