"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",6.77420885035957,0.0245027766537102,56.9462208635691,276.466987643779,0
"Relatedness1",-0.0385807901024648,0.0118840942999632,52.5749629905955,-3.24642241374542,0.00203661195169902
"VerbType1",-0.0234805494089037,0.019259020184862,46.3404055712107,-1.21919750763644,0.228938921306329
"Region1",-0.927860627603275,0.0399918665586922,66.7590444151883,-23.2012333368222,0
"Relatedness1:VerbType1",0.0200133097611068,0.0230583912786573,53.3073786830123,0.867940417839599,0.389317560688558
"Relatedness1:Region1",-0.0669568065555661,0.025417781868254,47.0544433292795,-2.63425057712031,0.011378021195269
"VerbType1:Region1",0.0301039420713426,0.0423108547067125,46.4711282280989,0.711494539167668,0.480334285275131
"Relatedness1:VerbType1:Region1",0.040958624416308,0.0487583531462698,48.2252000743607,0.840032974317991,0.405035366775754
