Subject	Trial	TargBinary	ExpCond	PrimeCategory	PrimeType
54	21.gif	0	Same	Locative	Prime_A
54	22.gif	1	Same	Transitive	Prime_B
54	90.gif	0	Same	Dative	Prime_B
54	11.gif	0	Same	Locative	Prime_B
54	19.gif	1	Same	Transitive	Prime_B
54	33.gif	0	Same	Dative	Prime_A
54	76.gif	1	Same	Locative	Prime_B
54	6.gif	1	Same	Transitive	Prime_A
54	8.gif	1	Same	Locative	Prime_A
54	29.gif	1	Same	Transitive	Prime_A
54	51.gif	0	Different	Dative	Prime_A
54	T6.gif	0	Different	Dative	Prime_A
54	114.gif	1	Different	Locative	Prime_A
54	30.gif	0	Different	Transitive	Prime_B
54	45.gif	0	Different	Dative	Prime_B
54	66.gif	0	Different	Locative	Prime_A
54	25.gif	1	Different	Transitive	Prime_A
54	52.gif	0	Different	Dative	Prime_B
54	13.gif	1	Different	Locative	Prime_B
54	28.gif	1	Different	Transitive	Prime_B
54	82.gif	1	Different	Dative	Prime_B
54	68.gif	1	Different	Dative	Prime_A
54	74.gif	0	Different	Locative	Prime_B
54	40.gif	1	Different	Transitive	Prime_B
54	34.gif	0	Different	Dative	Prime_A
54	32.gif	1	Different	Transitive	Prime_A
54	84.gif	0	Different	Dative	Prime_B
54	70.gif	0	Different	Locative	Prime_A
54	109.gif	1	Same	Locative	Prime_A
54	44.gif	1	Same	Dative	Prime_B
54	112.gif	1	Same	Locative	Prime_B
54	1.gif	0	Same	Transitive	Prime_A
54	T11.gif	1	Same	Dative	Prime_B
54	108.gif	1	Same	Locative	Prime_A
54	93.gif	0	Same	Transitive	Prime_B
54	81.gif	1	Same	Locative	Prime_B
54	57.gif	0	Same	Transitive	Prime_B
55	29.gif	0	Different	Transitive	Prime_A
55	6.gif	1	Different	Transitive	Prime_A
55	33.gif	1	Different	Dative	Prime_A
55	19.gif	1	Different	Transitive	Prime_B
55	11.gif	1	Different	Locative	Prime_B
55	90.gif	1	Different	Dative	Prime_B
55	22.gif	0	Different	Transitive	Prime_B
55	26.gif	1	Different	Dative	Prime_A
55	28.gif	1	Same	Transitive	Prime_B
55	13.gif	1	Same	Locative	Prime_B
