Subject	Item	CardTyp	PrimeType	TargBinary	VerbClass
5	19	Same	Prime_B	1	Transitive
5	20	Diff	Prime_B	0	Locative
5	21	Diff	Prime_B	0	Dative
5	22	Same	Prime_A	1	Transitive
5	25	Diff	Prime_B	0	Transitive
5	27	Same	Prime_B	0	Dative
5	28	Diff	Prime_A	1	Transitive
5	30	Same	Prime_A	0	Dative
5	31	Same	Prime_B	0	Transitive
5	32	Diff	Prime_B	0	Locative
5	33	Diff	Prime_B	0	Dative
5	34	Same	Prime_A	1	Transitive
5	35	Same	Prime_A	0	Locative
5	36	Diff	Prime_A	0	Dative
5	37	Diff	Prime_B	0	Transitive
5	39	Same	Prime_B	1	Dative
5	40	Diff	Prime_A	0	Transitive
5	42	Same	Prime_A	0	Dative
5	43	Same	Prime_B	1	Transitive
5	45	Diff	Prime_B	0	Dative
5	48	Diff	Prime_A	1	Dative
6	1	Same	Prime_B	1	Transitive
6	3	Diff	Prime_B	1	Dative
6	4	Same	Prime_A	1	Transitive
6	5	Same	Prime_A	0	Locative
6	6	Diff	Prime_A	1	Dative
6	7	Diff	Prime_B	1	Transitive
6	8	Same	Prime_B	1	Locative
6	9	Same	Prime_B	1	Dative
6	10	Diff	Prime_A	1	Transitive
6	12	Same	Prime_A	1	Dative
6	13	Same	Prime_B	1	Transitive
6	14	Diff	Prime_B	1	Locative
6	15	Diff	Prime_B	1	Dative
6	16	Same	Prime_A	0	Transitive
6	17	Same	Prime_A	1	Locative
6	18	Diff	Prime_A	1	Dative
6	19	Diff	Prime_B	1	Transitive
6	20	Same	Prime_B	0	Locative
6	21	Same	Prime_B	0	Dative
6	22	Diff	Prime_A	1	Transitive
6	23	Diff	Prime_A	0	Locative
6	24	Same	Prime_A	1	Dative
6	25	Same	Prime_B	0	Transitive
6	26	Diff	Prime_B	0	Locative
6	27	Diff	Prime_B	0	Dative
6	28	Same	Prime_A	1	Transitive
6	29	Same	Prime_A	0	Locative
6	30	Diff	Prime_A	1	Dative
6	33	Same	Prime_B	0	Dative
6	34	Diff	Prime_A	1	Transitive
6	35	Diff	Prime_A	0	Locative
6	36	Same	Prime_A	1	Dative
6	37	Same	Prime_B	0	Transitive
6	38	Diff	Prime_B	1	Locative
6	39	Diff	Prime_B	1	Dative
6	40	Same	Prime_A	1	Transitive
6	42	Diff	Prime_A	0	Dative
6	43	Diff	Prime_B	1	Transitive
6	44	Same	Prime_B	0	Locative
6	45	Same	Prime_B	0	Dative
6	46	Diff	Prime_A	1	Transitive
6	47	Diff	Prime_A	1	Locative
6	48	Same	Prime_A	1	Dative
7	1	Same	Prime_B	1	Transitive
7	4	Same	Prime_A	1	Transitive
7	5	Same	Prime_A	0	Locative
7	6	Diff	Prime_A	0	Dative
7	7	Diff	Prime_B	1	Transitive
7	9	Same	Prime_B	0	Dative
7	10	Diff	Prime_A	1	Transitive
7	12	Same	Prime_A	0	Dative
7	13	Same	Prime_B	0	Transitive
7	14	Diff	Prime_B	1	Locative
7	16	Same	Prime_A	0	Transitive
7	18	Diff	Prime_A	1	Dative
7	20	Same	Prime_B	1	Locative
7	21	Same	Prime_B	1	Dative
7	22	Diff	Prime_A	1	Transitive
7	24	Same	Prime_A	1	Dative
7	25	Same	Prime_B	0	Transitive
7	26	Diff	Prime_B	1	Locative
7	27	Diff	Prime_B	0	Dative
7	28	Same	Prime_A	1	Transitive
7	29	Same	Prime_A	1	Locative
7	30	Diff	Prime_A	1	Dative
7	31	Diff	Prime_B	0	Transitive
7	33	Same	Prime_B	0	Dative
7	34	Diff	Prime_A	1	Transitive
7	35	Diff	Prime_A	0	Locative
7	37	Same	Prime_B	0	Transitive
7	39	Diff	Prime_B	1	Dative
7	40	Same	Prime_A	0	Transitive
7	41	Same	Prime_A	1	Locative
7	42	Diff	Prime_A	0	Dative
7	43	Diff	Prime_B	0	Transitive
7	45	Same	Prime_B	0	Dative
7	47	Diff	Prime_A	1	Locative
8	1	Diff	Prime_B	1	Transitive
8	2	Same	Prime_B	1	Locative
8	4	Diff	Prime_A	1	Transitive
8	5	Diff	Prime_A	1	Locative
8	6	Same	Prime_A	0	Dative
8	7	Same	Prime_B	1	Transitive
8	8	Diff	Prime_B	1	Locative
8	9	Diff	Prime_B	0	Dative
8	10	Same	Prime_A	0	Transitive
8	12	Diff	Prime_A	0	Dative
8	13	Diff	Prime_B	1	Transitive
8	15	Same	Prime_B	1	Dative
8	16	Diff	Prime_A	1	Transitive
8	17	Diff	Prime_A	1	Locative
8	18	Same	Prime_A	1	Dative
8	19	Same	Prime_B	0	Transitive
8	21	Diff	Prime_B	1	Dative
8	22	Same	Prime_A	0	Transitive
8	25	Diff	Prime_B	0	Transitive
8	26	Same	Prime_B	1	Locative
8	27	Same	Prime_B	1	Dative
8	28	Diff	Prime_A	0	Transitive
8	29	Diff	Prime_A	1	Locative
8	30	Same	Prime_A	1	Dative
8	32	Diff	Prime_B	0	Locative
8	33	Diff	Prime_B	1	Dative
8	34	Same	Prime_A	1	Transitive
8	35	Same	Prime_A	1	Locative
8	36	Diff	Prime_A	1	Dative
8	37	Diff	Prime_B	0	Transitive
8	40	Diff	Prime_A	0	Transitive
8	41	Diff	Prime_A	1	Locative
8	42	Same	Prime_A	1	Dative
8	43	Same	Prime_B	0	Transitive
8	44	Diff	Prime_B	0	Locative
8	45	Diff	Prime_B	1	Dative
8	46	Same	Prime_A	1	Transitive
8	47	Same	Prime_A	1	Locative
8	48	Diff	Prime_A	1	Dative
9	2	Same	Prime_A	1	Locative
9	4	Diff	Prime_B	1	Transitive
9	5	Diff	Prime_B	0	Locative
9	6	Same	Prime_B	0	Dative
9	7	Same	Prime_A	1	Transitive
9	8	Diff	Prime_A	1	Locative
9	9	Diff	Prime_A	1	Dative
9	10	Same	Prime_B	0	Transitive
9	12	Diff	Prime_B	1	Dative
9	13	Diff	Prime_A	1	Transitive
9	15	Same	Prime_A	1	Dative
9	16	Diff	Prime_B	1	Transitive
9	17	Diff	Prime_B	1	Locative
9	18	Same	Prime_B	1	Dative
9	20	Diff	Prime_A	0	Locative
9	21	Diff	Prime_A	0	Dative
9	22	Same	Prime_B	0	Transitive
9	23	Same	Prime_B	0	Locative
9	24	Diff	Prime_B	1	Dative
9	25	Diff	Prime_A	0	Transitive
9	26	Same	Prime_A	1	Locative
9	27	Same	Prime_A	0	Dative
9	28	Diff	Prime_B	1	Transitive
9	30	Same	Prime_B	0	Dative
9	32	Diff	Prime_A	1	Locative
9	33	Diff	Prime_A	0	Dative
9	34	Same	Prime_B	1	Transitive
9	35	Same	Prime_B	0	Locative
9	36	Diff	Prime_B	1	Dative
9	37	Diff	Prime_A	0	Transitive
9	39	Same	Prime_A	1	Dative
9	40	Diff	Prime_B	0	Transitive
9	41	Diff	Prime_B	1	Locative
9	42	Same	Prime_B	0	Dative
9	43	Same	Prime_A	1	Transitive
